Date,Open,High,Low,Close,Volume
2023-01-13,37.0,38.025,36.87,37.97,584300
2023-01-17,38.3,39.65,38.3,39.6,878200
2023-01-18,39.71,39.9,38.11,38.25,490400
2023-01-19,38.15,38.72,37.89,38.36,311900
2023-01-20,38.9,39.384,38.36,39.0,497300
2023-01-23,38.82,39.17,37.69,37.74,730400
2023-01-24,37.7,38.8,37.45,38.46,431100
2023-01-25,38.1,38.615,37.04,37.97,706100
2023-01-26,38.34,38.34,36.465,37.06,309200
2023-01-27,37.06,38.17,37.035,37.86,299500
2023-01-30,37.69,38.63,37.62,37.62,332900
2023-01-31,37.71,38.999,37.33,38.84,417000
2023-02-01,39.1,39.95,38.88,39.27,703700
2023-02-02,39.18,39.69,37.635,38.52,681500
2023-02-03,38.74,40.55,38.46,40.2,643800
2023-02-06,40.9,43.22,40.62,41.8,1047900
2023-02-07,41.68,43.34,41.68,43.25,884100
2023-02-08,43.03,43.679,42.34,43.01,549000
2023-02-09,43.34,44.305,43.215,43.64,562000
2023-02-10,43.54,43.89,42.84,43.34,372500
2023-02-13,43.52,45.53,43.07,45.49,703900
2023-02-14,44.93,45.92,43.6,45.3,565500
2023-02-15,44.9,45.89,44.45,45.69,573700
2023-02-16,45.62,46.325,44.83,45.96,651200
2023-02-17,45.9,46.14,44.51,44.71,486100
2023-02-21,44.95,46.12,44.68,44.69,563700
2023-02-22,44.23,44.623,43.31,43.59,443000
2023-02-23,44.07,46.18,44.07,45.71,983400
2023-02-24,46.0,47.73,45.75,47.09,1035500
2023-02-27,47.79,48.97,47.38,48.63,1121900
2023-02-28,50.76,52.44,49.55,51.44,2173500
2023-03-01,51.87,51.99,50.81,51.27,742600
2023-03-02,51.19,52.682,50.25,52.32,808600
2023-03-03,52.6,53.25,51.375,52.88,563200
2023-03-06,52.88,52.88,50.619,51.54,641300
2023-03-07,51.43,51.43,49.83,51.14,636300
2023-03-08,51.78,52.8,50.6,51.37,737500
2023-03-09,51.59,51.91,48.99,49.17,887100
2023-03-10,49.2,50.18,47.36,47.46,1083200
2023-03-13,43.33,44.9,41.75,43.86,1004400
