Date,Open,High,Low,Close,Volume
2023-01-13,13.51,13.69,13.3,13.37,577800
2023-01-17,13.38,13.8,13.37,13.42,1056400
2023-01-18,13.44,13.52,13.04,13.05,884200
2023-01-19,13.0,13.08,12.83,13.04,656400
2023-01-20,13.1,13.14,12.95,13.02,499500
2023-01-23,12.99,13.03,12.85,12.94,430900
2023-01-24,12.73,12.94,12.1,12.43,1260100
2023-01-25,12.35,12.56,12.32,12.42,502100
2023-01-26,12.42,12.72,12.35,12.68,863000
2023-01-27,12.67,12.81,12.59,12.69,485900
2023-01-30,12.67,12.67,12.46,12.48,587100
2023-01-31,12.51,12.66,12.51,12.65,447300
2023-02-01,12.58,12.82,12.55,12.75,440000
2023-02-02,12.79,13.02,12.74,12.96,556800
2023-02-03,12.95,13.1,12.74,12.8,1436700
2023-02-06,12.8,12.89,12.62,12.71,529100
2023-02-07,12.66,12.69,12.44,12.64,775000
2023-02-08,12.57,12.69,12.28,12.32,801000
2023-02-09,12.25,12.5,12.25,12.49,634700
2023-02-10,12.53,12.55,12.23,12.26,461900
2023-02-13,12.26,12.46,12.12,12.32,475500
2023-02-14,12.27,12.42,12.17,12.38,671800
2023-02-15,12.31,12.51,12.25,12.44,515300
2023-02-16,12.28,12.39,12.18,12.19,476500
2023-02-17,12.29,12.48,12.22,12.42,467500
2023-02-21,12.37,12.46,12.28,12.28,555000
2023-02-22,12.28,12.42,12.23,12.32,600500
2023-02-23,12.32,12.38,11.99,12.16,501500
2023-02-24,12.08,12.13,11.9,12.02,642200
2023-02-27,12.02,12.25,11.99,11.99,467200
2023-02-28,11.99,12.18,11.95,12.07,622800
2023-03-01,12.0,12.22,11.14,11.37,1772400
2023-03-02,11.36,11.48,10.9,10.93,1425800
2023-03-03,10.93,11.15,10.79,10.99,1147500
2023-03-06,11.05,11.16,10.91,11.02,1004000
2023-03-07,11.02,11.15,10.88,10.89,777800
2023-03-08,10.86,11.0,10.79,10.96,875600
2023-03-09,10.97,11.13,10.7,10.73,665000
2023-03-10,10.68,10.92,10.64,10.79,1021800
2023-03-13,10.74,11.13,10.7,10.91,876900
2023-03-14,11.13,11.31,10.99,11.24,963800
2023-03-15,11.33,11.49,11.21,11.43,956900
2023-03-16,11.32,11.58,11.24,11.46,886800
2023-03-17,11.45,11.52,11.15,11.18,1828200
2023-03-20,11.23,11.44,11.13,11.19,724900
2023-03-21,11.26,11.36,11.21,11.33,641600
2023-03-22,11.31,11.38,11.0,11.0,571400
2023-03-23,11.08,11.24,11.05,11.19,1769200
2023-03-24,11.13,11.43,10.96,11.35,503300
2023-03-27,11.35,11.48,11.29,11.38,670100
2023-03-28,11.32,11.36,11.11,11.27,653400
2023-03-29,11.32,11.35,11.15,11.15,577700
2023-03-30,11.21,11.26,11.11,11.15,470700
2023-03-31,11.17,11.32,11.17,11.25,573700
2023-04-03,11.29,11.4,11.23,11.39,508000
2023-04-04,11.38,11.44,11.33,11.4,424500
2023-04-05,11.4,11.63,11.4,11.62,502700
2023-04-06,11.73,11.83,11.72,11.8,482400
2023-04-10,11.75,11.79,11.63,11.77,439900
2023-04-11,11.8,11.83,11.78,11.81,347300
2023-04-12,11.84,11.84,11.7,11.7,341200
2023-04-13,11.64,12.23,11.62,12.2,694200
2023-04-14,12.15,12.22,11.91,12.02,642900
2023-04-17,12.02,12.02,12.02,12.02,21600
2023-04-18,12.48,12.53,11.24,11.4,2309600
2023-04-19,11.34,11.94,11.32,11.85,703300
2023-04-20,11.85,11.92,11.69,11.84,410300
2023-04-21,11.85,12.05,11.81,11.98,393400
2023-04-24,12.0,12.0,11.71,11.8,426200
2023-04-25,11.82,11.97,11.73,11.73,522900
2023-04-26,11.63,11.89,11.55,11.87,500300
2023-04-27,11.85,11.94,11.65,11.88,371300
2023-04-28,11.74,11.85,11.7,11.73,364000
2023-05-01,11.67,11.76,11.6,11.69,405000
2023-05-02,11.62,11.7,11.37,11.44,536000
2023-05-03,11.49,11.71,11.48,11.53,445500
2023-05-04,11.53,11.7,11.4,11.64,363100
2023-05-05,11.7,11.87,11.64,11.75,561800
2023-05-08,11.78,11.78,11.56,11.68,393100
2023-05-09,11.68,11.71,11.55,11.56,378700
2023-05-10,11.76,12.28,11.63,12.2,892000
2023-05-11,12.2,12.54,12.18,12.43,1040600
2023-05-12,12.48,12.71,12.47,12.67,855400
2023-05-15,12.73,12.94,12.71,12.91,764300
2023-05-16,13.08,13.53,13.05,13.25,1633000
2023-05-17,13.27,13.27,13.0,13.11,720300
2023-05-18,13.08,13.23,13.01,13.2,605400
2023-05-19,13.33,13.52,13.27,13.47,762100
