Date,Open,High,Low,Close,Volume
2023-01-13,108.0,109.95,107.27,109.72,56300
2023-01-17,110.08,110.93,109.63,110.88,59700
2023-01-18,111.42,112.39,110.23,111.28,61700
2023-01-19,111.21,112.18,109.96,111.26,82600
2023-01-20,111.97,111.97,110.77,111.21,77800
2023-01-23,111.05,111.59,109.93,110.38,56200
2023-01-24,110.41,111.97,109.72,109.87,50300
2023-01-25,109.15,110.54,108.41,109.92,51000
2023-01-26,110.28,110.98,109.88,110.98,37200
2023-01-27,110.96,111.21,109.27,109.87,28100
2023-01-30,109.53,111.08,109.21,109.55,43500
2023-01-31,110.02,113.02,109.37,113.02,73900
2023-02-01,112.5,115.77,112.48,114.3,98500
2023-02-02,114.37,115.41,112.93,115.27,80200
2023-02-03,114.65,115.55,112.8,114.62,136200
2023-02-06,114.5,115.11,113.3,114.15,95700
2023-02-07,113.55,115.12,113.27,114.38,90000
2023-02-08,113.59,114.21,111.41,111.99,62200
2023-02-09,112.68,113.04,109.21,109.7,79800
2023-02-10,109.05,109.73,108.42,109.65,75000
2023-02-13,109.71,112.17,109.71,112.13,57000
2023-02-14,112.01,113.97,111.1,113.43,90400
2023-02-15,112.73,114.14,112.34,114.08,55600
2023-02-16,112.78,115.63,111.19,114.65,122700
2023-02-17,114.84,116.0,114.34,115.31,92700
2023-02-21,114.45,114.87,112.55,112.64,106900
2023-02-22,109.03,112.48,102.0,108.8,236200
2023-02-23,109.4,111.5,107.53,108.84,142400
2023-02-24,107.53,109.64,106.97,109.42,101000
2023-02-27,110.0,112.1,109.62,111.71,91700
2023-02-28,111.21,112.11,109.32,109.46,123900
2023-03-01,109.41,111.04,108.65,108.89,131200
2023-03-02,107.92,110.06,107.6,109.88,144100
2023-03-03,110.49,111.35,107.55,111.35,138700
2023-03-06,111.11,111.3,103.69,105.7,130400
2023-03-07,106.04,106.92,104.21,106.32,107900
2023-03-08,106.89,107.61,105.2,106.38,123500
2023-03-09,106.38,106.79,104.02,104.15,79900
2023-03-10,103.61,103.61,100.36,101.31,99500
2023-03-13,99.64,101.28,96.98,99.3,68100
2023-03-14,102.18,104.48,101.1,102.41,148400
2023-03-15,99.77,100.9,98.73,99.81,123000
2023-03-16,98.5,102.57,98.25,102.14,90700
