Date,Open,High,Low,Close,Volume
2023-02-06,8.0,8.49,7.88,8.2,5083200
2023-02-07,8.21,8.34,7.98,8.22,2666600
2023-02-08,8.22,8.22,7.76,7.77,2468400
2023-02-09,7.84,7.91,7.32,7.42,3928200
2023-02-10,7.36,7.45,7.16,7.36,4056600
2023-02-13,7.34,7.38,7.16,7.19,2364800
2023-02-14,7.12,7.43,7.03,7.34,2942300
2023-02-15,7.31,7.4,7.18,7.28,2717500
2023-02-16,7.26,7.32,6.98,6.99,4771300
2023-02-17,7.0,7.37,6.83,7.35,2817800
2023-02-21,7.3,7.3,7.01,7.03,2933700
2023-02-22,7.05,7.4,7.05,7.4,2360100
2023-02-23,7.44,7.47,7.05,7.25,1835100
2023-02-24,7.15,7.15,6.99,7.0,2094600
2023-02-27,7.2,7.31,7.07,7.17,4153000
2023-02-28,7.09,7.34,7.06,7.29,3647500
2023-03-01,7.32,7.62,7.12,7.3,4964100
2023-03-02,7.23,7.33,7.09,7.12,3026100
2023-03-03,7.19,7.46,7.02,7.35,2876400
2023-03-06,7.44,7.44,6.9,6.94,3227700
2023-03-07,6.94,7.37,6.68,7.2,4599900
2023-03-08,7.15,7.21,6.87,6.94,2037200
2023-03-09,6.96,7.01,6.45,6.49,2918100
2023-03-10,6.46,6.48,5.96,6.21,5464000
2023-03-13,6.27,6.54,6.18,6.5,3816900
2023-03-14,6.6,6.7,6.49,6.65,3270800
2023-03-15,6.58,6.94,6.52,6.82,2912100
2023-03-16,6.85,6.85,6.46,6.62,2458800
2023-03-17,6.6,6.6,6.38,6.46,3472900
2023-03-20,6.47,6.48,6.29,6.33,2231600
2023-03-21,6.35,6.39,6.21,6.29,2083600
2023-03-22,6.27,6.27,5.92,5.93,3079200
2023-03-23,6.0,6.04,5.67,5.75,4632600
2023-03-24,5.75,5.75,5.39,5.53,4692700
2023-03-27,6.03,6.28,5.96,6.15,8585700
2023-03-28,6.11,6.46,6.08,6.21,4777800
2023-03-29,6.26,6.66,6.21,6.63,4639600
2023-03-30,6.66,6.76,6.12,6.15,3145300
2023-03-31,6.14,6.25,6.03,6.11,5505600
2023-04-03,6.13,6.44,6.09,6.28,3521000
2023-04-04,6.2,6.21,5.82,5.92,6699600
2023-04-05,6.09,6.09,5.78,5.87,2219700
2023-04-06,5.91,6.03,5.78,5.93,2002000
2023-04-10,5.88,5.89,5.33,5.58,5157700
2023-04-11,5.57,5.63,5.35,5.5,2652900
2023-04-12,5.55,5.62,5.35,5.38,2947400
2023-04-13,5.44,5.91,5.37,5.82,3484000
2023-04-14,5.8,5.82,5.55,5.64,2635100
2023-04-17,5.67,5.86,5.63,5.81,3090100
2023-04-18,5.84,5.85,5.54,5.68,3204300
2023-04-19,5.62,5.94,5.56,5.85,2238100
2023-04-20,5.73,5.73,5.51,5.61,2955000
2023-04-21,5.62,5.82,5.57,5.71,1957400
2023-04-24,5.76,5.77,5.54,5.7,2659400
2023-04-25,5.65,5.79,5.42,5.51,2746900
2023-04-26,5.53,5.63,5.35,5.47,1991800
2023-04-27,5.48,5.57,5.32,5.36,2479300
2023-04-28,5.35,5.73,5.28,5.64,2911700
2023-05-01,5.7,6.55,5.59,6.43,8591400
2023-05-02,6.37,6.42,6.06,6.13,4451500
2023-05-03,6.15,6.67,6.15,6.53,4284900
2023-05-04,6.59,6.95,6.42,6.85,3562600
2023-05-05,6.98,6.99,6.74,6.85,3240600
2023-05-08,6.9,7.24,6.71,7.08,4645000
2023-05-09,7.06,7.41,7.02,7.36,4584200
2023-05-10,7.62,7.97,7.42,7.64,7331700
2023-05-11,7.62,7.84,7.43,7.5,5774700
2023-05-12,7.57,7.64,7.29,7.47,3743800
2023-05-15,7.5,8.0,7.45,7.84,5236200
2023-05-16,7.73,7.73,7.43,7.49,6485000
2023-05-17,7.62,7.65,7.07,7.5,4407200
2023-05-18,7.53,7.53,7.19,7.44,3307000
2023-05-19,7.52,7.68,7.27,7.36,2999500
2023-05-22,7.44,8.3,7.42,7.99,5480000
2023-05-23,8.22,9.36,8.21,9.06,14284100
2023-05-24,9.1,9.1,8.04,8.07,10038000
2023-05-25,8.07,8.18,7.12,7.69,9939600
2023-05-26,7.7,7.7,7.32,7.55,5664000
2023-05-30,9.09,9.2,8.15,8.85,20316000
2023-05-31,8.84,9.15,8.62,8.74,11727200
2023-06-01,8.75,9.14,8.6,8.73,7707800
2023-06-02,8.86,9.0,8.66,8.8,4958100
2023-06-05,8.8,8.86,8.11,8.22,7835400
2023-06-06,8.15,8.32,8.08,8.18,6903300
2023-06-07,8.2,8.39,8.12,8.24,4527200
2023-06-08,8.25,8.3,7.93,8.0,6050600
2023-06-09,8.0,8.05,7.72,7.89,3559700
2023-06-12,7.86,8.52,7.84,8.49,6087700
2023-06-13,8.57,8.91,8.53,8.84,5502900
