Date,Open,High,Low,Close,Volume
2023-01-13,57.6,58.47,57.03,58.37,139000
2023-01-17,58.05,58.77,57.77,57.82,159400
2023-01-18,57.97,58.51,56.56,56.7,209700
2023-01-19,56.01,56.55,55.0,55.71,218600
2023-01-20,56.2,56.9,55.46,56.8,226400
2023-01-23,57.0,58.03,56.75,57.29,187000
2023-01-24,57.16,57.44,56.26,56.48,151900
2023-01-25,55.78,56.18,55.03,55.58,200000
2023-01-26,56.17,56.49,54.81,55.27,203200
2023-01-27,54.93,56.66,54.68,56.44,245400
2023-01-30,55.69,56.35,55.36,55.55,161700
2023-01-31,55.78,57.48,55.34,57.47,328600
2023-02-01,57.35,59.26,56.58,58.76,210300
2023-02-02,59.09,60.61,59.08,59.87,270700
2023-02-03,58.44,59.8,58.44,59.27,234800
2023-02-06,58.56,58.88,57.59,58.08,168000
2023-02-07,57.9,58.71,56.8,58.5,346100
2023-02-08,57.8,58.75,56.69,57.03,207600
2023-02-09,57.61,57.86,56.47,56.7,176900
2023-02-10,56.16,57.1,55.98,56.98,131900
2023-02-13,57.19,57.85,56.98,57.66,153300
2023-02-14,57.66,57.89,56.49,57.49,136500
2023-02-15,57.04,58.61,57.04,58.56,169400
2023-02-16,57.58,58.47,57.18,57.92,172100
2023-02-17,57.91,57.91,56.87,57.24,186900
2023-02-21,56.44,56.87,55.08,55.33,250900
2023-02-22,55.26,55.69,54.48,55.22,292700
2023-02-23,55.58,55.92,54.94,55.59,204600
2023-02-24,54.46,54.85,53.57,54.63,386900
2023-02-27,57.25,57.25,50.35,51.74,780300
2023-02-28,51.72,56.11,51.5,55.77,592700
2023-03-01,55.52,56.86,55.43,55.59,317700
2023-03-02,55.52,57.07,54.63,56.78,251700
2023-03-03,54.42,56.84,53.99,56.77,340100
2023-03-06,57.08,57.28,54.95,55.17,254800
2023-03-07,55.38,55.38,53.64,53.69,250600
2023-03-08,53.89,54.34,52.88,54.18,214300
2023-03-09,54.36,55.28,53.49,53.92,231600
2023-03-10,53.61,53.61,52.33,52.83,368700
2023-03-13,51.87,53.26,51.6,52.13,232800
