Date,Open,High,Low,Close,Volume
2023-01-13,86.52,88.47,86.52,88.15,414500
2023-01-17,88.18,88.49,86.65,86.76,275800
2023-01-18,87.26,88.47,86.24,86.34,406100
2023-01-19,85.36,85.52,83.56,83.59,401900
2023-01-20,84.26,86.16,83.58,86.09,267300
2023-01-23,86.19,88.78,85.97,88.75,534000
2023-01-24,87.91,89.49,87.71,89.08,427100
2023-01-25,88.14,89.0,87.61,88.45,382400
2023-01-26,89.09,90.89,87.98,90.85,633100
2023-01-27,90.77,92.03,90.61,91.26,480100
2023-01-30,90.4,90.93,89.05,89.31,306600
2023-01-31,89.71,91.6,89.69,91.59,569300
2023-02-01,91.05,92.73,90.46,92.15,543700
2023-02-02,93.17,94.44,91.61,92.75,865600
2023-02-03,91.75,93.0,91.18,92.4,442200
2023-02-06,91.12,91.99,90.25,90.55,536800
2023-02-07,89.95,91.61,89.29,91.48,599600
2023-02-08,90.6,92.52,90.6,91.31,610400
2023-02-09,91.09,91.64,88.37,88.48,923200
2023-02-10,88.69,91.19,88.4,90.99,721700
2023-02-13,91.49,93.17,90.96,93.12,661100
2023-02-14,93.0,94.18,92.1,93.55,491800
2023-02-15,93.33,94.8,92.95,94.53,569100
2023-02-16,93.65,95.18,92.44,93.9,601000
2023-02-17,93.82,94.55,93.21,94.19,462600
2023-02-21,93.01,93.71,90.51,91.02,301900
2023-02-22,91.35,92.08,90.69,90.96,333100
2023-02-23,91.58,92.04,89.97,90.5,489300
2023-02-24,88.88,90.3,88.34,89.81,460200
2023-02-27,90.78,90.84,89.81,90.34,381500
2023-02-28,90.25,91.88,90.25,90.89,421600
2023-03-01,90.85,92.21,90.82,92.06,326500
2023-03-02,91.5,92.87,91.28,92.83,302600
2023-03-03,93.32,93.93,92.23,93.83,301700
2023-03-06,93.94,94.13,92.07,92.44,300000
2023-03-07,92.82,93.18,91.76,91.86,243200
2023-03-08,91.67,92.16,90.94,91.66,353400
2023-03-09,92.14,92.33,89.61,89.65,408000
2023-03-10,89.65,89.65,85.36,86.47,848200
2023-03-13,85.03,85.96,83.02,84.64,720000
2023-03-14,86.65,87.41,84.74,86.12,582700
2023-03-15,83.84,84.29,79.89,80.08,990800
2023-03-16,79.03,82.26,78.83,82.1,1113100
2023-03-17,81.39,82.12,78.64,79.21,1270100
2023-03-20,79.94,82.26,79.63,81.83,919900
2023-03-21,83.59,84.61,83.57,84.1,915000
2023-03-22,83.67,84.34,82.01,82.1,443200
2023-03-23,82.1,83.3,80.28,81.13,455300
2023-03-24,80.04,80.75,79.01,80.69,636500
2023-03-27,81.99,82.61,81.02,81.91,391300
2023-03-28,81.67,82.81,81.67,82.53,286900
2023-03-29,83.49,84.27,82.96,83.91,312700
2023-03-30,84.97,85.27,84.2,84.53,377400
2023-03-31,85.13,86.38,85.13,86.3,390700
2023-04-03,86.24,87.18,85.2,85.95,353900
2023-04-04,86.19,86.7,81.94,82.66,402700
2023-04-05,82.1,82.41,80.44,81.29,394100
2023-04-06,81.22,81.69,80.37,80.78,362200
2023-04-10,80.47,82.66,80.47,81.9,698600
2023-04-11,82.58,83.82,81.95,82.71,400800
2023-04-12,83.45,83.86,82.71,83.15,256700
2023-04-13,83.36,83.71,82.01,83.51,305900
2023-04-14,83.48,84.72,82.83,83.06,298400
2023-04-17,83.4,84.2,83.1,84.13,317400
2023-04-18,84.4,85.06,83.92,84.31,377400
2023-04-19,84.18,84.48,83.01,84.43,473100
2023-04-20,83.77,84.85,83.59,84.01,278300
2023-04-21,84.43,84.43,82.86,83.65,254600
2023-04-24,83.31,84.04,82.86,82.99,294500
2023-04-25,82.29,83.14,81.86,82.25,387300
2023-04-26,81.77,82.18,80.8,81.01,443800
2023-04-27,81.57,83.56,81.46,83.5,512200
2023-04-28,83.57,84.82,83.09,84.44,532500
2023-05-01,84.5,85.95,84.3,84.98,292100
2023-05-02,84.7,85.0,82.56,83.79,413900
2023-05-03,84.39,85.68,83.19,83.39,515200
2023-05-04,83.7,84.48,81.04,82.4,637500
2023-05-05,84.26,84.88,83.0,84.13,427600
2023-05-08,84.31,84.39,82.64,83.79,452400
2023-05-09,83.33,83.84,81.77,82.3,478900
2023-05-10,83.15,83.63,81.05,82.19,347900
2023-05-11,81.66,81.76,80.63,81.67,277000
2023-05-12,82.24,82.31,80.79,81.59,257000
2023-05-15,81.64,82.39,81.25,82.11,284800
2023-05-16,81.4,81.61,80.69,80.91,284100
2023-05-17,81.51,82.05,80.85,81.3,452900
2023-05-18,80.97,82.76,80.7,82.41,279000
2023-05-19,83.28,83.28,81.85,82.11,320000
2023-05-22,82.13,83.05,81.44,82.61,283500
2023-05-23,81.92,82.44,80.44,80.45,264500
2023-05-24,80.02,80.02,78.63,79.08,260600
2023-05-25,79.33,79.99,77.87,78.69,474500
2023-05-26,79.01,79.98,78.4,79.84,393700
2023-05-30,79.84,80.39,78.58,78.75,345400
2023-05-31,78.27,78.41,75.84,76.16,462100
2023-06-01,76.41,79.17,75.82,78.49,774900
2023-06-02,79.64,83.36,79.64,82.93,638000
2023-06-05,82.67,82.75,80.61,81.79,497200
2023-06-06,81.46,84.12,80.91,83.72,626200
2023-06-07,84.0,86.68,83.14,86.65,641000
2023-06-08,86.31,87.05,85.23,86.51,593800
2023-06-09,86.67,86.67,85.17,85.99,356700
2023-06-12,85.94,87.12,85.38,86.67,370200
2023-06-13,87.17,88.69,87.14,88.24,366300
2023-06-14,88.44,89.14,86.96,87.53,397300
2023-06-15,87.08,88.82,86.96,88.8,322700
2023-06-16,89.4,89.4,88.03,89.21,944700
2023-06-20,88.29,89.18,87.03,88.19,323400
2023-06-21,87.52,88.97,87.15,88.44,321100
2023-06-22,88.37,88.37,86.89,87.32,304400
2023-06-23,86.21,87.19,85.92,87.07,483600
2023-06-26,87.31,88.9,87.21,88.19,331200
2023-06-27,88.69,90.6,88.39,90.53,342400
2023-06-28,90.6,90.76,89.91,90.75,479900
2023-06-29,90.58,92.47,90.33,92.36,405600
2023-06-30,93.02,93.98,92.52,93.21,388700
2023-07-03,92.57,93.16,92.0,92.73,247700
2023-07-05,91.76,92.16,91.34,91.94,438100
2023-07-06,91.31,92.58,90.83,92.42,723100
2023-07-07,92.2,94.87,92.2,93.56,581700
2023-07-10,94.05,95.67,94.05,95.41,338700
2023-07-11,95.61,96.83,95.61,96.48,318800
2023-07-12,97.72,97.91,96.24,97.22,427400
2023-07-13,97.44,98.04,96.66,97.96,497200
2023-07-14,97.67,98.09,96.37,97.14,376200
2023-07-17,97.05,97.68,96.22,97.26,302300
2023-07-18,97.33,98.6,97.11,98.38,388300
2023-07-19,98.08,98.53,96.67,97.88,405700
2023-07-20,98.07,98.22,97.18,98.12,411500
2023-07-21,98.45,98.65,97.55,98.05,421700
2023-07-24,98.19,98.81,97.31,97.4,259600
2023-07-25,96.69,97.81,96.51,97.48,271200
2023-07-26,97.12,97.85,96.34,96.69,483800
2023-07-27,96.88,97.67,96.25,97.15,482500
2023-07-28,97.71,99.01,97.4,98.92,597800
2023-07-31,99.3,100.15,98.78,99.6,546700
2023-08-01,99.15,100.67,99.15,100.19,538700
2023-08-02,99.3,100.06,98.16,98.28,526300
2023-08-03,99.94,102.96,98.01,101.79,1004200
2023-08-04,102.25,102.44,100.09,101.18,598000
2023-08-07,101.75,102.56,101.32,102.2,317500
2023-08-08,100.46,100.9,98.74,100.84,479700
2023-08-09,100.63,100.71,99.39,99.55,450600
2023-08-10,99.79,100.73,98.14,98.46,300800
2023-08-11,98.35,98.64,97.97,98.51,483200
2023-08-14,97.94,98.25,97.64,98.07,308400
2023-08-15,97.57,97.66,96.24,96.93,289300
2023-08-16,96.59,97.55,95.57,95.84,353300
2023-08-17,96.33,96.53,95.23,95.45,385900
2023-08-18,94.53,95.74,94.26,95.34,326500
2023-08-21,95.9,96.14,94.77,95.6,545000
2023-08-22,96.4,96.74,95.52,95.78,246700
2023-08-23,95.93,98.13,95.77,97.7,304800
2023-08-24,97.4,98.8,96.84,97.03,372900
2023-08-25,97.98,99.13,97.45,98.35,303300
2023-08-28,98.71,100.14,98.71,99.33,279400
2023-08-29,99.34,101.91,99.08,101.53,359500
2023-08-30,101.85,102.56,101.5,101.93,428600
2023-08-31,101.89,102.97,101.61,102.28,424200
2023-09-01,102.87,103.96,102.51,103.4,299100
2023-09-05,102.62,102.62,100.04,100.48,452700
2023-09-06,100.16,101.51,100.16,100.83,487400
2023-09-07,100.56,100.86,99.28,100.24,437900
2023-09-08,100.16,101.11,100.01,100.36,324000
2023-09-11,100.94,101.53,100.59,101.03,442000
2023-09-12,100.52,101.95,100.52,101.28,417900
2023-09-13,101.03,101.15,99.5,100.05,509300
2023-09-14,101.25,101.76,100.1,100.58,367300
2023-09-15,99.84,100.55,98.9,99.39,1351100
2023-09-18,99.34,99.77,98.7,98.83,423900
2023-09-19,98.82,99.01,97.54,98.18,348300
2023-09-20,98.84,99.73,97.0,97.07,253700
2023-09-21,96.23,96.44,94.86,95.12,298300
2023-09-22,95.17,96.17,95.17,95.5,255600
2023-09-25,95.17,97.5,95.17,97.1,360200
2023-09-26,96.44,96.84,94.89,95.03,265800
2023-09-27,95.68,97.39,95.23,96.83,391300
2023-09-28,96.65,99.79,96.65,98.84,540100
2023-09-29,99.67,99.67,97.57,97.91,319400
2023-10-02,97.73,98.08,96.16,96.66,280100
2023-10-03,96.11,96.8,95.05,95.84,220800
2023-10-04,95.74,96.8,94.81,96.4,262300
2023-10-05,98.22,98.84,96.16,96.48,466600
2023-10-06,96.12,98.74,96.02,98.05,398500
2023-10-09,97.87,99.48,97.45,99.09,323700
2023-10-10,99.26,100.84,99.17,99.41,414600
2023-10-11,99.49,101.1,99.49,101.06,271100
2023-10-12,101.15,101.36,99.61,100.29,287900
2023-10-13,100.32,100.56,97.66,98.48,388000
2023-10-16,99.29,100.6,98.85,99.64,333000
2023-10-17,98.93,101.87,98.93,100.47,970700
2023-10-18,99.3,99.77,95.42,95.51,465600
2023-10-19,94.94,96.83,94.24,94.57,520000
2023-10-20,94.86,95.84,94.17,95.07,617800
2023-10-23,94.86,95.3,93.16,93.45,407700
2023-10-24,94.37,95.1,93.17,94.21,314700
2023-10-25,93.73,93.73,92.4,92.58,312600
2023-10-26,92.94,94.41,92.94,93.31,384700
2023-10-27,93.25,93.83,92.07,92.31,301400
2023-10-30,93.48,93.48,91.99,92.13,739000
2023-10-31,91.94,93.78,91.94,93.35,492200
2023-11-01,93.31,94.06,92.16,93.97,760500
2023-11-02,96.95,100.97,95.53,99.76,892300
2023-11-03,101.5,102.4,100.99,101.21,578900
2023-11-06,101.69,101.69,100.19,100.86,322700
2023-11-07,100.17,100.71,99.52,100.36,251200
2023-11-08,100.67,101.19,100.32,100.69,270200
2023-11-09,101.38,102.15,100.31,100.54,330300
2023-11-10,101.18,103.06,101.01,102.81,491600
2023-11-13,102.56,103.39,102.31,103.09,291100
2023-11-14,104.87,107.38,104.26,106.99,576000
2023-11-15,107.0,108.57,107.0,107.46,505700
2023-11-16,108.18,109.49,107.15,107.83,493800
2023-11-17,108.51,108.99,107.73,108.07,273700
2023-11-20,108.11,109.63,107.53,107.92,364200
2023-11-21,107.45,108.36,107.26,107.77,864000
2023-11-22,107.97,109.4,107.54,108.8,395300
2023-11-24,108.83,109.76,108.52,109.51,275500
2023-11-27,108.7,110.22,108.47,109.58,547300
2023-11-28,109.57,110.28,107.35,107.39,401700
2023-11-29,107.92,108.87,107.01,107.37,321200
2023-11-30,107.43,108.38,107.1,108.27,288500
2023-12-01,108.1,110.3,108.1,110.23,375500
2023-12-04,109.68,111.25,109.36,111.24,476800
2023-12-05,110.83,111.62,110.24,110.5,486100
2023-12-06,111.12,112.59,110.83,110.86,312900
2023-12-07,111.03,112.15,110.7,112.08,584100
2023-12-08,112.08,113.92,112.08,113.73,429800
2023-12-11,113.91,114.44,113.27,113.35,252300
2023-12-12,113.42,114.45,112.96,113.73,304800
2023-12-13,113.74,114.17,111.96,112.87,575500
2023-12-14,114.07,116.44,114.07,116.28,416500
2023-12-15,115.96,117.01,115.53,115.77,1048800
2023-12-18,116.17,116.17,114.26,114.87,398200
2023-12-19,115.79,116.91,115.77,116.87,276400
2023-12-20,116.48,117.45,115.67,115.67,436700
2023-12-21,116.88,117.78,116.07,117.68,264700
2023-12-22,118.03,119.1,117.89,119.05,217900
2023-12-26,119.46,120.29,119.17,119.92,174300
2023-12-27,120.22,120.65,119.86,120.52,235600
2023-12-28,120.08,120.63,119.92,120.28,198500
2023-12-29,119.96,121.19,119.04,119.32,221100
2024-01-02,118.07,119.04,116.25,116.93,297800
2024-01-03,116.0,116.39,113.7,113.72,396000
2024-01-04,113.78,115.28,113.76,114.58,456400
2024-01-05,114.03,115.92,114.03,115.72,717200
2024-01-08,115.59,116.18,114.98,116.08,242200
2024-01-09,115.29,116.15,114.24,116.11,217800
2024-01-10,116.44,116.8,115.88,116.57,182600
2024-01-11,116.6,117.49,115.96,117.33,167100
2024-01-12,118.53,118.79,116.93,117.53,239400
2024-01-16,116.76,118.11,116.59,117.97,294700
2024-01-17,116.7,117.73,116.7,117.47,227100
2024-01-18,118.08,118.97,117.25,118.53,197100
2024-01-19,118.76,119.39,117.84,119.27,156500
2024-01-22,120.22,121.8,119.72,121.48,302000
2024-01-23,121.84,121.84,120.46,121.28,267800
2024-01-24,121.89,121.89,119.16,119.23,202600
2024-01-25,120.5,120.79,119.35,120.07,261600
2024-01-26,120.46,120.96,119.45,119.95,205000
2024-01-29,119.81,122.44,119.1,122.39,268300
2024-01-30,121.9,123.65,121.86,123.27,350200
2024-01-31,122.9,123.37,120.74,120.78,803400
2024-02-01,121.8,124.27,121.37,124.08,296200
2024-02-02,123.39,126.79,123.34,126.41,330000
2024-02-05,124.91,125.59,123.91,125.19,345500
2024-02-06,125.29,125.69,124.56,124.99,596000
2024-02-07,125.78,127.13,125.08,125.75,707000
2024-02-08,124.5,125.0,118.58,119.84,1153900
2024-02-09,120.96,123.35,120.84,122.4,598100
2024-02-12,121.91,123.69,121.33,123.0,270300
2024-02-13,120.71,120.96,118.95,119.62,342400
2024-02-14,120.48,123.41,120.48,123.11,378100
2024-02-15,124.01,125.16,122.18,124.92,490900
2024-02-16,124.82,125.31,123.69,123.72,228700
2024-02-20,122.39,123.41,121.85,122.37,248700
2024-02-21,122.53,123.26,121.55,123.0,209400
2024-02-22,123.84,125.39,122.84,125.2,356600
2024-02-23,125.7,125.98,124.84,125.67,237900
2024-02-26,125.22,126.36,124.96,125.77,236000
2024-02-27,125.96,125.96,123.75,125.01,323400
2024-02-28,124.87,126.59,124.34,125.61,280400
2024-02-29,126.17,127.02,125.39,126.14,575000
2024-03-01,125.78,126.91,125.72,126.66,240400
2024-03-04,127.0,129.4,127.0,128.01,310300
2024-03-05,127.8,127.88,126.25,126.33,315600
2024-03-06,126.6,127.77,126.6,127.28,328900
2024-03-07,127.71,128.34,126.8,127.91,314400
