Date,Open,High,Low,Close,Volume
2023-01-13,19.83,19.945,19.65,19.65,843300
2023-01-17,19.41,19.68,19.31,19.4,1192200
2023-01-18,19.45,19.57,19.045,19.12,1226800
2023-01-19,18.96,19.02,18.75,18.78,719000
2023-01-20,18.77,18.935,18.49,18.92,616600
2023-01-23,18.95,19.43,18.89,19.29,658300
2023-01-24,19.29,19.365,19.15,19.21,499300
2023-01-25,19.03,19.39,18.95,19.34,522400
2023-01-26,19.44,19.52,19.175,19.45,1259900
2023-01-27,19.43,20.06,19.24,19.9,1520500
2023-01-30,19.77,20.08,19.66,19.67,706300
2023-01-31,19.67,20.185,19.63,20.14,1536900
2023-02-01,20.03,20.165,19.66,19.99,1182000
2023-02-02,20.23,20.91,20.13,20.78,1070700
2023-02-03,20.48,20.52,20.03,20.05,986600
2023-02-06,19.82,19.85,19.41,19.66,661200
2023-02-07,19.54,19.84,19.27,19.74,1426300
2023-02-08,19.65,20.02,19.58,19.94,1515000
2023-02-09,20.14,20.2,19.535,19.57,1041000
2023-02-10,19.49,19.755,19.49,19.66,1281900
2023-02-13,19.7,19.755,19.565,19.64,501900
2023-02-14,19.5,19.68,19.155,19.29,1008000
2023-02-15,19.07,19.35,19.02,19.33,546000
2023-02-16,19.06,19.31,18.96,19.03,802200
2023-02-17,19.01,19.13,18.54,18.73,914700
2023-02-21,18.61,18.71,18.04,18.2,1201400
2023-02-22,18.39,18.71,18.03,18.26,1096200
2023-02-23,18.41,18.5,18.107,18.37,1185300
2023-02-24,18.08,18.09,17.8,17.81,775800
2023-02-27,18.04,18.04,17.395,17.51,1013900
2023-02-28,17.39,17.59,17.25,17.25,1538700
2023-03-01,17.18,17.34,17.02,17.05,2145100
2023-03-02,16.95,17.065,16.765,17.05,1560900
2023-03-03,17.19,17.21,15.35,16.06,6541700
2023-03-06,16.33,16.67,16.23,16.32,3525400
2023-03-07,16.29,16.45,15.77,15.91,1812400
2023-03-08,15.86,16.32,15.79,16.3,1901400
2023-03-09,16.19,16.44,15.98,16.03,1631800
2023-03-10,15.99,16.12,15.33,15.42,2593100
2023-03-13,15.26,15.65,15.16,15.55,2256600
2023-03-14,15.91,15.975,15.07,15.35,2543000
2023-03-15,15.07,15.54,14.97,15.41,2140500
2023-03-16,15.27,15.33,14.65,14.86,4448700
2023-03-17,14.84,14.84,14.03,14.32,23266200
2023-03-20,14.38,14.715,14.153,14.31,1955100
2023-03-21,14.51,14.917,14.472,14.69,2394600
2023-03-22,14.57,14.675,14.045,14.08,1309100
2023-03-23,14.13,14.175,13.54,13.62,1460500
2023-03-24,13.55,14.13,13.37,14.1,2407700
2023-03-27,14.36,14.42,14.06,14.11,1499400
2023-03-28,13.95,14.315,13.88,14.08,1210700
2023-03-29,14.25,14.48,14.25,14.42,1140300
2023-03-30,14.52,14.76,14.52,14.69,2908600
2023-03-31,14.8,15.07,14.545,15.06,1399500
2023-04-03,15.19,15.46,14.96,15.06,1252300
2023-04-04,15.13,15.19,14.47,14.66,1426200
