Date,Open,High,Low,Close,Volume
2023-01-13,101.9,102.63,100.85,101.75,191600
2023-01-17,102.27,102.66,101.25,101.55,185800
2023-01-18,101.57,103.0,98.56,98.69,170100
2023-01-19,98.16,98.38,96.09,96.79,170400
2023-01-20,97.32,99.99,97.12,98.85,137500
2023-01-23,99.53,102.33,98.36,102.08,84100
2023-01-24,101.02,102.88,100.7,102.17,68800
2023-01-25,101.38,104.6,99.94,104.24,229600
2023-01-26,105.2,107.56,104.23,106.98,191200
2023-01-27,106.86,109.74,106.55,109.33,100900
2023-01-30,107.74,109.54,106.7,106.71,140800
2023-01-31,106.9,111.81,106.62,111.73,192600
2023-02-01,111.51,113.14,109.38,112.04,122000
2023-02-02,112.86,116.02,112.86,114.93,147000
2023-02-03,113.75,115.7,113.01,113.91,165400
2023-02-06,113.27,113.68,110.03,110.79,145200
2023-02-07,110.05,111.76,108.76,111.41,129200
2023-02-08,110.27,112.0,107.48,108.32,134600
2023-02-09,109.11,110.38,105.81,105.84,126700
2023-02-10,105.58,108.56,105.42,107.89,85400
2023-02-13,108.19,110.2,108.19,109.8,101200
2023-02-14,108.71,110.18,107.97,109.26,73400
2023-02-15,108.44,112.39,108.44,112.39,183100
2023-02-16,110.05,112.42,108.82,110.58,106900
2023-02-17,110.59,112.72,109.83,112.39,130000
2023-02-21,109.65,109.65,103.67,106.25,380100
2023-02-22,106.18,111.15,106.18,109.79,402300
2023-02-23,110.5,111.31,107.44,109.53,151700
2023-02-24,107.88,108.84,106.96,108.28,154400
2023-02-27,109.43,111.09,108.67,110.58,154600
2023-02-28,110.39,112.47,110.39,110.89,142800
2023-03-01,110.48,112.43,109.65,110.2,100400
2023-03-02,109.06,112.29,109.01,112.15,84800
2023-03-03,112.67,114.73,111.3,114.11,133000
2023-03-06,114.17,114.17,107.9,109.73,211600
2023-03-07,109.72,110.67,108.62,108.75,137100
2023-03-08,109.29,109.98,108.07,109.03,91600
2023-03-09,109.37,110.0,107.19,107.52,104900
2023-03-10,106.83,106.83,104.08,105.02,269100
2023-03-13,102.67,106.2,102.23,104.7,293800
2023-03-14,108.17,109.65,104.36,106.81,158300
2023-03-15,103.45,103.91,101.09,102.69,177000
2023-03-16,101.12,106.25,101.12,105.38,178600
2023-03-17,104.69,104.69,100.12,100.49,573600
2023-03-20,102.17,104.81,101.38,103.42,218800
2023-03-21,105.38,106.41,104.58,105.01,176600
2023-03-22,104.83,105.3,102.14,102.32,156800
2023-03-23,102.75,104.58,101.48,102.73,158000
2023-03-24,101.69,103.75,100.8,103.37,131900
2023-03-27,105.13,106.15,103.4,104.76,139400
2023-03-28,104.17,106.38,104.05,106.13,142600
2023-03-29,107.35,107.35,105.87,106.94,121600
2023-03-30,107.92,108.46,106.69,107.88,97100
2023-03-31,108.79,110.44,108.37,109.29,204000
2023-04-03,109.04,109.5,108.03,108.58,151000
2023-04-04,108.31,108.31,101.95,102.97,182300
2023-04-05,102.04,102.81,101.31,102.33,118000
2023-04-06,102.74,103.16,101.7,102.35,123300
2023-04-10,101.6,104.52,101.6,104.06,107900
2023-04-11,104.54,105.85,104.51,104.99,115800
2023-04-12,106.2,106.2,104.05,104.41,76500
2023-04-13,104.65,106.02,104.15,105.39,97800
2023-04-14,105.19,107.63,104.75,105.37,111700
2023-04-17,105.89,106.34,104.74,106.18,86300
2023-04-18,107.47,108.4,106.53,106.62,83800
2023-04-19,105.85,107.36,105.62,107.22,119500
2023-04-20,106.24,107.79,106.1,107.56,130300
2023-04-21,108.09,108.21,106.46,107.49,116300
2023-04-24,107.55,108.6,106.69,107.5,134300
2023-04-25,105.87,107.0,102.11,102.47,286100
2023-04-26,101.0,106.55,99.27,105.14,328800
2023-04-27,105.27,110.33,105.04,110.15,151600
2023-04-28,109.88,110.7,107.33,108.71,141800
2023-05-01,108.83,110.21,106.55,107.35,168800
2023-05-02,107.01,107.27,104.29,106.66,128300
2023-05-03,107.0,109.19,106.31,106.43,161800
2023-05-04,105.43,105.98,102.8,103.36,145700
2023-05-05,105.27,106.15,104.46,105.66,126800
2023-05-08,106.26,106.26,104.11,105.18,70700
2023-05-09,104.48,104.77,103.02,103.62,113100
2023-05-10,105.6,105.6,102.55,103.66,67700
2023-05-11,102.52,104.48,102.49,103.74,69700
2023-05-12,104.49,104.82,101.52,102.62,65700
2023-05-15,103.16,105.1,103.04,104.51,119300
2023-05-16,103.41,104.05,102.1,102.22,76300
2023-05-17,103.16,104.84,102.55,104.09,148400
2023-05-18,103.63,105.21,103.5,105.04,204000
2023-05-19,106.72,107.0,104.22,104.65,91100
2023-05-22,104.88,106.01,103.48,104.76,100100
2023-05-23,104.21,105.59,102.68,103.92,90100
2023-05-24,102.83,102.91,101.62,102.15,98600
2023-05-25,101.67,102.98,101.36,102.84,76700
2023-05-26,102.68,106.28,102.68,105.67,114300
2023-05-30,106.88,110.15,105.68,110.01,289100
2023-05-31,108.94,110.33,105.83,106.61,571000
2023-06-01,106.19,109.16,104.63,108.36,184100
2023-06-02,110.34,116.27,110.34,115.99,248500
2023-06-05,114.92,114.92,111.19,112.91,193700
2023-06-06,112.29,116.83,112.29,116.13,180300
2023-06-07,117.21,120.56,117.21,119.26,260600
2023-06-08,118.52,120.19,117.3,118.75,209000
2023-06-09,118.89,119.26,117.23,118.6,80800
2023-06-12,118.31,120.82,117.28,119.79,140500
2023-06-13,120.27,121.99,120.27,121.58,179200
2023-06-14,122.19,122.23,117.18,117.82,198900
2023-06-15,117.48,119.19,117.36,118.78,211100
2023-06-16,120.0,120.0,117.35,119.42,542700
2023-06-20,118.75,123.05,118.75,122.56,165500
2023-06-21,121.94,123.12,119.91,121.43,149300
2023-06-22,121.39,121.39,118.8,119.15,140800
2023-06-23,116.51,118.42,115.67,116.39,202300
2023-06-26,115.93,118.45,115.93,116.81,128500
2023-06-27,117.24,120.07,116.48,119.86,90000
2023-06-28,120.05,120.29,118.69,118.95,67000
2023-06-29,118.99,121.98,118.99,121.43,78000
2023-06-30,122.71,123.29,121.21,121.3,103700
2023-07-03,120.72,122.99,120.64,122.99,47800
2023-07-05,121.56,125.88,118.39,118.71,330400
2023-07-06,117.39,117.84,115.19,116.87,69900
2023-07-07,117.17,119.69,117.17,117.6,76100
2023-07-10,117.18,120.11,116.2,119.69,94500
2023-07-11,120.36,121.6,118.82,119.9,88500
2023-07-12,122.76,123.25,120.4,120.98,184900
2023-07-13,121.49,122.32,119.9,121.73,85500
2023-07-14,120.46,120.46,116.5,116.57,162400
2023-07-17,116.25,118.73,116.04,116.68,137100
2023-07-18,116.99,118.74,116.24,117.27,102100
2023-07-19,117.31,117.58,115.6,116.18,90600
2023-07-20,116.62,118.34,114.7,117.54,102400
2023-07-21,118.3,118.31,115.88,116.0,89000
2023-07-24,116.18,117.24,114.54,116.24,116200
2023-07-25,114.88,116.73,114.73,116.44,120400
2023-07-26,115.91,119.98,115.91,119.31,148100
2023-07-27,119.38,119.46,118.07,118.5,227400
2023-07-28,119.49,121.68,119.49,120.83,88900
2023-07-31,120.83,123.82,120.83,123.61,116000
2023-08-01,122.96,123.23,119.08,120.54,207200
2023-08-02,116.64,120.2,114.51,114.55,136000
2023-08-03,112.91,114.3,111.36,111.73,212600
2023-08-04,111.74,112.68,110.4,110.99,110500
2023-08-07,110.91,112.72,110.91,112.32,125200
2023-08-08,110.39,111.69,108.59,111.0,122000
2023-08-09,111.05,111.68,109.62,111.37,81900
2023-08-10,111.57,113.18,111.22,112.09,143300
2023-08-11,111.4,112.09,110.29,111.6,142000
2023-08-14,110.9,111.68,109.59,109.92,142800
2023-08-15,109.54,110.35,109.19,109.86,163900
2023-08-16,109.97,110.9,109.04,109.04,116600
2023-08-17,109.32,109.84,108.74,108.84,162200
2023-08-18,107.91,108.92,107.28,107.34,171700
2023-08-21,107.15,107.83,106.77,106.91,169100
2023-08-22,107.56,108.13,106.13,107.44,179800
2023-08-23,107.8,109.57,107.14,109.16,130700
2023-08-24,108.37,110.52,108.37,109.73,137800
2023-08-25,110.88,110.88,107.69,108.91,107800
2023-08-28,109.49,111.78,109.49,110.52,75900
2023-08-29,110.22,111.23,109.88,110.52,98900
2023-08-30,109.94,112.08,109.65,109.99,147400
2023-08-31,110.0,111.71,109.72,109.91,102800
2023-09-01,110.92,111.67,110.42,110.89,84200
2023-09-05,109.53,109.53,106.3,106.5,174700
2023-09-06,106.73,107.43,105.74,107.21,92200
2023-09-07,107.0,107.0,104.99,106.47,100200
2023-09-08,105.93,107.32,105.41,105.76,128600
2023-09-11,107.03,108.29,106.21,108.09,154300
