Date,Open,High,Low,Close,Volume
2023-01-13,151.57,154.67,150.5,154.49,51500
2023-01-17,153.94,157.09,153.66,154.22,68000
2023-01-18,154.26,154.46,147.62,148.41,84400
2023-01-19,148.41,152.53,146.56,147.29,92500
2023-01-20,148.57,148.96,143.88,144.25,102100
2023-01-23,145.27,146.79,144.28,144.6,60300
2023-01-24,144.71,150.26,144.03,150.15,83900
2023-01-25,149.49,152.15,148.34,151.93,118000
2023-01-26,151.67,152.86,149.6,150.43,68300
2023-01-27,149.76,150.2,147.7,149.64,52100
2023-01-30,148.63,150.71,146.91,149.12,73900
2023-01-31,145.02,150.45,133.27,143.3,354200
2023-02-01,142.79,144.59,137.92,138.89,208300
2023-02-02,140.5,141.39,136.82,140.87,147500
2023-02-03,140.85,141.44,139.38,141.23,138600
2023-02-06,139.95,143.27,139.67,142.32,118100
2023-02-07,141.85,143.98,140.56,143.85,105200
2023-02-08,142.72,142.94,141.64,141.79,53400
2023-02-09,143.03,144.92,140.11,140.83,52800
2023-02-10,140.39,141.6,139.96,140.65,67700
2023-02-13,140.36,144.06,140.3,143.55,67800
2023-02-14,143.81,143.81,140.6,140.67,52600
2023-02-15,139.9,141.43,139.33,140.76,53400
2023-02-16,140.01,141.26,138.97,139.64,69200
2023-02-17,140.44,142.63,138.29,142.52,55500
2023-02-21,141.68,144.97,140.35,143.83,71700
2023-02-22,144.22,145.91,142.97,145.1,93100
2023-02-23,145.23,146.4,143.63,144.62,67200
2023-02-24,143.98,145.72,139.73,143.75,51200
2023-02-27,143.36,145.24,142.71,143.52,69800
2023-02-28,142.96,143.53,141.21,141.21,81000
2023-03-01,140.61,140.8,138.59,140.52,77400
2023-03-02,139.78,143.58,139.24,143.17,61800
2023-03-03,142.7,143.9,141.18,143.64,55300
2023-03-06,142.84,143.34,138.81,140.19,105600
2023-03-07,139.68,140.36,138.24,139.73,88500
2023-03-08,139.84,142.01,139.72,141.96,45500
2023-03-09,141.96,143.05,140.15,140.99,68800
2023-03-10,140.54,141.1,138.17,139.46,63300
2023-03-13,139.19,142.07,138.17,140.26,51900
2023-03-14,141.68,143.67,139.77,141.93,68600
2023-03-15,141.03,143.75,140.02,142.96,79200
2023-03-16,142.15,143.9,141.17,143.51,95700
2023-03-17,142.8,143.4,139.98,140.81,285500
2023-03-20,140.44,143.67,140.3,142.87,86800
2023-03-21,143.8,145.14,142.47,145.07,110000
2023-03-22,144.54,147.16,143.77,143.85,113400
2023-03-23,143.47,145.17,142.81,144.5,87600
2023-03-24,144.64,146.67,143.6,145.96,84000
2023-03-27,146.54,147.1,145.75,146.28,53600
2023-03-28,146.01,149.76,145.59,149.17,74100
2023-03-29,149.27,149.9,145.67,145.83,87900
2023-03-30,145.58,146.57,145.08,146.3,73600
2023-03-31,147.0,148.49,146.58,148.22,117900
2023-04-03,148.92,153.25,148.92,152.65,72400
2023-04-04,152.39,152.9,150.31,152.88,65900
2023-04-05,152.97,153.2,151.26,152.25,42200
