Date,Open,High,Low,Close,Volume
2023-01-13,40.78,42.25,40.78,42.01,138900
2023-01-17,42.15,43.15,42.02,42.91,190500
2023-01-18,43.47,44.14,42.61,42.87,227500
2023-01-19,42.71,43.43,42.5,43.25,153300
2023-01-20,43.53,44.0,43.06,43.65,154000
2023-01-23,43.81,44.69,43.34,44.21,124300
2023-01-24,43.78,44.59,43.78,44.16,124900
2023-01-25,43.96,44.83,43.52,44.81,113000
2023-01-26,45.15,45.65,44.62,45.59,101800
2023-01-27,45.71,46.24,45.54,46.06,96500
2023-01-30,45.95,46.58,45.51,45.57,99400
2023-01-31,45.52,47.25,45.52,47.1,193100
2023-02-01,46.88,47.53,46.19,47.1,178700
2023-02-02,47.5,48.03,46.94,47.53,222600
2023-02-03,47.0,47.98,46.83,47.39,216500
2023-02-06,46.99,47.38,46.54,47.02,100400
2023-02-07,46.63,47.71,46.39,47.67,175100
2023-02-08,47.42,47.96,46.6,46.67,174500
2023-02-09,47.13,47.67,46.25,46.7,204200
2023-02-10,46.53,47.42,46.3,46.62,134400
2023-02-13,46.76,47.06,46.24,46.8,131100
2023-02-14,46.72,46.94,45.59,46.32,156000
2023-02-15,45.88,46.38,45.62,45.8,134700
2023-02-16,45.25,46.2,45.02,45.69,125800
2023-02-17,45.8,46.02,45.36,45.76,138200
2023-02-21,45.09,45.35,44.24,44.3,132200
2023-02-22,44.41,45.14,44.25,44.62,201400
2023-02-23,44.31,44.43,42.23,43.74,239500
2023-02-24,43.22,43.84,41.94,42.53,298700
2023-02-27,42.95,43.4,42.5,42.75,117100
2023-02-28,42.81,43.26,42.69,42.83,225300
2023-03-01,42.71,42.74,41.8,42.07,129400
2023-03-02,41.79,42.36,41.28,42.06,137300
2023-03-03,42.21,42.77,42.02,42.74,139900
2023-03-06,42.68,42.96,41.7,41.9,211100
2023-03-07,41.82,41.91,40.95,41.02,111400
2023-03-08,41.23,41.88,40.99,41.88,133000
2023-03-09,41.94,42.46,40.85,41.11,138700
2023-03-10,40.88,41.24,39.53,39.81,196100
2023-03-13,39.26,40.07,38.93,39.6,284400
2023-03-14,40.58,41.07,39.71,40.19,206200
2023-03-15,39.25,40.22,39.24,39.94,167200
2023-03-16,39.38,41.29,39.38,40.95,178100
2023-03-17,40.77,40.77,39.47,39.96,583200
2023-03-20,40.32,40.54,39.74,40.16,190700
2023-03-21,40.73,41.18,40.28,40.49,133100
2023-03-22,40.39,40.74,39.24,39.27,138500
2023-03-23,39.35,39.84,39.01,39.17,159000
2023-03-24,38.9,39.43,38.7,39.42,119000
2023-03-27,39.86,39.86,39.27,39.3,132100
2023-03-28,39.06,39.62,38.88,38.99,231200
2023-03-29,39.3,40.05,39.05,40.05,209800
2023-03-30,40.25,40.86,40.18,40.84,165700
2023-03-31,41.15,41.85,41.0,41.61,236000
2023-04-03,41.65,41.76,40.61,40.91,135400
2023-04-04,40.99,40.99,40.18,40.64,120900
2023-04-05,40.27,40.54,40.0,40.3,89900
2023-04-06,40.43,40.8,40.34,40.58,103100
2023-04-10,40.31,41.4,40.28,41.23,232400
2023-04-11,41.38,41.57,40.99,41.04,106900
2023-04-12,41.56,41.58,40.74,40.93,84500
2023-04-13,41.18,41.39,40.82,41.34,76200
2023-04-14,41.38,41.63,40.34,40.78,70600
2023-04-17,40.89,41.74,40.84,41.67,72700
2023-04-18,41.89,41.93,40.8,41.06,62400
2023-04-19,40.97,41.75,40.62,41.55,104000
