Date,Open,High,Low,Close,Volume
2023-01-13,87.49,89.25,87.16,88.38,52300
2023-01-17,88.26,88.81,87.37,88.62,53500
2023-01-18,88.89,91.8,87.4,87.95,99400
2023-01-19,86.67,87.75,85.46,85.62,107800
2023-01-20,85.85,86.73,83.81,85.26,147100
2023-01-23,84.92,85.91,84.51,85.8,74500
2023-01-24,84.71,86.62,83.6,85.17,95100
2023-01-25,84.23,88.41,83.43,88.08,70600
2023-01-26,88.95,89.4,86.79,89.18,45600
2023-01-27,88.62,89.38,86.94,87.09,51300
2023-01-30,86.11,87.1,85.44,85.67,48600
2023-01-31,85.97,88.21,85.97,87.52,135800
2023-02-01,87.18,90.73,85.2,89.84,221500
2023-02-02,90.2,92.88,88.83,92.73,118500
2023-02-03,91.43,94.55,91.43,93.92,111100
2023-02-06,94.08,94.54,88.01,89.16,113400
2023-02-07,88.51,90.68,88.17,90.11,82100
2023-02-08,89.45,90.2,86.09,86.76,98800
2023-02-09,88.3,88.3,84.27,84.98,79300
2023-02-10,84.42,84.42,82.15,83.89,94200
2023-02-13,83.62,86.37,82.95,85.33,55600
2023-02-14,85.45,89.2,83.54,89.01,87300
2023-02-15,87.37,89.98,85.78,89.91,153000
2023-02-16,88.86,91.75,88.08,88.63,90000
2023-02-17,89.08,90.01,88.01,88.08,128600
2023-02-21,87.05,88.64,84.9,85.08,102700
2023-02-22,84.88,87.54,84.21,85.07,168100
2023-02-23,80.43,80.43,72.19,78.81,332400
2023-02-24,76.64,77.8,71.43,75.2,245600
2023-02-27,75.59,78.76,75.2,76.31,206400
2023-02-28,76.48,80.61,76.17,79.32,285300
2023-03-01,79.24,81.88,79.24,81.47,117600
2023-03-02,79.9,83.11,79.9,82.91,104900
2023-03-03,83.79,84.67,82.04,84.33,188000
2023-03-06,83.76,83.76,80.14,80.73,118200
2023-03-07,80.39,81.36,79.24,79.52,97200
2023-03-08,79.28,79.58,77.42,77.86,149800
2023-03-09,78.11,78.62,75.1,75.58,166600
2023-03-10,75.27,75.39,70.59,71.28,169000
2023-03-13,70.43,72.54,68.9,69.46,177500
2023-03-14,72.37,72.66,68.75,70.17,222500
2023-03-15,67.38,69.41,64.08,65.51,237600
2023-03-16,64.45,66.3,63.25,65.63,193600
2023-03-17,64.82,65.13,61.13,61.83,673800
2023-03-20,62.05,63.88,62.05,62.96,179100
2023-03-21,64.59,66.96,64.54,66.52,214100
2023-03-22,66.34,67.08,63.68,63.75,149000
2023-03-23,63.9,67.22,63.9,66.9,295600
2023-03-24,65.89,70.94,65.29,70.35,386000
2023-03-27,71.56,74.13,70.51,72.89,167800
2023-03-28,72.89,74.38,72.51,73.0,235900
2023-03-29,73.91,73.91,71.54,71.79,182000
2023-03-30,72.5,73.09,71.19,72.68,137700
2023-03-31,73.6,74.81,72.94,74.63,96300
2023-04-03,74.83,75.33,73.4,74.81,81300
2023-04-04,74.92,74.92,71.31,72.09,100200
2023-04-05,71.27,71.94,69.57,70.05,112300
2023-04-06,70.41,71.02,68.85,70.82,90200
2023-04-10,70.43,72.67,70.43,72.5,75400
2023-04-11,73.14,73.89,72.06,72.11,110000
2023-04-12,71.48,71.48,67.78,68.18,146200
2023-04-13,68.84,68.85,67.06,67.17,242800
2023-04-14,67.42,67.52,64.93,65.86,199400
2023-04-17,66.2,67.38,65.58,67.0,199000
2023-04-18,67.57,67.67,65.17,66.85,168400
2023-04-19,66.41,67.59,65.26,67.29,124100
2023-04-20,66.55,67.26,64.22,64.84,107400
2023-04-21,64.16,64.16,62.07,63.45,145400
2023-04-24,61.85,62.95,60.82,60.98,144800
2023-04-25,60.21,60.21,57.11,57.36,223300
2023-04-26,57.66,58.93,56.79,58.14,264500
2023-04-27,60.98,65.28,60.61,64.29,243700
2023-04-28,64.55,65.89,62.79,65.72,183100
2023-05-01,65.67,66.27,62.98,63.6,172800
2023-05-02,63.38,63.38,60.13,62.09,107700
2023-05-03,62.05,63.61,61.05,61.49,114800
2023-05-04,61.04,61.75,59.88,61.7,138000
2023-05-05,63.26,63.42,62.28,63.02,78300
2023-05-08,63.58,64.18,62.59,63.16,79600
2023-05-09,62.51,62.98,61.92,61.92,68300
2023-05-10,63.27,63.27,60.28,61.56,76200
2023-05-11,60.33,60.82,59.9,60.19,86000
2023-05-12,60.5,60.5,59.63,60.11,68500
2023-05-15,60.79,62.3,60.54,61.39,80900
2023-05-16,60.89,61.79,59.44,59.52,127400
2023-05-17,60.26,62.42,59.62,62.1,134700
2023-05-18,61.88,63.85,59.9,63.63,101800
2023-05-19,64.71,65.89,63.95,64.55,229500
2023-05-22,64.0,66.33,64.0,65.43,92400
2023-05-23,65.01,66.26,64.25,65.11,57000
2023-05-24,64.3,64.3,62.35,62.94,54900
2023-05-25,62.95,63.41,61.63,62.61,74900
2023-05-26,62.54,63.5,62.32,63.42,75000
2023-05-30,63.56,64.0,62.46,62.73,70600
2023-05-31,62.64,62.64,59.7,60.4,93800
2023-06-01,61.07,63.5,60.32,62.6,76100
2023-06-02,64.62,67.78,64.48,67.41,123000
2023-06-05,67.02,67.31,64.1,65.79,106000
2023-06-06,65.45,68.7,65.45,68.21,79000
2023-06-07,69.03,70.8,69.03,70.16,111200
2023-06-08,70.0,70.0,68.03,69.08,62400
2023-06-09,68.84,68.84,66.62,67.48,75000
2023-06-12,67.98,69.83,67.58,69.36,95600
2023-06-13,70.16,72.15,69.75,70.67,109500
2023-06-14,71.25,72.25,69.37,69.72,89300
2023-06-15,69.5,71.42,68.48,71.07,81700
2023-06-16,71.13,71.56,69.75,71.22,418200
2023-06-20,70.93,70.93,69.43,70.57,99300
2023-06-21,70.0,71.61,69.6,71.06,97500
2023-06-22,70.04,70.8,68.84,68.85,83600
2023-06-23,67.1,68.94,66.21,68.51,187700
2023-06-26,68.42,70.33,68.26,68.38,80800
2023-06-27,68.79,70.97,68.18,70.39,88500
2023-06-28,70.0,71.47,69.55,70.03,86700
2023-06-29,70.1,72.33,69.48,71.77,65100
2023-06-30,72.6,72.6,71.02,71.64,82000
2023-07-03,71.41,73.16,71.41,72.93,36200
2023-07-05,71.99,72.73,70.24,70.87,91300
2023-07-06,70.4,70.58,67.36,70.45,90300
2023-07-07,70.89,73.45,70.89,72.6,72200
2023-07-10,70.6,74.45,70.6,71.94,70500
2023-07-11,71.92,73.51,71.59,73.29,70400
2023-07-12,75.5,76.77,73.97,74.81,86700
2023-07-13,75.22,76.66,75.22,76.22,74900
2023-07-14,76.08,76.08,73.72,75.47,75100
2023-07-17,75.3,77.06,75.19,76.8,62100
2023-07-18,77.02,78.16,75.84,76.06,85100
2023-07-19,76.61,79.41,76.08,79.27,96800
2023-07-20,79.61,80.0,78.45,78.84,84900
2023-07-21,79.29,79.54,77.58,79.04,80700
2023-07-24,78.73,80.09,77.6,79.03,88200
2023-07-25,79.46,82.67,79.45,80.83,136900
2023-07-26,87.64,88.41,81.68,83.12,232800
2023-07-27,83.08,83.08,78.1,78.96,127200
2023-07-28,79.9,80.64,78.14,78.91,80900
2023-07-31,79.17,81.37,79.14,81.2,86000
2023-08-01,80.18,82.0,79.6,81.8,67100
2023-08-02,80.3,81.01,79.13,79.84,69900
2023-08-03,79.54,80.76,78.5,79.35,68000
2023-08-04,79.55,80.26,78.54,78.97,43200
2023-08-07,79.02,79.66,77.97,78.1,51900
2023-08-08,76.64,77.9,75.56,77.48,47000
2023-08-09,77.18,78.17,75.46,76.08,56900
2023-08-10,76.73,76.98,75.68,76.51,68100
2023-08-11,76.18,76.89,75.63,76.22,50600
2023-08-14,75.52,77.08,74.01,76.98,84600
2023-08-15,76.01,76.01,74.06,74.6,83300
2023-08-16,74.48,76.43,74.48,74.82,75300
2023-08-17,75.32,78.05,75.32,76.34,78500
2023-08-18,75.27,76.91,74.43,76.41,68900
2023-08-21,76.24,76.91,74.31,74.86,58900
2023-08-22,75.62,75.88,74.06,74.68,51500
2023-08-23,74.73,74.73,73.4,73.59,43100
2023-08-24,72.95,73.52,71.88,72.36,60000
2023-08-25,72.98,73.13,71.2,72.5,54900
2023-08-28,72.83,74.62,72.56,73.68,49200
2023-08-29,73.8,74.96,72.95,74.96,71800
2023-08-30,74.56,76.57,74.56,76.18,39600
2023-08-31,76.02,76.69,75.78,75.92,66000
2023-09-01,77.09,78.79,77.09,78.09,59300
2023-09-05,77.24,77.24,74.19,74.72,103700
2023-09-06,74.66,75.31,73.13,74.42,75600
2023-09-07,73.73,74.19,72.01,73.78,97200
2023-09-08,74.02,75.04,73.74,73.75,73500
