Date,Open,High,Low,Close,Volume
2023-01-13,53.25,53.67,53.01,53.07,200600
2023-01-17,52.93,53.59,52.85,52.87,193200
2023-01-18,53.17,54.3,52.54,52.6,226800
2023-01-19,52.44,53.23,52.41,52.68,206600
2023-01-20,52.85,53.75,52.65,53.74,167900
2023-01-23,53.85,54.95,53.7,54.71,166300
2023-01-24,54.33,55.26,54.24,54.49,139400
2023-01-25,53.85,55.13,53.35,54.87,173700
2023-01-26,55.29,55.49,54.56,55.43,184900
2023-01-27,54.94,55.74,54.63,54.71,169500
2023-01-30,54.35,54.96,53.78,53.88,171600
2023-01-31,54.1,55.13,53.67,53.99,635600
2023-02-01,53.85,55.61,53.5,55.33,372500
2023-02-02,55.88,57.87,55.78,57.7,266200
2023-02-03,57.2,58.22,57.18,57.2,257600
2023-02-06,56.88,57.26,56.36,57.07,192600
2023-02-07,56.42,57.79,56.14,57.67,190700
2023-02-08,57.25,57.56,56.2,56.78,245500
2023-02-09,57.27,57.72,55.58,55.58,167400
2023-02-10,55.51,56.24,55.24,55.75,188600
2023-02-13,55.69,56.43,55.47,56.21,151400
2023-02-14,55.93,56.65,55.58,55.95,252600
2023-02-15,55.56,56.92,55.56,56.77,111100
2023-02-16,55.7,56.81,55.6,56.53,156500
2023-02-17,56.74,57.65,56.44,57.41,186100
2023-02-21,56.67,57.09,56.36,56.63,418700
2023-02-22,56.46,56.72,55.4,55.8,326200
2023-02-23,56.22,56.65,55.78,56.24,157800
2023-02-24,55.71,55.73,55.05,55.67,166000
2023-02-27,56.19,56.39,55.51,55.57,169300
2023-02-28,55.48,56.54,55.45,55.89,501500
2023-03-01,55.82,57.06,55.58,56.9,243400
2023-03-02,56.57,57.01,56.11,56.54,200400
2023-03-03,56.91,57.03,56.07,56.18,267300
2023-03-06,56.05,56.33,55.1,55.41,301100
2023-03-07,55.59,55.78,54.89,55.12,252800
2023-03-08,58.17,59.91,57.42,58.14,531500
2023-03-09,58.43,58.82,56.52,56.58,392000
2023-03-10,56.37,56.37,54.46,54.77,383500
2023-03-13,53.79,53.82,51.0,52.33,532400
2023-03-14,54.04,54.39,52.23,52.83,448600
2023-03-15,51.57,51.86,51.06,51.39,411200
2023-03-16,50.61,52.65,50.17,52.17,352300
2023-03-17,51.88,51.88,49.81,50.03,1745700
2023-03-20,50.69,51.52,50.03,50.06,387400
2023-03-21,50.96,51.31,50.45,50.75,332300
2023-03-22,50.9,51.06,49.35,49.37,310500
2023-03-23,49.37,49.84,49.02,49.53,532500
2023-03-24,49.14,50.32,49.11,50.21,363400
2023-03-27,50.66,51.13,49.97,50.79,240200
