Date,Open,High,Low,Close,Volume
2023-01-13,65.37,66.67,64.86,65.0,2912900
2023-01-17,64.21,70.95,63.34,67.44,7422400
2023-01-18,67.46,68.78,63.35,63.41,2497400
2023-01-19,62.33,63.02,60.91,62.19,2559200
2023-01-20,62.62,66.1,62.02,66.08,2469000
2023-01-23,66.52,67.95,65.94,67.33,2038200
2023-01-24,66.87,68.04,66.49,66.72,1174600
2023-01-25,65.63,66.54,64.84,66.31,2605800
2023-01-26,67.26,67.56,65.03,66.26,1665600
2023-01-27,66.22,69.62,66.1,69.1,2275100
2023-01-30,68.69,71.59,67.88,69.04,3186100
2023-01-31,69.23,70.46,68.4,70.45,1960800
2023-02-01,70.19,76.35,70.19,75.84,3678300
2023-02-02,77.07,80.92,77.07,79.32,4546100
2023-02-03,77.7,79.99,77.47,78.19,1913100
2023-02-06,77.34,78.03,76.23,77.86,1164200
2023-02-07,77.0,77.11,75.05,76.16,1904600
2023-02-08,75.73,77.45,75.37,76.22,1323000
2023-02-09,77.17,77.52,73.72,74.48,1730400
2023-02-10,73.89,74.84,73.26,73.57,1510700
2023-02-13,73.42,75.25,73.0,75.1,1215700
2023-02-14,74.53,76.42,73.67,75.91,1306700
2023-02-15,74.44,75.69,72.59,75.55,1458600
2023-02-16,73.7,75.32,73.08,74.32,932200
2023-02-17,74.31,75.1,71.94,72.95,1791300
2023-02-21,72.0,72.04,67.6,68.59,2140300
2023-02-22,69.03,70.14,68.1,69.49,1603500
2023-02-23,70.0,70.1,67.56,69.11,1337900
2023-02-24,67.5,68.48,66.91,67.86,1466100
2023-02-27,69.01,69.24,66.93,67.13,1292100
2023-02-28,67.4,70.0,67.4,69.04,2109900
2023-03-01,68.36,69.35,67.81,68.76,1457500
2023-03-02,67.93,68.39,67.08,67.86,1628100
2023-03-03,68.43,70.43,68.18,70.35,1293000
2023-03-06,70.79,70.99,68.48,68.77,1118700
2023-03-07,68.75,70.15,68.47,68.8,1306300
2023-03-08,68.99,71.09,68.74,70.48,1396400
2023-03-09,70.22,71.13,66.27,66.37,1970900
2023-03-10,65.02,65.66,62.76,63.73,3444800
2023-03-13,61.7,62.75,59.32,61.21,4770700
2023-03-14,63.01,63.14,59.56,60.33,2732900
2023-03-15,58.94,59.46,57.67,59.13,3883900
2023-03-16,58.11,59.13,57.1,58.48,4364500
2023-03-17,58.18,58.33,55.95,56.26,4570000
2023-03-20,56.5,58.29,56.26,56.76,2988300
2023-03-21,58.01,60.6,58.01,59.12,2962900
2023-03-22,59.97,60.41,57.42,57.46,1664400
2023-03-23,57.88,58.31,55.77,56.73,1888200
2023-03-24,56.19,58.01,55.88,57.78,3122600
2023-03-27,58.62,58.98,57.5,58.27,2544300
2023-03-28,58.16,59.4,57.91,58.27,1328900
2023-03-29,58.93,59.72,58.22,59.53,1318400
2023-03-30,60.8,61.91,60.58,61.1,1911600
2023-03-31,61.33,64.43,61.14,64.28,2080400
2023-04-03,64.58,65.24,63.95,64.58,1797500
2023-04-04,64.92,65.0,62.84,63.5,2024200
2023-04-05,62.97,63.37,61.15,62.44,1871800
2023-04-06,62.51,64.61,61.97,64.33,1671100
2023-04-10,63.8,66.11,63.56,65.86,3867700
2023-04-11,69.65,73.57,69.12,72.21,12741100
2023-04-12,73.0,73.06,67.26,68.58,5388500
2023-04-13,69.67,70.28,67.13,69.01,3072000
2023-04-14,69.6,71.5,68.49,69.46,2795800
2023-04-17,69.24,69.8,68.46,69.6,1613800
2023-04-18,69.37,69.94,68.67,69.07,1506000
2023-04-19,67.96,68.33,67.21,68.12,1836800
2023-04-20,67.15,68.01,66.25,67.45,1913700
2023-04-21,67.72,69.26,66.65,69.16,1514300
2023-04-24,68.75,69.42,68.49,68.88,1136500
2023-04-25,68.43,68.8,67.35,67.36,1397200
2023-04-26,68.14,69.48,67.72,67.92,1912700
2023-04-27,68.06,70.43,67.84,70.4,1457700
2023-04-28,70.24,70.72,69.61,70.03,1308800
2023-05-01,70.09,70.94,69.66,70.48,1436300
2023-05-02,70.24,71.92,69.48,71.33,2274500
2023-05-03,71.31,72.88,70.61,70.67,1727600
2023-05-04,70.27,70.58,67.14,68.07,1960600
2023-05-05,69.25,71.31,68.99,70.61,1422200
2023-05-08,71.16,73.02,70.46,72.75,1709600
2023-05-09,71.8,72.97,71.37,72.53,1497900
2023-05-10,73.64,74.15,72.14,73.41,1666800
2023-05-11,73.25,73.55,71.11,72.27,995800
2023-05-12,73.0,73.25,70.25,71.16,919200
2023-05-15,71.07,71.94,70.26,71.7,1324800
2023-05-16,71.59,71.59,68.97,69.06,1276900
2023-05-17,69.55,72.44,69.3,71.95,1383500
2023-05-18,71.41,73.26,71.06,73.13,944200
2023-05-19,73.06,73.06,70.75,71.75,1183500
2023-05-22,71.92,72.43,71.25,72.21,949700
2023-05-23,71.81,73.83,71.55,71.98,1664000
2023-05-24,71.35,71.74,69.1,70.15,1344700
2023-05-25,70.13,71.63,70.0,71.02,937900
2023-05-26,71.24,72.86,70.8,72.48,935100
