Date,Open,High,Low,Close,Volume
2023-01-13,31.5,32.09,31.06,32.06,129100
2023-01-17,32.06,32.48,31.88,32.03,60000
2023-01-18,32.06,32.56,31.52,31.66,42400
2023-01-19,31.31,31.61,31.0,31.44,60100
2023-01-20,31.65,31.86,31.32,31.66,45300
2023-01-23,31.56,32.22,31.5,31.84,45200
2023-01-24,31.57,32.56,31.49,32.54,56500
2023-01-25,32.19,32.92,32.07,32.91,60700
2023-01-26,32.78,32.94,32.24,32.69,47400
2023-01-27,32.59,32.79,32.3,32.38,39400
2023-01-30,32.01,32.74,32.01,32.63,67200
2023-01-31,32.84,34.61,32.8,34.61,122600
2023-02-01,34.3,34.67,33.78,34.48,169100
2023-02-02,34.47,35.45,34.33,35.43,91700
2023-02-03,34.62,35.9,34.62,35.28,121600
2023-02-06,34.76,34.76,33.62,34.2,89700
2023-02-07,33.86,34.84,33.54,34.51,101500
2023-02-08,34.09,34.38,33.96,34.14,49100
2023-02-09,34.37,34.37,32.66,32.85,96700
2023-02-10,32.78,33.55,32.78,33.44,91000
2023-02-13,33.41,34.28,33.41,34.14,64500
2023-02-14,34.04,34.47,33.69,34.03,64200
2023-02-15,33.76,34.58,33.58,34.38,33100
2023-02-16,34.01,34.68,33.83,34.57,61100
2023-02-17,34.67,34.85,34.38,34.69,54000
2023-02-21,34.37,34.37,33.71,33.72,53900
2023-02-22,33.93,34.35,33.73,34.11,107100
2023-02-23,34.16,34.51,33.57,34.42,93500
2023-02-24,33.88,34.35,33.6,34.35,69900
2023-02-27,35.97,37.43,35.13,35.21,189000
2023-02-28,35.16,36.6,34.79,35.89,157900
2023-03-01,35.94,38.42,35.68,38.12,283600
2023-03-02,37.61,37.62,36.72,37.05,112100
2023-03-03,37.42,37.88,36.94,37.55,73300
2023-03-06,37.23,37.45,35.05,35.46,238600
2023-03-07,35.48,36.48,35.48,35.78,118100
2023-03-08,35.77,36.23,35.42,36.11,85300
2023-03-09,36.19,36.36,34.92,34.97,76500
2023-03-10,34.73,34.73,33.36,33.59,75700
2023-03-13,32.69,32.83,31.8,31.82,107300
2023-03-14,32.97,33.55,32.42,32.59,191500
2023-03-15,31.59,32.35,31.33,32.26,160100
2023-03-16,31.76,33.3,31.49,32.52,159200
2023-03-17,32.29,32.44,31.63,31.77,341200
2023-03-20,32.33,32.98,32.33,32.61,147300
2023-03-21,33.32,34.15,32.78,32.94,101500
2023-03-22,32.99,33.42,32.22,32.26,59600
2023-03-23,32.44,33.13,31.92,32.44,96200
2023-03-24,32.04,32.85,31.84,32.82,87500
2023-03-27,33.28,33.54,32.96,33.3,64800
2023-03-28,33.1,33.97,33.1,33.48,73600
2023-03-29,33.95,34.32,33.81,34.18,94500
2023-03-30,34.51,34.74,33.72,33.87,60400
2023-03-31,34.06,34.99,34.06,34.97,209000
2023-04-03,35.07,35.51,34.63,34.82,137200
2023-04-04,34.7,34.7,33.37,33.75,76600
2023-04-05,33.35,33.5,33.05,33.44,65100
2023-04-06,33.4,33.69,33.19,33.27,40800
2023-04-10,33.14,34.11,33.14,33.93,66300
2023-04-11,34.1,34.61,33.8,34.01,60000
2023-04-12,34.31,34.64,33.88,34.52,71300
2023-04-13,34.71,34.89,34.35,34.74,48600
2023-04-14,34.53,35.04,33.9,34.13,59100
2023-04-17,34.15,34.44,33.99,34.37,27400
2023-04-18,34.45,34.52,33.88,34.25,40600
2023-04-19,34.08,34.36,33.89,34.35,47900
2023-04-20,34.12,34.19,33.6,34.07,64400
2023-04-21,34.13,34.13,33.54,33.7,34800
2023-04-24,33.97,34.0,33.65,33.74,23000
2023-04-25,33.23,33.65,32.43,32.45,34300
2023-04-26,32.05,32.36,31.7,31.96,48800
2023-04-27,32.08,32.51,31.53,32.28,41600
2023-04-28,32.08,33.3,32.08,32.81,71400
2023-05-01,32.8,33.45,32.8,33.13,62400
2023-05-02,32.8,32.8,31.52,32.08,162400
2023-05-03,32.2,33.03,31.85,32.04,113600
2023-05-04,31.63,31.63,30.87,31.31,53000
2023-05-05,33.65,34.0,32.77,33.17,73300
2023-05-08,33.27,33.27,31.24,32.37,55300
2023-05-09,32.09,32.12,31.5,31.72,95600
2023-05-10,32.24,32.24,31.41,31.76,45700
2023-05-11,31.29,31.47,30.96,31.25,35700
2023-05-12,31.33,31.61,31.03,31.32,52900
2023-05-15,31.46,31.59,31.11,31.21,46800
2023-05-16,30.78,31.05,30.56,30.73,41600
2023-05-17,30.93,31.57,30.8,31.33,58700
2023-05-18,31.23,32.13,30.94,32.02,55600
2023-05-19,32.45,32.46,31.68,31.92,37600
2023-05-22,31.98,32.2,31.47,31.61,36900
2023-05-23,31.55,32.13,31.55,31.64,40200
2023-05-24,31.37,31.49,30.87,30.88,48400
2023-05-25,30.59,30.8,30.04,30.14,34700
2023-05-26,30.22,30.34,29.65,29.74,39300
2023-05-30,29.71,29.74,28.98,29.1,33900
2023-05-31,29.1,29.1,28.45,28.96,191200
2023-06-01,29.06,29.6,28.8,29.19,56100
2023-06-02,29.89,31.7,29.71,31.61,82600
2023-06-05,31.27,31.27,30.07,30.88,51200
2023-06-06,30.88,31.73,30.88,31.34,112300
2023-06-07,31.67,33.51,31.5,33.36,100600
2023-06-08,33.21,33.21,32.17,33.0,82900
2023-06-09,32.74,33.52,32.02,32.33,60200
2023-06-12,32.49,33.25,32.35,32.98,62700
2023-06-13,32.94,33.9,32.94,33.63,79800
2023-06-14,33.83,34.09,33.44,33.79,81100
2023-06-15,33.62,34.38,33.52,34.3,87300
2023-06-16,34.7,34.7,33.51,34.17,363400
2023-06-20,33.83,33.92,33.53,33.76,51300
2023-06-21,33.46,34.03,33.35,33.78,53500
2023-06-22,33.63,33.63,32.72,32.94,59900
2023-06-23,32.29,32.58,31.92,32.36,128800
2023-06-26,32.32,32.87,32.2,32.44,65100
2023-06-27,32.41,32.98,32.17,32.83,48600
2023-06-28,32.79,33.26,32.44,32.74,59800
2023-06-29,32.85,33.84,32.75,33.68,50700
2023-06-30,34.02,34.81,33.71,34.1,128000
2023-07-03,33.98,34.72,33.98,34.45,25800
2023-07-05,34.27,34.27,33.07,33.58,66700
2023-07-06,33.22,33.84,32.68,33.7,76100
2023-07-07,33.72,34.87,33.61,34.54,128800
2023-07-10,34.24,34.94,34.17,34.48,63900
2023-07-11,34.72,34.93,34.37,34.85,47400
2023-07-12,35.0,35.68,34.87,35.3,92200
2023-07-13,35.29,35.81,35.11,35.78,60500
2023-07-14,35.71,35.75,34.73,35.59,43200
2023-07-17,35.45,36.07,35.04,35.82,45900
2023-07-18,35.71,36.66,35.71,36.62,39300
2023-07-19,36.53,36.94,36.13,36.76,39900
2023-07-20,36.89,36.97,36.17,36.77,50600
2023-07-21,36.91,36.91,36.39,36.44,56300
2023-07-24,36.31,36.97,36.31,36.75,38400
2023-07-25,36.68,37.42,36.68,37.0,44900
2023-07-26,36.96,37.25,36.81,36.93,50600
2023-07-27,36.89,37.13,36.26,36.47,68500
2023-07-28,36.78,37.68,36.78,37.66,48100
2023-07-31,37.66,38.36,37.66,38.26,59800
2023-08-01,37.86,38.72,37.81,38.6,74700
2023-08-02,37.57,38.57,37.37,37.9,78900
2023-08-03,37.34,38.55,37.08,38.4,94700
2023-08-04,38.21,38.98,38.11,38.86,61000
2023-08-07,38.45,39.27,38.44,38.97,83700
2023-08-08,38.12,38.8,37.64,38.73,65400
2023-08-09,38.13,38.71,38.03,38.7,88600
2023-08-10,38.76,38.99,38.36,38.62,82600
2023-08-11,38.48,39.45,38.41,39.05,62300
2023-08-14,38.93,39.6,38.25,39.47,75100
2023-08-15,39.3,39.3,38.29,38.39,39700
2023-08-16,38.0,38.87,38.0,38.23,83500
2023-08-17,38.09,39.12,37.91,38.91,143100
2023-08-18,38.33,39.44,38.25,39.13,85600
2023-08-21,39.11,39.11,37.83,37.95,69100
2023-08-22,38.12,38.23,37.44,37.65,50800
2023-08-23,37.61,37.84,37.17,37.47,36900
2023-08-24,37.04,37.58,36.85,36.93,72400
2023-08-25,37.04,37.47,36.59,37.19,36400
2023-08-28,37.27,38.0,37.27,37.6,37100
2023-08-29,37.69,38.27,37.33,38.2,104400
2023-08-30,37.98,38.81,37.98,38.77,79500
2023-08-31,38.81,38.89,37.99,38.29,141900
2023-09-01,38.55,40.03,38.33,39.9,207000
2023-09-05,39.28,39.28,37.08,38.13,104400
2023-09-06,38.25,38.76,37.88,38.55,85500
2023-09-07,38.55,38.59,37.03,37.45,160200
2023-09-08,37.62,37.62,37.15,37.28,80200
2023-09-11,37.58,37.82,37.36,37.62,62700
2023-09-12,37.53,37.72,37.01,37.08,87300
2023-09-13,37.04,37.05,36.33,36.54,96000
2023-09-14,37.36,38.23,36.97,38.13,84700
2023-09-15,38.2,39.06,38.2,38.76,323300
2023-09-18,39.1,41.91,38.94,41.76,265000
2023-09-19,41.23,41.8,40.25,40.78,183900
2023-09-20,40.79,41.69,39.6,39.6,217400
2023-09-21,39.39,41.68,39.29,41.4,173400
2023-09-22,41.42,41.76,40.41,40.45,136300
2023-09-25,40.49,41.3,40.45,41.02,91400
2023-09-26,40.7,40.84,38.95,39.43,101500
2023-09-27,39.85,40.53,39.41,40.0,78600
2023-09-28,40.16,40.64,39.71,40.28,208600
2023-09-29,40.68,40.68,39.48,39.55,157200
2023-10-02,39.33,39.79,39.04,39.73,154800
2023-10-03,39.29,40.05,38.38,38.44,83900
2023-10-04,38.28,38.82,37.71,37.96,89100
2023-10-05,37.8,38.2,37.55,37.95,111500
2023-10-06,37.95,39.02,37.89,38.34,79000
2023-10-09,38.0,38.59,38.0,38.21,46700
2023-10-10,38.92,39.36,38.67,39.03,61600
2023-10-11,39.05,39.39,38.42,39.35,90100
2023-10-12,39.6,39.6,37.91,38.53,123100
2023-10-13,38.77,38.77,37.34,37.49,51000
2023-10-16,37.75,38.36,37.12,37.9,164900
2023-10-17,37.38,38.83,37.38,38.17,106700
2023-10-18,37.74,37.74,36.95,37.09,52800
2023-10-19,36.95,37.23,36.31,36.34,76600
2023-10-20,36.54,37.02,36.11,36.19,81400
2023-10-23,35.79,36.12,35.54,35.61,62800
2023-10-24,35.8,36.18,35.52,35.57,74400
2023-10-25,35.39,35.49,34.93,35.16,68500
2023-10-26,35.25,35.9,35.06,35.61,69600
2023-10-27,35.56,36.63,34.89,36.39,141700
2023-10-30,36.92,36.92,36.3,36.34,63100
2023-10-31,36.59,36.85,36.27,36.57,60700
2023-11-01,36.38,37.12,36.09,36.9,109700
2023-11-02,37.38,37.84,36.71,37.38,125600
2023-11-03,36.55,39.03,36.55,37.91,112000
2023-11-06,38.03,38.03,36.61,37.3,112400
