Date,Open,High,Low,Close,Volume
2023-01-13,16.9,16.99,16.17,16.59,2163100
2023-01-17,16.35,16.56,15.88,15.95,1583300
2023-01-18,16.05,16.16,14.71,14.75,2458200
2023-01-19,14.64,14.84,14.385,14.66,3111500
2023-01-20,14.76,14.93,14.379,14.72,2251200
2023-01-23,14.78,14.942,14.62,14.8,2656400
2023-01-24,15.0,15.02,14.23,14.56,4096100
2023-01-25,15.05,15.43,14.27,15.15,6503600
2023-01-26,15.44,15.543,14.27,15.13,7090800
2023-01-27,15.38,15.705,15.29,15.39,3557500
2023-01-30,15.3,15.775,15.23,15.43,5488400
2023-01-31,15.37,15.93,15.29,15.83,2785300
2023-02-01,15.74,15.91,14.92,15.5,2773900
2023-02-02,15.5,15.745,14.99,15.31,3149600
2023-02-03,15.28,15.82,15.175,15.31,2289400
2023-02-06,15.26,15.48,14.98,15.28,3783500
2023-02-07,15.4,15.575,15.19,15.5,2116100
2023-02-08,15.5,15.775,15.35,15.64,4391600
2023-02-09,15.76,15.76,14.75,14.78,5055500
2023-02-10,14.97,15.488,14.88,15.45,2757800
2023-02-13,15.27,15.98,15.12,15.85,1980200
2023-02-14,15.71,16.22,15.57,15.9,3137800
2023-02-15,15.72,15.72,15.22,15.57,3121600
2023-02-16,15.61,16.315,15.565,15.97,3802400
2023-02-17,15.77,15.78,14.83,15.06,2953800
2023-02-21,14.97,15.115,14.765,15.02,4879900
2023-02-22,14.85,15.101,14.355,14.88,7923300
2023-02-23,15.16,15.27,14.61,15.15,5973900
2023-02-24,14.93,15.28,14.61,15.28,1929500
2023-02-27,15.35,15.81,15.25,15.58,2655400
2023-02-28,15.66,15.76,15.24,15.25,1865900
2023-03-01,15.32,15.915,15.25,15.82,1480100
2023-03-02,15.69,16.505,15.601,16.43,2044200
2023-03-03,16.2,16.54,16.02,16.4,2125200
2023-03-06,16.4,16.59,16.26,16.47,1572800
2023-03-07,16.44,16.5,15.965,16.1,4053900
2023-03-08,16.17,16.305,15.625,16.0,1695900
2023-03-09,16.21,16.215,14.86,14.87,2493100
2023-03-10,14.83,15.2,14.34,14.37,2127600
2023-03-13,13.78,14.44,13.46,13.69,3079700
2023-03-14,13.75,14.215,13.16,13.51,3493800
2023-03-15,12.77,12.97,12.215,12.68,4349700
2023-03-16,12.25,12.98,12.22,12.89,4440800
2023-03-17,12.8,12.89,12.155,12.66,5031700
2023-03-20,12.7,13.195,12.7,12.88,2404200
2023-03-21,13.32,13.39,12.83,12.85,4114500
2023-03-22,12.85,12.877,12.04,12.04,3782000
2023-03-23,12.16,12.47,11.5,11.62,3515500
2023-03-24,11.3,11.95,11.18,11.85,3635100
2023-03-27,12.0,12.61,11.81,12.55,4723600
2023-03-28,12.35,13.26,12.33,13.1,4237700
2023-03-29,13.3,13.329,12.77,12.92,3250200
2023-03-30,13.115,13.24,12.48,12.59,2412600
2023-03-31,12.75,12.86,12.61,12.81,3443300
2023-04-03,13.67,14.01,13.475,13.62,5566600
2023-04-04,13.71,13.71,13.055,13.3,4533500
2023-04-05,13.05,13.55,13.01,13.55,2276400
2023-04-06,13.59,13.62,13.195,13.3,1755200
2023-04-10,13.36,13.81,13.35,13.44,3039100
2023-04-11,13.49,13.59,13.305,13.44,2699200
2023-04-12,13.51,13.57,13.16,13.18,1976600
2023-04-13,13.26,13.515,13.1,13.39,1966800
2023-04-14,13.47,13.54,13.223,13.44,1723800
2023-04-17,13.37,13.54,13.18,13.25,1495300
2023-04-18,12.94,13.2,12.8,13.02,3060800
2023-04-19,12.84,13.3,12.823,13.23,2978700
2023-04-20,12.9,13.51,12.9,13.35,3353200
