Date,Open,High,Low,Close,Volume
2023-01-13,135.03,138.08,134.28,137.78,392300
2023-01-17,137.77,138.62,134.87,136.83,480000
2023-01-18,138.48,139.59,135.53,136.14,403700
2023-01-19,134.76,135.28,132.6,134.29,466400
2023-01-20,135.34,136.78,134.0,136.41,411300
2023-01-23,137.46,140.01,137.2,138.61,394100
2023-01-24,136.22,137.77,133.09,134.94,539500
2023-01-25,133.6,134.85,131.28,134.72,712400
2023-01-26,136.71,137.04,134.03,136.25,468300
2023-01-27,138.98,141.68,138.64,140.5,811700
2023-01-30,138.3,141.16,137.8,138.9,678400
2023-01-31,140.73,146.12,138.23,145.78,686900
2023-02-01,145.41,150.28,145.28,149.46,735600
2023-02-02,148.58,148.58,138.18,144.87,1476100
2023-02-03,142.0,145.3,141.04,141.12,1073600
2023-02-06,137.31,140.49,136.47,140.45,648800
2023-02-07,139.86,141.97,138.42,141.48,576200
2023-02-08,139.82,141.71,139.7,140.04,494400
2023-02-09,142.16,142.66,137.79,138.12,481600
2023-02-10,136.05,138.32,135.12,137.26,651100
2023-02-13,137.63,141.07,137.6,140.42,611900
2023-02-14,139.89,142.71,137.88,142.09,664900
2023-02-15,140.64,144.2,140.64,143.74,521400
2023-02-16,141.75,145.05,141.7,142.98,681300
2023-02-17,142.79,144.66,141.29,143.74,579300
2023-02-21,142.05,144.05,140.24,141.96,651900
2023-02-22,142.77,144.59,141.99,143.46,480400
2023-02-23,144.62,144.62,140.3,140.88,854400
2023-02-24,138.38,140.1,137.61,140.1,568700
2023-02-27,141.78,143.98,140.51,141.14,446700
2023-02-28,141.23,141.24,138.87,139.65,868400
2023-03-01,140.4,142.33,140.4,141.36,344800
2023-03-02,139.66,140.44,138.61,140.24,383500
2023-03-03,141.99,143.47,140.93,142.65,497200
2023-03-06,142.93,143.44,140.5,141.11,574100
2023-03-07,140.86,141.47,139.41,140.4,369600
2023-03-08,140.75,140.77,138.82,140.14,481700
2023-03-09,139.6,140.61,137.23,137.58,573000
2023-03-10,137.22,138.17,133.59,135.06,698200
2023-03-13,131.89,133.42,127.73,131.92,666400
2023-03-14,135.0,144.7,133.48,140.36,1805800
2023-03-15,136.02,137.54,132.94,134.28,1416700
2023-03-16,132.61,138.73,132.49,138.05,686900
2023-03-17,136.57,136.83,132.2,134.3,995900
2023-03-20,134.94,137.22,134.4,135.52,780400
2023-03-21,138.07,140.3,135.79,139.29,385600
2023-03-22,139.51,140.22,136.13,136.34,441400
2023-03-23,137.14,138.97,135.11,136.58,260800
2023-03-24,135.16,138.14,133.43,137.97,362800
2023-03-27,139.54,140.0,135.8,136.95,439000
2023-03-28,137.21,138.74,136.26,136.64,557500
2023-03-29,137.79,139.18,136.81,137.05,811400
2023-03-30,139.01,139.49,137.8,138.16,444800
2023-03-31,139.41,139.51,138.29,139.49,632100
2023-04-03,138.79,140.43,137.51,138.03,367000
2023-04-04,138.27,138.39,134.71,136.0,523000
2023-04-05,134.74,134.74,132.18,133.43,369000
2023-04-06,132.91,133.24,131.16,131.7,591900
2023-04-10,131.41,134.25,131.41,134.22,275800
2023-04-11,134.63,136.23,133.99,135.27,405800
2023-04-12,136.75,137.09,133.91,134.46,325600
2023-04-13,134.99,135.67,133.95,135.25,384600
2023-04-14,135.95,138.79,134.74,135.32,452200
2023-04-17,135.22,135.79,133.64,134.6,469900
2023-04-18,135.85,137.07,135.37,136.75,367100
2023-04-19,136.2,136.61,134.7,135.89,437400
2023-04-20,132.04,135.76,132.04,135.61,524700
2023-04-21,135.15,135.88,132.38,132.49,614100
2023-04-24,132.67,134.31,132.12,133.86,416500
2023-04-25,132.57,133.39,131.18,131.56,426100
2023-04-26,131.05,132.78,130.8,130.97,808600
2023-04-27,129.7,130.73,123.3,128.18,1086500
2023-04-28,126.71,128.15,125.41,127.66,814700
2023-05-01,127.66,129.9,126.25,126.9,565900
2023-05-02,125.71,126.17,122.95,124.75,707700
2023-05-03,124.37,125.87,121.59,121.95,706500
2023-05-04,120.99,121.28,117.79,118.93,863200
2023-05-05,121.07,123.65,120.72,123.6,563800
2023-05-08,124.61,127.97,123.72,127.42,920300
2023-05-09,126.34,126.87,124.38,125.12,488600
2023-05-10,127.39,127.84,123.09,124.27,340700
2023-05-11,123.84,125.72,123.04,125.57,508800
2023-05-12,126.17,126.17,122.43,123.24,463800
2023-05-15,123.29,123.69,122.06,122.73,434100
2023-05-16,121.32,122.58,120.48,120.53,610700
2023-05-17,121.34,123.95,120.88,122.9,401400
2023-05-18,122.48,124.46,122.12,124.3,322100
2023-05-19,125.27,125.56,124.09,125.06,699400
2023-05-22,125.5,126.45,124.55,126.13,517200
2023-05-23,125.11,128.11,125.11,125.63,564600
2023-05-24,124.41,126.06,123.22,124.11,910700
2023-05-25,123.49,125.12,123.45,124.36,675200
2023-05-26,125.23,128.53,124.84,127.61,669200
2023-05-30,128.45,128.85,125.83,127.74,818800
2023-05-31,125.77,126.59,121.38,122.66,1144900
2023-06-01,124.34,126.62,123.62,125.69,615300
2023-06-02,128.51,132.25,128.51,131.06,557100
2023-06-05,130.17,130.85,128.46,129.27,690200
2023-06-06,128.6,133.2,128.32,133.01,537100
2023-06-07,133.29,137.08,133.29,136.75,567400
2023-06-08,136.83,138.95,134.73,134.78,431300
2023-06-09,135.63,138.64,135.59,138.11,744500
2023-06-12,138.45,142.66,138.45,141.77,724200
2023-06-13,142.45,144.59,142.45,142.92,545700
2023-06-14,143.94,150.28,143.29,144.66,1623800
2023-06-15,142.99,144.98,142.26,143.34,997000
2023-06-16,143.42,143.78,141.46,143.06,1219100
2023-06-20,141.62,143.82,139.96,142.62,1067700
2023-06-21,142.45,142.53,140.13,141.1,783000
2023-06-22,140.23,140.44,137.2,137.61,640900
2023-06-23,135.56,137.13,134.04,136.39,652700
2023-06-26,136.74,139.21,135.72,138.78,563500
2023-06-27,142.17,142.78,138.24,140.61,1121800
2023-06-28,142.02,142.02,139.26,141.14,672800
2023-06-29,141.98,144.05,141.68,142.44,498800
2023-06-30,143.51,144.6,142.31,143.55,406600
2023-07-03,143.08,145.48,143.08,145.13,307600
2023-07-05,145.13,145.46,143.54,143.74,477400
2023-07-06,144.17,147.5,143.14,145.6,668400
2023-07-07,146.19,149.66,146.19,148.63,569700
2023-07-10,148.27,149.26,146.84,146.96,652500
2023-07-11,147.55,150.35,147.15,150.14,537400
2023-07-12,152.36,153.5,151.64,153.08,455800
2023-07-13,153.69,154.14,152.74,153.72,373000
2023-07-14,153.24,153.36,149.68,150.15,421400
2023-07-17,149.31,149.52,147.42,148.19,426800
2023-07-18,148.23,150.16,147.62,148.61,624200
2023-07-19,148.68,149.31,147.99,149.04,410000
2023-07-20,148.85,148.99,147.04,148.74,496800
2023-07-21,150.59,152.0,148.85,149.92,419300
2023-07-24,149.98,151.59,149.49,151.26,353000
2023-07-25,150.72,152.0,149.91,150.04,334700
2023-07-26,149.59,153.41,147.57,152.26,450600
2023-07-27,153.46,155.42,151.88,152.29,555300
2023-07-28,154.01,154.68,152.94,154.52,458000
2023-07-31,153.96,155.8,153.42,154.76,717400
2023-08-01,156.27,157.91,154.09,154.44,828100
2023-08-02,153.62,154.13,151.69,151.9,748100
2023-08-03,150.29,156.54,150.29,154.07,764500
2023-08-04,154.08,156.36,152.45,153.0,558400
2023-08-07,154.72,156.12,153.6,155.51,471000
2023-08-08,152.69,153.93,152.22,153.89,406200
2023-08-09,153.56,154.04,151.3,151.41,379500
2023-08-10,151.37,152.7,147.86,148.66,646000
2023-08-11,147.34,148.19,142.42,142.8,901300
2023-08-14,142.25,144.64,141.09,144.56,652400
2023-08-15,143.01,144.04,141.96,143.16,701000
2023-08-16,142.01,143.91,141.15,141.27,603300
2023-08-17,142.35,143.17,140.26,141.07,323600
2023-08-18,139.71,143.23,139.71,141.97,511800
2023-08-21,143.07,143.89,141.39,141.67,330500
2023-08-22,141.8,142.89,140.92,140.98,296700
2023-08-23,140.6,142.63,140.26,142.22,289200
2023-08-24,141.32,142.36,139.64,139.99,355800
2023-08-25,140.95,141.62,138.25,140.53,336200
2023-08-28,141.86,143.9,141.29,142.91,367600
2023-08-29,142.66,145.62,142.35,145.53,382900
2023-08-30,144.77,146.3,144.71,145.23,304200
2023-08-31,145.53,146.31,144.0,144.09,440700
2023-09-01,144.62,147.57,144.61,145.98,433100
2023-09-05,144.59,145.3,142.78,144.45,515600
2023-09-06,144.23,147.52,142.91,143.25,583400
2023-09-07,141.16,141.99,139.6,139.77,807400
2023-09-08,140.56,141.48,139.72,141.05,633300
2023-09-11,142.8,143.49,141.01,141.07,406600
2023-09-12,140.74,143.73,140.42,143.24,569100
2023-09-13,142.74,142.93,134.64,136.97,1265400
2023-09-14,137.19,139.41,135.08,138.61,720600
2023-09-15,138.12,140.34,138.01,138.28,854500
2023-09-18,137.5,139.1,136.33,136.51,380500
2023-09-19,136.82,137.79,136.11,136.83,580400
2023-09-20,138.35,139.44,135.68,135.84,484400
2023-09-21,134.5,134.79,132.5,132.52,516600
2023-09-22,133.52,135.14,132.46,132.69,487400
2023-09-25,131.71,135.01,131.29,134.48,403800
2023-09-26,133.42,134.49,132.13,132.2,584200
2023-09-27,133.31,133.71,131.62,132.68,495200
2023-09-28,132.41,136.14,132.14,134.68,422200
2023-09-29,135.88,136.14,133.62,134.2,480700
2023-10-02,133.59,134.2,132.15,132.74,428900
