Date,Open,High,Low,Close,Volume
2023-01-13,35.95,37.12,35.8,36.96,68500
2023-01-17,36.52,36.71,36.0,36.4,65500
2023-01-18,36.76,37.52,34.27,34.72,80800
2023-01-19,34.14,34.71,33.6,34.11,83900
2023-01-20,34.0,35.49,33.65,35.48,78700
2023-01-23,35.99,37.11,35.26,37.02,66200
2023-01-24,37.07,37.99,36.35,37.42,79200
2023-01-25,37.3,38.15,36.33,38.11,41000
2023-01-26,38.29,39.4,37.82,39.31,98300
2023-01-27,39.75,41.47,39.5,40.69,131900
2023-01-30,40.6,43.1,40.07,41.1,121200
2023-01-31,40.51,42.51,40.51,41.05,173600
2023-02-01,41.21,43.18,40.28,42.2,110200
2023-02-02,42.89,43.79,41.52,42.44,100100
2023-02-03,41.82,42.94,40.16,40.6,108400
2023-02-06,40.44,40.8,39.33,39.37,85600
2023-02-07,39.26,41.5,39.0,41.22,84300
2023-02-08,41.33,41.49,39.58,39.75,76800
2023-02-09,40.55,41.27,40.09,40.63,82800
2023-02-10,40.23,41.72,40.18,41.72,57900
2023-02-13,41.92,42.75,41.49,42.03,82200
2023-02-14,41.82,43.52,40.75,43.27,108600
2023-02-15,43.0,46.22,42.93,45.6,137500
2023-02-16,45.98,50.67,44.73,46.95,238000
2023-02-17,46.4,46.5,42.02,42.35,174800
2023-02-21,42.83,44.29,41.67,42.09,150900
2023-02-22,45.97,48.8,44.62,47.95,314500
2023-02-23,48.82,51.21,48.02,50.37,233200
2023-02-24,49.23,49.73,46.7,48.66,173400
2023-02-27,49.0,49.13,46.71,46.84,143500
2023-02-28,45.43,46.83,44.61,44.81,243500
2023-03-01,44.79,45.17,43.82,44.0,203100
2023-03-02,43.92,43.92,42.18,42.7,205300
2023-03-03,42.81,43.69,42.41,42.71,448500
2023-03-06,42.72,42.72,40.42,40.52,254300
2023-03-07,40.71,42.79,40.4,42.25,434900
2023-03-08,42.7,42.7,41.03,41.55,151400
2023-03-09,41.48,42.17,39.25,39.7,172000
2023-03-10,39.45,39.77,37.56,38.09,184300
2023-03-13,36.78,37.14,34.22,35.16,294200
2023-03-14,36.25,37.18,34.41,34.56,218400
2023-03-15,33.44,33.44,31.99,33.0,246100
2023-03-16,32.09,33.28,31.7,33.13,399800
