Date,Open,High,Low,Close,Volume
2023-01-13,56.9,57.94,56.85,57.67,389600
2023-01-17,57.4,58.22,56.65,56.73,395100
2023-01-18,56.63,58.09,56.01,56.52,372600
2023-01-19,56.4,57.655,56.25,57.23,458500
2023-01-20,57.74,57.74,55.73,56.85,422000
2023-01-23,56.96,57.41,56.28,57.13,322000
2023-01-24,57.22,57.6,56.22,56.41,405200
2023-01-25,55.94,56.245,55.11,56.13,322600
2023-01-26,56.39,56.74,55.27,55.7,315000
2023-01-27,55.63,56.42,55.26,55.28,287200
2023-01-30,54.84,56.0,54.43,55.0,338100
2023-01-31,55.16,56.24,55.16,56.2,386900
2023-02-01,56.29,56.68,55.26,55.75,666400
2023-02-02,56.21,58.07,56.21,58.05,869000
2023-02-03,57.7,59.29,57.36,58.14,618800
2023-02-06,57.71,58.005,54.37,54.79,493600
2023-02-07,54.5,55.77,54.16,55.68,409800
2023-02-08,55.36,56.57,55.29,55.79,258900
2023-02-09,56.0,56.62,54.7,55.15,288900
2023-02-10,55.13,55.64,54.4,54.94,187500
2023-02-13,55.02,55.23,54.6,54.88,168100
2023-02-14,54.5,55.43,54.07,54.66,223100
2023-02-15,54.17,55.025,53.85,54.64,252500
2023-02-16,53.76,55.13,52.75,54.26,408500
2023-02-17,54.33,56.04,53.56,55.9,381600
2023-02-21,55.41,55.74,54.02,54.58,399500
2023-02-22,55.46,55.46,48.365,48.62,1065500
2023-02-23,49.08,51.35,48.86,49.33,777300
2023-02-24,48.68,49.34,48.24,48.8,613400
2023-02-27,49.13,49.13,47.89,47.99,549800
2023-02-28,47.99,48.235,47.31,47.32,583100
2023-03-01,47.2,47.43,46.37,46.43,524700
2023-03-02,46.02,47.1,45.48,46.48,732700
2023-03-03,46.64,46.9,46.15,46.25,533100
2023-03-06,46.05,46.34,45.32,45.4,2146000
2023-03-07,45.44,45.76,44.14,44.34,824700
2023-03-08,44.31,44.555,43.36,43.58,619300
2023-03-09,43.78,43.78,42.73,42.77,485200
2023-03-10,42.81,43.08,41.09,41.2,547700
2023-03-13,40.84,42.165,40.4,40.84,590200
2023-03-14,41.75,41.75,41.05,41.54,620000
2023-03-15,40.83,41.63,40.605,41.46,928700
2023-03-16,41.35,42.11,40.26,42.08,1100900
2023-03-17,41.66,42.99,41.66,42.71,1155200
2023-03-20,42.9,44.08,42.66,43.61,556300
2023-03-21,43.86,44.67,42.96,43.66,606800
2023-03-22,43.66,44.865,43.035,43.46,606700
2023-03-23,43.75,43.89,42.31,42.47,568300
2023-03-24,42.26,42.26,41.445,41.7,666900
2023-03-27,42.2,42.94,41.84,42.5,669200
2023-03-28,42.41,42.843,41.89,42.02,369700
2023-03-29,42.19,42.52,41.87,42.3,330700
2023-03-30,42.55,42.91,42.275,42.71,350400
2023-03-31,42.94,43.9,42.72,43.58,628600
2023-04-03,43.54,43.54,42.53,42.66,369800
2023-04-04,42.72,42.98,42.17,42.64,437900
2023-04-05,42.59,43.65,42.27,43.62,405600
2023-04-06,43.72,43.9,42.905,43.05,248500
2023-04-10,42.69,43.055,42.5,43.01,454600
2023-04-11,42.96,43.57,42.73,43.02,355500
2023-04-12,43.38,43.945,42.25,42.28,491400
2023-04-13,42.54,43.795,42.44,43.31,531000
2023-04-14,43.32,43.62,42.47,42.59,435300
2023-04-17,42.91,48.27,42.5,48.0,1629400
2023-04-18,48.01,48.08,46.56,47.79,746600
2023-04-19,47.7,49.35,47.595,49.02,682000
