Date,Open,High,Low,Close,Volume
2023-01-13,45.73,46.24,44.5,46.13,53500
2023-01-17,46.11,46.23,45.0,45.22,99000
2023-01-18,45.38,46.07,44.56,44.76,111600
2023-01-19,44.83,46.88,44.54,46.6,131300
2023-01-20,47.06,47.29,46.29,47.16,78700
2023-01-23,47.18,47.7,46.94,47.41,60300
2023-01-24,47.2,47.76,46.58,46.9,50000
2023-01-25,46.7,47.22,46.13,46.64,46500
2023-01-26,46.78,47.0,45.86,45.95,56800
2023-01-27,45.93,46.49,45.63,45.88,44300
2023-01-30,45.68,46.86,45.37,46.03,49800
2023-01-31,45.87,47.43,45.87,47.18,58600
2023-02-01,47.2,48.57,46.97,48.39,89200
2023-02-02,48.49,50.17,48.49,49.8,76500
2023-02-03,49.61,50.88,49.61,50.05,71200
2023-02-06,50.05,50.05,48.31,48.51,84800
2023-02-07,48.58,49.28,48.0,49.19,77200
2023-02-08,49.05,49.46,48.55,48.89,52700
2023-02-09,49.3,49.51,48.26,48.67,65900
2023-02-10,48.38,48.93,47.91,48.46,102200
2023-02-13,48.59,49.06,48.01,48.87,58900
2023-02-14,48.81,49.21,48.3,48.79,69200
2023-02-15,48.49,49.77,48.25,49.77,76700
2023-02-16,49.05,49.67,48.61,49.32,84300
2023-02-17,49.47,50.72,49.07,50.4,112900
2023-02-21,50.29,50.69,49.38,49.42,132800
2023-02-22,49.3,49.77,48.03,48.31,106900
2023-02-23,48.68,49.23,48.18,49.18,100000
2023-02-24,50.86,53.0,50.6,51.29,203100
2023-02-27,51.39,51.39,49.01,49.13,148500
2023-02-28,49.12,51.0,49.12,50.11,155000
2023-03-01,50.05,50.61,49.56,50.27,117500
2023-03-02,50.0,51.6,49.91,50.92,109800
2023-03-03,51.02,51.62,50.64,50.7,123400
2023-03-06,50.6,50.83,49.09,49.74,106500
2023-03-07,49.65,50.04,48.79,49.02,64600
2023-03-08,48.95,49.28,48.5,49.05,71200
2023-03-09,49.05,49.37,48.74,48.8,56600
2023-03-10,48.51,48.79,47.6,47.97,70300
2023-03-13,47.25,48.61,47.25,47.9,88500
2023-03-14,48.52,49.95,48.42,49.86,117000
2023-03-15,49.06,50.0,48.25,49.79,98500
2023-03-16,49.42,51.0,49.32,50.56,78600
2023-03-17,50.46,50.46,48.82,49.71,353100
2023-03-20,49.95,50.82,49.8,50.82,80700
2023-03-21,51.0,51.48,50.24,50.88,71900
2023-03-22,50.62,51.0,49.16,49.65,57700
2023-03-23,49.97,50.67,49.84,50.03,48100
2023-03-24,49.75,50.92,49.75,50.83,48000
2023-03-27,51.33,51.49,50.99,51.04,59500
2023-03-28,50.86,51.85,50.63,51.58,64100
2023-03-29,51.89,51.89,50.79,51.68,46800
2023-03-30,51.87,51.95,50.95,51.68,46800
2023-03-31,51.92,52.76,51.43,51.47,112200
2023-04-03,51.46,51.95,50.6,51.36,91800
2023-04-04,51.46,51.53,50.55,50.65,92000
2023-04-05,50.5,51.38,50.18,50.38,104300
2023-04-06,50.65,52.28,50.47,52.17,88500
2023-04-10,52.0,53.36,51.77,53.25,108500
2023-04-11,53.37,53.77,52.91,53.1,53400
2023-04-12,53.48,53.9,52.91,53.09,41200
2023-04-13,53.19,53.77,53.18,53.37,37400
2023-04-14,53.32,53.74,52.44,52.59,43100
2023-04-17,52.77,53.28,52.26,53.08,42200
2023-04-18,53.08,53.08,51.65,52.24,58000
2023-04-19,52.0,52.86,51.52,52.6,70200
2023-04-20,52.58,52.95,52.25,52.77,63100
2023-04-21,52.86,54.86,52.86,54.72,112700
2023-04-24,54.45,55.46,54.45,54.89,47700
2023-04-25,54.54,54.89,54.17,54.88,86300
2023-04-26,54.46,55.12,53.81,54.0,71900
2023-04-27,53.95,54.12,53.1,53.74,45400
2023-04-28,53.45,54.6,53.1,54.0,110000
2023-05-01,54.13,54.82,53.53,54.67,82800
2023-05-02,54.47,55.37,53.46,54.75,258700
2023-05-03,59.0,63.95,57.31,63.09,524300
2023-05-04,62.61,65.44,61.7,65.23,259500
2023-05-05,65.54,68.06,64.69,67.58,233200
2023-05-08,67.48,67.61,66.13,66.61,89900
2023-05-09,66.41,66.41,65.46,65.49,103200
2023-05-10,66.0,66.25,65.25,65.4,158300
2023-05-11,65.45,65.79,64.69,65.17,184400
2023-05-12,65.09,65.31,64.54,65.27,69100
2023-05-15,65.23,66.13,63.79,64.27,116000
2023-05-16,63.7,64.69,63.7,64.39,96300
2023-05-17,64.52,64.52,63.73,63.78,134100
2023-05-18,63.86,64.13,62.88,63.15,138800
2023-05-19,63.73,64.88,62.22,62.33,136600
2023-05-22,62.49,63.62,61.68,61.93,103900
2023-05-23,61.89,62.21,60.93,61.04,92200
2023-05-24,60.9,60.9,59.42,60.11,88200
2023-05-25,59.96,60.2,59.36,59.63,90400
2023-05-26,59.63,60.26,59.07,60.11,75600
2023-05-30,60.07,62.05,59.9,61.93,123300
2023-05-31,61.93,62.96,61.35,62.84,126800
2023-06-01,62.87,64.11,62.64,64.02,85900
2023-06-02,64.25,65.35,63.38,64.91,132400
2023-06-05,64.48,65.21,63.66,64.92,116800
2023-06-06,64.99,64.99,64.0,64.8,106400
2023-06-07,64.74,65.61,64.64,64.65,120900
2023-06-08,64.7,65.68,64.22,64.94,176000
2023-06-09,65.22,66.14,65.14,65.83,209400
2023-06-12,65.83,67.24,65.78,66.92,227100
2023-06-13,66.93,68.02,66.5,66.54,155400
2023-06-14,66.51,68.41,66.51,67.63,127300
2023-06-15,67.88,68.19,66.81,67.26,77100
2023-06-16,67.92,67.94,66.34,66.86,230000
2023-06-20,66.86,67.94,66.35,67.86,86400
2023-06-21,67.72,67.93,66.64,67.58,75500
2023-06-22,67.69,68.4,67.52,68.01,85200
2023-06-23,67.79,68.67,67.78,68.21,259300
2023-06-26,68.16,68.52,67.21,67.35,82600
2023-06-27,67.13,67.81,66.75,67.06,122100
2023-06-28,67.02,67.98,66.43,66.45,72600
2023-06-29,66.37,67.76,66.37,67.16,158600
2023-06-30,67.42,68.3,67.18,67.28,168800
2023-07-03,67.23,67.23,66.08,67.01,52900
2023-07-05,66.85,66.85,64.86,64.9,71300
2023-07-06,64.7,65.1,64.15,64.36,69100
2023-07-07,64.5,65.78,63.3,63.36,117800
2023-07-10,63.36,64.76,63.24,64.06,91900
2023-07-11,64.19,64.45,63.18,63.62,78400
2023-07-12,64.06,64.53,63.0,64.5,101000
2023-07-13,64.52,65.22,64.19,64.94,81800
2023-07-14,64.89,66.15,64.75,66.06,102000
2023-07-17,65.93,66.03,65.05,65.37,70900
2023-07-18,65.34,65.72,64.82,65.66,67300
2023-07-19,65.5,66.43,65.36,66.25,97600
2023-07-20,66.18,66.46,65.55,66.22,60800
2023-07-21,66.36,66.75,63.43,63.51,181500
2023-07-24,63.21,63.98,62.74,63.51,90400
2023-07-25,63.35,64.21,62.7,63.77,54700
2023-07-26,63.58,64.02,63.38,63.56,50400
2023-07-27,63.93,63.93,62.45,62.58,75500
2023-07-28,62.88,63.06,62.01,63.02,59800
2023-07-31,62.89,63.73,62.64,63.23,134700
2023-08-01,62.74,63.24,61.94,62.82,95600
2023-08-02,65.47,66.6,63.47,64.7,301300
2023-08-03,63.34,63.73,57.15,57.22,158600
2023-08-04,57.05,57.31,56.4,56.87,130900
2023-08-07,56.85,58.13,56.85,57.61,124900
2023-08-08,57.57,58.05,56.88,57.11,111200
2023-08-09,57.33,57.96,56.89,57.07,88500
2023-08-10,56.95,57.29,55.75,56.47,133100
2023-08-11,56.45,56.76,55.46,55.82,78300
2023-08-14,55.85,56.59,55.01,56.58,116400
2023-08-15,56.49,57.56,56.49,56.99,72500
2023-08-16,56.89,57.05,55.55,55.67,76000
2023-08-17,55.52,55.79,54.89,55.15,77200
2023-08-18,55.03,55.91,55.03,55.14,127300
2023-08-21,55.12,55.9,54.69,55.26,57200
2023-08-22,55.32,56.34,55.24,55.94,86100
2023-08-23,56.21,57.24,56.16,56.65,96600
2023-08-24,56.57,56.77,55.84,56.4,133300
2023-08-25,56.52,56.89,56.22,56.67,70800
2023-08-28,56.89,57.65,56.6,57.59,99600
2023-08-29,57.43,58.84,57.29,58.69,68900
2023-08-30,58.69,59.92,58.46,58.68,93700
2023-08-31,58.69,59.09,57.76,57.81,91600
2023-09-01,58.13,58.63,57.99,58.18,55800
2023-09-05,57.84,58.18,55.03,55.29,102500
2023-09-06,56.47,56.97,55.54,56.65,78200
2023-09-07,56.65,57.27,55.87,56.97,83800
2023-09-08,57.0,57.02,55.66,55.79,57800
2023-09-11,55.99,57.61,55.75,57.12,114400
2023-09-12,56.91,57.2,56.31,56.7,86900
2023-09-13,56.53,56.88,55.93,55.99,53800
2023-09-14,56.19,56.73,55.92,56.64,93500
2023-09-15,56.84,57.35,55.4,57.08,294200
2023-09-18,56.99,57.52,56.4,57.44,86300
2023-09-19,57.56,57.8,56.74,57.52,89900
2023-09-20,57.84,57.84,57.18,57.49,89700
2023-09-21,57.11,57.4,56.31,57.03,98400
2023-09-22,57.12,57.61,56.95,57.0,88300
2023-09-25,56.75,56.75,55.07,55.78,113000
2023-09-26,55.41,55.87,53.33,53.45,200900
2023-09-27,53.71,54.41,53.47,53.51,136600
2023-09-28,53.69,55.36,53.5,55.08,160100
2023-09-29,55.22,55.22,54.3,54.48,227400
2023-10-02,54.37,55.2,53.91,55.16,251200
2023-10-03,54.98,55.77,54.88,54.89,135000
2023-10-04,54.89,55.35,53.88,54.96,147500
2023-10-05,55.16,57.9,54.24,57.65,197200
2023-10-06,57.15,58.01,56.35,57.72,96800
2023-10-09,57.26,57.85,56.58,56.99,76100
2023-10-10,57.03,58.5,56.81,58.01,106300
2023-10-11,57.85,58.01,50.8,51.09,304300
