Date,Open,High,Low,Close,Volume
2023-01-13,31.0,31.58,30.6,31.53,2259900
2023-01-17,31.51,31.7,31.07,31.38,1921000
2023-01-18,31.24,31.5,30.12,30.3,2345500
2023-01-19,29.83,30.28,29.51,29.93,2070000
2023-01-20,30.13,32.02,29.87,31.75,3118800
2023-01-23,31.7,32.2,31.64,31.95,2389200
2023-01-24,31.91,32.6,31.53,32.53,2048800
2023-01-25,32.15,32.89,31.95,32.8,2248400
2023-01-26,33.09,33.39,32.38,33.1,1612900
2023-01-27,33.1,34.39,32.93,34.3,3092200
2023-01-30,33.7,34.4,33.44,33.46,2706600
2023-01-31,33.58,35.43,33.23,35.43,7246800
2023-02-01,35.04,35.33,33.57,34.47,3722500
2023-02-02,35.15,36.5,34.7,36.1,4824400
2023-02-03,35.51,36.08,34.99,35.27,3384100
2023-02-06,34.88,35.18,34.17,34.52,2526600
2023-02-07,34.27,35.52,34.06,35.42,3933000
2023-02-08,35.59,36.21,35.07,35.33,3637600
2023-02-09,34.92,35.14,33.32,34.3,6805800
2023-02-10,33.99,34.13,33.39,33.81,3942400
2023-02-13,33.72,35.1,33.45,35.07,2566200
2023-02-14,34.89,35.2,34.46,34.68,2291700
2023-02-15,34.34,35.03,34.34,34.99,1592700
2023-02-16,34.65,35.16,34.31,34.47,2052900
2023-02-17,34.17,34.22,33.12,33.82,2562300
2023-02-21,33.2,33.37,31.37,31.68,3190000
2023-02-22,31.5,32.34,31.41,32.32,2481900
2023-02-23,32.72,33.1,31.62,32.08,2016400
2023-02-24,31.53,31.96,31.04,31.86,2323000
2023-02-27,32.42,32.42,31.12,31.35,3197800
2023-02-28,31.53,32.42,31.4,31.72,14313500
2023-03-01,32.08,32.08,30.94,31.1,2614900
2023-03-02,30.7,31.09,30.1,30.68,3842300
2023-03-03,30.75,31.42,30.68,31.41,2396900
2023-03-06,31.49,31.7,30.26,30.33,3240200
2023-03-07,30.34,30.7,29.88,29.89,2861800
2023-03-08,29.85,29.93,28.96,29.25,2575800
2023-03-09,29.09,29.18,27.33,27.34,3272500
2023-03-10,26.8,27.01,25.51,25.66,4731900
2023-03-13,24.52,24.96,22.72,23.11,6379100
2023-03-14,24.36,24.85,23.35,23.52,4253200
2023-03-15,22.55,22.72,21.52,22.37,5747600
2023-03-16,21.88,22.61,20.49,22.11,6425700
2023-03-17,21.59,21.65,20.18,20.3,9122200
2023-03-20,20.61,22.0,20.32,21.3,5241900
2023-03-21,22.32,22.82,22.15,22.53,3730400
2023-03-22,22.15,22.31,20.73,20.75,3864700
2023-03-23,21.0,21.4,20.1,20.39,3875700
2023-03-24,20.06,20.81,19.74,20.7,4385100
2023-03-27,21.61,21.83,20.75,21.02,5968300
2023-03-28,20.89,21.35,20.55,20.77,2723500
2023-03-29,21.4,21.81,21.11,21.76,3218700
2023-03-30,22.15,22.64,21.66,21.83,4401900
2023-03-31,22.02,22.48,21.9,22.47,3735200
2023-04-03,22.53,22.92,22.15,22.37,3214100
2023-04-04,22.82,22.9,21.0,21.59,4954000
2023-04-05,21.09,21.44,20.48,21.06,4751000
2023-04-06,20.66,20.86,20.23,20.51,4254800
2023-04-10,20.32,20.98,20.19,20.95,3817200
2023-04-11,21.1,21.37,20.94,21.1,3364800
2023-04-12,21.46,21.94,20.51,20.63,3161900
2023-04-13,20.74,20.94,20.38,20.73,2803900
2023-04-14,21.14,21.29,20.72,20.97,3858300
2023-04-17,21.09,21.95,20.62,21.93,4714500
2023-04-18,22.08,22.08,21.21,21.39,3392600
2023-04-19,21.26,22.07,21.12,21.96,3512400
