Date,Open,High,Low,Close,Volume
2023-01-13,157.38,159.53,155.7,159.12,66200
2023-01-17,159.39,161.05,156.15,156.15,81500
2023-01-18,156.57,158.69,151.54,151.82,95200
2023-01-19,150.81,152.49,143.76,143.99,94500
2023-01-20,145.74,147.03,143.25,147.03,137300
2023-01-23,147.64,151.01,147.64,149.95,120400
2023-01-24,149.71,152.98,149.56,151.2,76000
2023-01-25,149.3,150.53,147.67,150.2,62300
2023-01-26,150.19,152.12,147.09,152.12,72200
2023-01-27,151.73,153.21,150.15,153.21,100300
2023-01-30,152.23,155.88,151.5,152.65,76000
2023-01-31,153.18,156.62,151.52,156.62,84600
2023-02-01,156.45,159.08,155.1,156.95,94700
2023-02-02,156.67,157.3,152.43,154.66,121000
2023-02-03,154.95,159.49,153.08,156.54,83700
2023-02-06,154.66,157.25,154.66,155.7,91500
2023-02-07,155.23,157.76,152.19,157.37,104400
2023-02-08,156.22,158.65,155.49,156.19,64300
2023-02-09,157.3,158.86,153.66,154.67,72600
2023-02-10,154.99,157.96,154.43,156.22,71900
2023-02-13,154.65,158.49,154.34,157.71,56900
2023-02-14,156.78,158.3,151.51,153.08,68400
2023-02-15,151.89,156.15,150.7,154.35,63400
2023-02-16,152.84,156.57,151.95,153.98,67700
2023-02-17,155.97,158.94,153.41,157.31,46300
2023-02-21,155.52,158.99,152.51,154.24,103100
2023-02-22,153.99,154.53,150.68,151.8,117000
2023-02-23,152.11,153.45,146.54,147.16,98200
2023-02-24,146.27,150.99,145.65,149.88,101600
2023-02-27,151.19,153.2,147.02,147.51,104700
2023-02-28,148.02,151.26,148.02,150.49,105700
2023-03-01,150.76,152.48,149.34,152.03,80900
2023-03-02,150.86,154.06,150.86,153.13,48500
2023-03-03,154.09,158.32,151.87,157.74,64200
2023-03-06,157.07,158.16,150.62,152.19,69200
2023-03-07,152.47,153.18,149.49,150.47,73800
2023-03-08,150.62,151.69,148.28,149.67,64000
2023-03-09,150.39,150.5,146.3,146.87,82300
2023-03-10,146.21,147.77,143.17,144.27,90900
2023-03-13,142.41,143.69,140.2,141.27,95200
2023-03-14,144.49,148.79,144.02,145.83,94000
2023-03-15,142.74,142.88,136.25,137.87,146300
2023-03-16,136.39,140.92,135.0,139.64,96300
2023-03-17,139.02,139.42,136.04,138.02,286500
2023-03-20,139.14,144.03,138.55,143.24,136300
2023-03-21,145.14,147.89,144.81,146.77,121100
2023-03-22,146.59,147.96,144.76,145.16,99000
2023-03-23,145.28,148.37,144.01,145.71,99700
2023-03-24,144.46,147.82,143.54,147.18,64700
2023-03-27,148.36,148.68,146.0,147.01,45500
2023-03-28,146.31,149.35,146.31,149.07,58800
2023-03-29,149.35,151.04,146.74,147.5,75400
2023-03-30,148.47,148.84,146.57,148.07,81400
2023-03-31,149.36,151.24,148.62,151.13,100800
2023-04-03,150.24,152.23,149.01,151.28,99100
2023-04-04,141.13,149.13,128.33,133.81,353600
2023-04-05,133.09,133.48,125.2,127.99,217300
