Date,Open,High,Low,Close,Volume
2023-01-13,51.02,53.23,50.87,53.08,1319700
2023-01-17,52.97,54.575,52.2,54.05,1220000
2023-01-18,54.3,55.4,53.235,55.35,1119900
2023-01-19,55.32,56.03,53.94,54.42,1409800
2023-01-20,54.97,55.56,53.37,53.42,1524200
2023-01-23,53.64,54.84,53.375,54.59,651600
2023-01-24,54.52,55.66,53.72,54.65,525500
2023-01-25,54.33,54.75,53.58,54.65,418900
2023-01-26,55.36,55.94,54.995,55.84,539100
2023-01-27,55.57,56.715,55.05,56.2,596500
2023-01-30,55.81,56.725,55.35,56.27,720500
2023-01-31,56.5,57.58,56.26,57.5,777300
2023-02-01,57.61,59.11,56.86,58.64,1016400
2023-02-02,59.35,60.74,59.27,60.66,1004000
2023-02-03,59.82,60.93,59.755,60.8,829900
2023-02-06,60.8,61.85,59.14,60.02,1099800
2023-02-07,59.73,60.32,58.42,60.02,978700
2023-02-08,59.59,60.62,58.85,58.91,1000300
2023-02-09,59.25,60.241,58.44,58.82,1037500
2023-02-10,58.47,58.74,57.56,58.27,560300
2023-02-13,58.49,58.76,57.51,58.14,753100
2023-02-14,57.86,58.79,57.26,57.82,973400
2023-02-15,57.52,60.49,57.245,60.03,627500
2023-02-16,59.25,60.824,58.69,59.85,765100
2023-02-17,59.9,60.16,58.81,59.72,524500
2023-02-21,59.6,60.2,58.07,58.27,860400
2023-02-22,58.56,59.22,57.85,58.25,896400
2023-02-23,70.0,71.3,67.38,69.99,4187900
2023-02-24,69.71,73.44,69.38,72.41,1737300
2023-02-27,73.02,75.1,72.12,72.64,1297300
2023-02-28,72.67,74.705,72.48,73.96,1181300
2023-03-01,73.96,74.355,72.712,73.08,650400
2023-03-02,72.28,73.725,72.008,73.35,892500
2023-03-03,74.0,74.04,72.14,72.94,996000
2023-03-06,72.49,73.76,71.19,73.0,1073900
2023-03-07,73.25,73.28,71.56,72.37,828000
2023-03-08,74.11,76.94,73.67,75.24,1391400
2023-03-09,75.5,76.56,72.91,73.17,1217100
2023-03-10,72.63,74.06,70.84,71.26,1224400
2023-03-13,69.67,71.85,68.77,70.75,1414100
2023-03-14,72.72,74.092,71.66,73.02,852300
2023-03-15,71.58,73.34,71.39,73.24,813400
2023-03-16,72.74,78.88,72.54,78.83,1409700
2023-03-17,78.86,80.4,77.235,77.84,1647500
2023-03-20,77.84,79.445,76.583,79.18,904200
2023-03-21,79.98,83.82,79.854,82.86,1083300
2023-03-22,82.33,83.545,80.44,80.47,1130200
2023-03-23,81.28,83.25,79.273,79.62,922700
2023-03-24,79.33,81.75,78.545,81.43,849300
2023-03-27,81.13,81.95,79.84,80.47,1452100
2023-03-28,80.91,81.61,79.48,80.15,1172600
2023-03-29,80.58,80.58,78.74,79.32,589100
2023-03-30,80.14,81.655,79.64,80.72,830000
2023-03-31,81.25,82.71,81.25,82.56,1126900
2023-04-03,82.09,82.85,81.02,82.41,723100
2023-04-04,82.8,83.76,82.13,82.67,674900
2023-04-05,82.55,83.59,81.81,83.5,592300
2023-04-06,83.59,83.94,82.272,83.1,430200
2023-04-10,82.39,85.71,82.004,85.53,906900
2023-04-11,86.56,87.0,85.53,86.35,862600
2023-04-12,87.37,87.74,85.44,85.48,735400
2023-04-13,86.06,87.59,85.8,87.28,923700
2023-04-14,87.0,88.89,86.49,88.67,1045900
2023-04-17,88.67,89.67,88.28,89.16,837300
2023-04-18,89.57,90.89,88.57,90.79,1151100
2023-04-19,90.79,91.62,90.255,90.53,775800
2023-04-20,89.27,90.33,89.09,89.61,1264100
2023-04-21,89.63,91.41,89.28,90.63,867600
2023-04-24,90.65,91.43,90.08,91.22,607900
2023-04-25,90.64,90.97,89.29,89.72,788100
2023-04-26,89.17,89.19,83.99,84.89,1672200
2023-04-27,84.89,85.51,83.78,85.19,972600
2023-04-28,84.52,86.84,84.04,85.45,907700
2023-05-01,85.13,85.5,83.164,83.37,917700
2023-05-02,83.3,83.44,81.945,82.7,792000
2023-05-03,82.88,83.725,81.28,82.51,1795300
2023-05-04,86.15,99.323,86.0,94.86,3415200
2023-05-05,96.19,98.149,93.578,94.06,1298900
2023-05-08,93.32,95.831,91.76,94.82,1016700
2023-05-09,95.03,97.99,94.54,97.32,983400
2023-05-10,98.49,99.97,96.65,98.96,620700
2023-05-11,98.82,99.476,98.02,99.38,655100
2023-05-12,99.83,100.851,98.14,99.65,615600
2023-05-15,99.36,99.804,98.42,99.21,851300
2023-05-16,98.57,98.57,96.93,97.43,607700
2023-05-17,97.71,98.475,94.77,97.97,866100
2023-05-18,97.93,98.15,95.58,96.02,669400
2023-05-19,97.07,97.249,95.25,97.24,836900
2023-05-22,97.67,99.26,97.495,98.32,986100
2023-05-23,98.19,100.48,95.761,96.25,716500
2023-05-24,95.7,96.9,95.08,96.29,423000
2023-05-25,96.89,98.65,94.969,97.85,993200
2023-05-26,98.12,99.01,88.51,91.05,2556700
2023-05-30,91.05,91.99,87.02,87.12,1301100
2023-05-31,87.08,88.11,84.88,86.59,1327500
2023-06-01,87.27,89.71,86.29,89.08,795800
2023-06-02,89.44,90.24,87.61,88.67,797000
2023-06-05,88.09,89.65,86.82,87.6,1394000
2023-06-06,87.45,90.27,87.45,89.68,832200
2023-06-07,90.23,90.97,83.6,86.81,1309400
2023-06-08,86.5,89.32,86.5,88.78,703100
2023-06-09,88.8,89.176,85.57,85.97,1187800
2023-06-12,85.76,86.975,82.275,83.98,1542800
2023-06-13,84.22,86.17,84.12,85.94,1034400
2023-06-14,86.31,86.5,84.31,86.2,1695200
2023-06-15,86.36,90.34,85.44,89.81,1083300
2023-06-16,91.3,91.37,87.74,88.27,1343500
2023-06-20,87.66,94.47,87.66,92.87,1338000
2023-06-21,92.87,93.53,91.56,92.2,901000
2023-06-22,91.92,92.33,90.76,91.78,628300
2023-06-23,90.94,94.01,89.674,92.52,1264800
2023-06-26,92.16,92.872,86.34,86.48,1409200
2023-06-27,87.4,87.97,84.02,84.44,1341900
2023-06-28,84.7,85.44,83.81,84.54,780400
2023-06-29,84.42,85.27,82.81,82.95,932900
2023-06-30,84.03,84.735,82.53,83.92,1212400
2023-07-03,83.76,84.86,82.22,83.77,408400
2023-07-05,83.77,83.77,81.505,82.45,618700
2023-07-06,81.77,81.77,80.33,81.41,696400
2023-07-07,81.67,82.73,81.423,82.4,716600
2023-07-10,82.36,85.08,82.25,84.86,747900
2023-07-11,84.92,85.3,83.38,83.41,595800
2023-07-12,84.67,85.3,83.51,83.9,550000
2023-07-13,83.91,85.05,83.5,84.42,552300
2023-07-14,84.49,86.99,84.24,86.09,889500
2023-07-17,85.75,87.75,85.54,87.4,926500
2023-07-18,87.4,90.77,86.93,90.755,1188100
