Date,Open,High,Low,Close,Volume
2023-01-13,63.16,63.85,62.8,63.63,489300
2023-01-17,63.45,64.42,63.22,63.6,807800
2023-01-18,64.22,65.8,63.03,63.09,757800
2023-01-19,62.35,62.74,61.26,61.92,704700
2023-01-20,62.0,62.9,61.69,62.9,549500
2023-01-23,63.5,64.5,63.2,64.11,527700
2023-01-24,63.48,65.1,63.28,64.08,529100
2023-01-25,63.13,65.96,63.0,65.67,697100
2023-01-26,66.0,68.36,65.71,67.12,964300
2023-01-27,66.64,68.04,66.38,67.48,634700
2023-01-30,66.84,67.05,66.01,66.22,425100
2023-01-31,66.51,68.09,66.39,68.09,674900
2023-02-01,67.92,70.76,67.29,70.5,578000
2023-02-02,71.02,73.04,71.02,72.16,592100
2023-02-03,71.28,71.71,70.6,70.67,626700
2023-02-06,69.8,70.24,67.4,68.85,595700
2023-02-07,68.24,68.59,67.06,68.42,615000
2023-02-08,67.99,68.29,66.38,66.96,392800
2023-02-09,67.66,68.27,65.87,66.17,707200
2023-02-10,65.75,66.05,65.04,65.67,633400
2023-02-13,65.89,67.23,65.53,67.16,481700
2023-02-14,66.36,67.22,65.23,66.65,1324100
2023-02-15,67.27,67.68,65.41,66.91,1163600
2023-02-16,65.55,66.51,64.92,65.78,619200
2023-02-17,65.96,65.97,63.97,64.8,871600
2023-02-21,59.93,60.27,56.68,56.73,2938000
2023-02-22,56.76,58.02,56.34,57.86,1740800
2023-02-23,57.99,58.72,57.56,58.46,1139900
2023-02-24,57.42,58.27,57.03,57.83,1134200
2023-02-27,58.46,59.06,57.64,57.7,914800
2023-02-28,57.66,59.15,57.3,58.51,985900
2023-03-01,58.2,60.3,58.13,59.15,1379500
2023-03-02,58.43,60.43,58.35,60.2,580900
2023-03-03,60.55,60.79,59.97,60.35,675500
2023-03-06,60.3,60.55,58.45,58.69,949100
2023-03-07,58.68,58.86,57.48,57.89,525600
2023-03-08,58.05,58.51,57.35,58.03,592200
2023-03-09,57.88,58.7,57.26,57.4,529100
2023-03-10,57.8,57.82,55.52,55.85,713100
2023-03-13,54.92,56.48,54.49,55.08,856200
2023-03-14,56.24,56.73,54.83,55.61,685400
2023-03-15,54.32,55.58,54.23,54.48,862700
2023-03-16,54.05,56.0,53.76,55.64,1009300
2023-03-17,55.28,55.32,54.12,54.38,2403200
2023-03-20,55.09,56.83,55.09,56.01,704200
2023-03-21,56.76,57.13,55.93,56.59,542800
2023-03-22,56.57,56.75,54.94,55.02,557000
2023-03-23,55.37,56.34,54.24,54.62,597600
2023-03-24,54.04,55.04,53.63,54.89,404700
2023-03-27,55.22,55.48,54.43,55.19,435500
2023-03-28,54.97,55.62,54.42,54.84,590100
2023-03-29,55.47,55.71,54.32,54.77,752400
2023-03-30,55.21,55.65,53.71,53.76,829300
2023-03-31,54.05,54.66,53.77,54.21,1370800
2023-04-03,54.15,54.74,53.54,54.46,1006200
2023-04-04,54.48,54.68,51.99,52.67,840800
2023-04-05,52.21,53.03,51.6,52.98,901400
2023-04-06,52.97,54.02,52.6,54.0,956800
2023-04-10,53.83,55.51,53.79,55.36,899900
2023-04-11,55.5,57.03,55.5,56.81,699400
2023-04-12,57.53,57.74,56.38,56.63,496700
2023-04-13,56.84,58.33,55.8,58.25,1253300
2023-04-14,58.0,59.21,57.9,59.03,1301800
2023-04-17,58.89,59.73,58.87,59.54,791700
2023-04-18,59.83,60.02,59.11,59.68,734600
2023-04-19,59.47,60.43,59.14,60.12,835400
2023-04-20,59.57,61.89,59.56,61.81,1271600
2023-04-21,61.81,62.62,60.97,61.33,815400
2023-04-24,61.23,61.58,60.69,60.87,652700
2023-04-25,60.5,60.68,59.56,59.98,794800
2023-04-26,59.46,59.85,57.16,57.74,1082900
2023-04-27,57.65,58.69,57.39,58.12,702800
2023-04-28,58.29,59.89,58.02,59.74,699500
2023-05-01,59.58,59.86,58.83,59.34,858800
2023-05-02,59.05,59.91,57.84,59.67,1054500
2023-05-03,59.67,64.75,59.25,61.97,2397000
2023-05-04,62.64,62.67,59.45,60.42,1611200
2023-05-05,61.27,62.28,60.44,61.88,1074900
2023-05-08,62.02,63.61,61.68,63.19,1660500
2023-05-09,62.85,64.09,62.64,63.72,947900
