Date,Open,High,Low,Close,Volume
2023-01-13,26.07,26.64,25.96,26.63,278000
2023-01-17,26.74,26.8,26.4,26.61,254000
2023-01-18,26.82,27.12,25.97,26.11,243800
2023-01-19,25.9,25.9,25.46,25.69,219000
2023-01-20,25.81,26.49,25.53,26.49,285100
2023-01-23,26.57,27.12,26.32,26.99,207800
2023-01-24,26.93,27.07,26.76,26.86,148400
2023-01-25,26.66,27.57,26.51,27.57,214500
2023-01-26,27.81,27.9,27.0,27.57,207900
2023-01-27,27.44,27.77,27.44,27.54,228000
2023-01-30,27.21,27.73,27.21,27.43,180900
2023-01-31,27.54,28.44,27.54,28.43,307300
2023-02-01,28.37,28.98,28.11,28.81,318400
2023-02-02,29.07,30.05,29.07,29.8,326400
2023-02-03,29.39,30.23,29.39,29.8,379800
2023-02-06,29.37,29.39,28.77,28.8,278400
2023-02-07,28.44,28.81,28.17,28.69,241400
2023-02-08,28.35,28.5,27.88,28.04,343000
2023-02-09,28.3,28.44,27.61,27.73,276400
2023-02-10,27.5,27.83,27.37,27.8,213700
2023-02-13,27.8,28.54,27.58,28.41,240800
2023-02-14,28.24,28.46,27.73,28.32,281300
2023-02-15,28.15,28.89,28.02,28.69,203900
2023-02-16,28.19,28.87,28.16,28.75,316700
2023-02-17,28.8,28.92,28.55,28.84,215100
2023-02-21,28.24,28.35,27.48,27.48,440400
2023-02-22,31.64,32.74,30.4,31.63,1775600
2023-02-23,31.88,33.06,31.88,33.01,681000
2023-02-24,32.54,32.89,32.21,32.81,562600
2023-02-27,32.86,32.96,32.39,32.4,529900
2023-02-28,32.28,32.83,32.16,32.38,519800
2023-03-01,32.4,32.76,31.68,32.17,394200
2023-03-02,31.84,32.11,31.48,31.86,322900
2023-03-03,32.1,32.17,31.59,31.88,295300
2023-03-06,31.7,31.73,30.96,31.16,541200
2023-03-07,31.09,31.44,31.01,31.2,309900
2023-03-08,31.27,31.27,30.62,30.85,425000
2023-03-09,30.86,31.06,29.83,29.84,316100
2023-03-10,29.9,30.02,29.24,29.41,376000
2023-03-13,28.75,29.58,28.48,28.98,460800
2023-03-14,29.69,29.78,28.75,29.19,414500
2023-03-15,28.52,28.74,27.78,28.65,589500
2023-03-16,28.35,29.37,28.13,29.35,537700
2023-03-17,29.32,29.32,28.49,28.59,1113400
2023-03-20,28.95,29.59,28.94,29.23,377400
2023-03-21,29.77,30.07,29.53,29.77,393300
2023-03-22,29.88,30.17,28.81,28.84,317100
2023-03-23,29.0,29.18,28.01,28.23,291800
2023-03-24,28.03,28.54,27.81,28.33,327000
2023-03-27,28.8,28.8,28.17,28.56,451300
2023-03-28,28.55,28.89,28.22,28.28,233700
2023-03-29,28.56,28.56,28.06,28.29,263600
2023-03-30,28.55,28.62,28.18,28.38,207600
2023-03-31,28.6,29.08,28.43,29.08,356000
2023-04-03,29.04,29.19,28.75,29.14,413300
2023-04-04,29.14,29.21,28.34,28.59,361800
2023-04-05,28.32,28.39,27.82,28.17,295000
2023-04-06,28.24,28.24,27.88,27.9,266200
2023-04-10,27.84,28.41,27.8,28.14,357600
2023-04-11,28.29,28.53,28.0,28.32,359000
2023-04-12,28.67,28.68,27.76,27.84,252900
2023-04-13,27.9,28.11,27.66,27.93,273000
2023-04-14,27.95,28.4,27.76,27.96,238900
2023-04-17,27.98,28.21,27.84,28.17,228200
2023-04-18,28.27,28.41,27.81,28.32,303900
