Date,Open,High,Low,Close,Volume
2023-01-13,86.29,87.89,85.78,87.48,209300
2023-01-17,87.0,87.82,86.06,86.1,264700
2023-01-18,86.46,87.58,86.01,86.38,379400
2023-01-19,85.93,87.18,85.48,86.7,257600
2023-01-20,87.21,88.82,86.59,88.72,313600
2023-01-23,88.67,89.84,88.17,88.44,262700
2023-01-24,87.99,88.83,87.75,88.53,211800
2023-01-25,87.75,88.84,87.29,88.61,210700
2023-01-26,87.29,88.3,87.0,88.26,199100
2023-01-27,86.8,88.4,86.23,87.2,369600
2023-01-30,86.52,87.5,86.52,86.9,371900
2023-01-31,88.34,89.25,84.98,87.16,486200
2023-02-01,87.57,89.65,86.03,88.98,402100
2023-02-02,89.35,91.18,89.34,90.97,347600
2023-02-03,90.6,91.93,90.14,90.82,350400
2023-02-06,89.95,90.36,88.34,89.8,344700
2023-02-07,89.03,91.55,89.03,91.5,398700
2023-02-08,90.99,92.43,89.44,89.63,291400
2023-02-09,90.22,90.99,88.59,88.8,492000
2023-02-10,88.84,89.28,88.31,88.66,288400
2023-02-13,88.61,89.44,88.33,89.15,246700
2023-02-14,88.75,89.1,87.76,88.13,239800
2023-02-15,87.5,88.49,87.25,88.45,218500
2023-02-16,86.48,87.86,85.76,87.5,370100
2023-02-17,87.43,88.47,87.12,88.2,160000
2023-02-21,87.35,87.54,85.87,85.99,149600
2023-02-22,85.85,86.53,85.47,85.78,211700
2023-02-23,86.48,87.04,84.63,85.31,287800
2023-02-24,84.36,84.36,83.0,84.16,217500
2023-02-27,85.38,85.55,84.49,84.65,248000
2023-02-28,84.3,85.61,84.15,84.88,381500
2023-03-01,84.77,86.28,84.65,85.35,260000
2023-03-02,84.88,85.1,84.09,84.55,205900
2023-03-03,85.0,85.97,84.38,85.63,247100
2023-03-06,85.9,86.45,84.3,84.6,379100
2023-03-07,84.6,85.29,83.98,84.3,306100
2023-03-08,84.43,85.15,83.64,83.97,193500
2023-03-09,84.23,84.69,82.49,82.52,327700
2023-03-10,82.39,82.58,80.27,80.89,359100
2023-03-13,79.75,80.16,78.4,79.0,375100
2023-03-14,81.02,82.57,80.4,81.04,591800
2023-03-15,79.28,79.73,77.86,78.75,376700
2023-03-16,77.9,80.92,77.6,80.07,359300
2023-03-17,79.96,79.96,78.14,78.75,735900
2023-03-20,79.55,80.82,78.86,79.81,400200
2023-03-21,81.18,81.52,80.3,81.05,265700
2023-03-22,81.23,81.23,77.35,77.41,347700
2023-03-23,77.52,79.73,77.39,77.92,399300
2023-03-24,77.08,78.42,76.62,78.04,287700
2023-03-27,79.12,79.43,78.35,78.9,190000
2023-03-28,78.56,79.72,78.16,79.36,160800
2023-03-29,80.2,81.43,80.2,81.21,313700
2023-03-30,82.14,82.43,81.0,81.21,193200
2023-03-31,81.83,82.54,81.53,82.53,242500
2023-04-03,82.44,82.63,81.35,81.65,298000
2023-04-04,81.92,81.92,79.79,80.21,289900
2023-04-05,79.75,79.91,78.44,78.96,440400
2023-04-06,79.07,79.07,77.95,78.05,383100
2023-04-10,77.55,78.69,77.55,78.62,302400
2023-04-11,78.81,79.5,78.64,78.89,197000
2023-04-12,79.39,79.57,78.1,78.24,236500
2023-04-13,78.46,80.46,77.66,80.34,287100
2023-04-14,80.34,80.99,79.2,80.01,226100
2023-04-17,80.3,80.62,79.47,80.57,210100
2023-04-18,80.95,81.41,79.36,79.54,270700
2023-04-19,78.95,79.99,78.93,79.5,316100
2023-04-20,73.01,76.14,72.36,73.81,895400
2023-04-21,73.85,74.64,72.93,74.59,373600
2023-04-24,74.57,74.8,74.04,74.49,258100
2023-04-25,73.62,75.2,73.43,74.9,585400
2023-04-26,74.49,75.38,73.8,74.79,471800
2023-04-27,74.72,75.61,74.18,74.33,456100
2023-04-28,74.37,76.01,74.37,75.71,403300
2023-05-01,75.5,76.44,75.37,75.78,231100
2023-05-02,75.34,75.68,74.05,74.75,296800
2023-05-03,74.93,76.14,72.77,73.05,646500
2023-05-04,72.45,72.47,69.59,69.6,1160500
2023-05-05,70.59,70.91,70.07,70.38,787200
2023-05-08,71.01,71.62,70.02,70.64,687800
2023-05-09,70.24,70.59,69.47,70.37,649200
2023-05-10,71.42,72.02,70.55,71.6,527100
2023-05-11,70.63,71.53,70.21,70.93,277500
2023-05-12,71.19,71.5,70.74,71.0,227700
2023-05-15,71.25,71.87,70.88,71.39,289300
2023-05-16,71.31,71.36,70.38,70.61,236200
2023-05-17,71.02,73.0,70.55,72.73,332700
2023-05-18,72.29,74.01,72.16,73.82,361000
2023-05-19,74.51,74.51,72.68,72.93,263300
2023-05-22,73.02,74.39,72.51,74.06,224700
2023-05-23,73.9,75.06,73.5,74.69,316600
2023-05-24,74.54,74.54,73.1,73.78,247900
2023-05-25,73.26,73.47,71.78,71.97,300800
2023-05-26,72.23,73.56,72.18,72.35,391300
2023-05-30,72.55,72.62,71.35,72.02,462400
2023-05-31,69.63,70.75,68.86,70.17,369600
2023-06-01,70.0,72.36,70.0,72.07,349600
2023-06-02,72.97,75.21,72.9,74.9,312400
2023-06-05,74.17,74.33,72.64,73.25,170600
2023-06-06,73.29,75.79,73.29,75.43,241300
2023-06-07,75.68,77.26,75.46,77.18,339800
2023-06-08,76.85,77.32,75.87,76.62,198800
2023-06-09,76.57,76.85,75.66,76.47,269400
2023-06-12,76.44,77.19,76.25,76.59,259900
