Date,Open,High,Low,Close,Volume
2023-01-13,6.65,8.12,6.56,7.68,78829700
2023-01-17,8.4,8.86,7.9,8.37,59317600
2023-01-18,8.51,8.53,6.82,6.91,58413500
2023-01-19,6.72,7.45,6.52,7.34,35227300
2023-01-20,7.52,8.09,7.03,8.07,48773100
2023-01-23,8.05,9.12,7.81,9.0,47089200
2023-01-24,8.74,9.57,8.58,8.8,39398800
2023-01-25,8.31,8.94,7.9,8.75,34985400
2023-01-26,9.17,9.36,8.5,8.75,30466600
2023-01-27,8.55,8.86,7.98,8.02,48107300
2023-01-30,7.79,8.17,7.09,7.17,36748000
2023-01-31,7.41,7.5,7.1,7.21,24173200
2023-02-01,7.17,7.87,6.83,7.52,43280700
2023-02-02,8.0,8.56,7.74,8.0,60716900
2023-02-03,7.51,7.92,6.98,7.07,34183100
2023-02-06,6.92,7.27,6.65,7.08,23094600
2023-02-07,7.08,7.24,6.51,7.1,32060600
2023-02-08,6.91,7.4,6.72,6.81,23079400
2023-02-09,6.89,6.9,5.83,5.95,27776800
2023-02-10,5.84,5.94,5.51,5.92,20107400
2023-02-13,5.76,6.03,5.58,5.85,14942300
2023-02-14,5.82,6.83,5.69,6.72,36350700
2023-02-15,7.02,8.02,6.86,7.95,50585400
2023-02-16,7.68,8.66,7.15,7.21,66418700
2023-02-17,7.45,7.87,7.05,7.7,44076900
2023-02-21,7.38,7.75,7.03,7.13,29693300
2023-02-22,7.02,7.43,6.84,7.19,28798700
2023-02-23,7.27,7.42,7.01,7.28,18858900
2023-02-24,6.98,7.17,6.51,6.67,25465500
2023-02-27,6.97,7.14,6.8,7.11,25241200
2023-02-28,7.05,7.79,7.03,7.1,38171800
2023-03-01,7.18,7.25,6.38,6.51,26686600
2023-03-02,6.25,6.42,5.98,6.26,22430900
2023-03-03,6.02,6.62,5.94,6.38,20930000
2023-03-06,6.4,6.85,6.18,6.32,19853800
2023-03-07,6.29,6.42,6.04,6.09,17933100
2023-03-08,6.01,6.22,5.88,6.18,14775300
2023-03-09,6.03,6.23,5.5,5.51,19083200
2023-03-10,5.48,5.66,5.13,5.33,20766700
2023-03-13,5.7,6.96,5.35,6.7,66973000
2023-03-14,7.45,7.83,6.74,7.13,64006900
2023-03-15,7.13,7.48,6.61,7.09,38441500
2023-03-16,7.06,7.74,7.0,7.63,35334500
2023-03-17,8.4,8.51,7.66,8.17,61120200
2023-03-20,8.48,8.5,7.61,7.85,39108100
2023-03-21,7.88,8.92,7.73,8.87,46252300
2023-03-22,8.88,9.12,7.75,7.78,48722800
2023-03-23,8.03,8.93,7.9,8.46,45826800
2023-03-24,8.23,8.3,7.57,7.81,28289400
2023-03-27,8.04,8.04,7.1,7.11,23372100
2023-03-28,7.01,7.21,6.87,7.2,18648200
2023-03-29,7.57,8.14,7.49,7.95,36010000
2023-03-30,8.1,8.15,7.6,7.83,25958500
2023-03-31,7.92,8.74,7.83,8.72,36159700
2023-04-03,8.54,8.9,8.12,8.43,25824800
2023-04-04,8.6,8.65,8.01,8.51,23882300
2023-04-05,8.62,8.63,7.65,7.93,27754500
2023-04-06,7.82,8.29,7.65,7.98,15392500
2023-04-10,7.97,9.14,7.66,9.1,42370900
2023-04-11,9.46,10.64,9.27,10.23,63439500
2023-04-12,10.05,10.58,9.69,9.95,43348600
2023-04-13,10.42,11.69,10.37,11.52,57539100
2023-04-14,12.27,12.28,10.98,11.97,54369900
2023-04-17,11.05,11.65,10.93,11.45,29146900
2023-04-18,12.02,12.83,11.45,11.68,41896300
2023-04-19,10.92,11.33,10.65,10.66,28329900
2023-04-20,10.4,10.65,9.45,9.52,27389800
2023-04-21,9.87,9.95,8.87,8.93,28395200
2023-04-24,9.02,9.35,8.69,8.89,26335000
2023-04-25,8.77,9.44,8.56,8.99,35069100
2023-04-26,10.1,10.65,9.4,9.46,65526200
2023-04-27,9.87,10.08,9.27,10.06,46101800
2023-04-28,9.85,10.33,9.51,10.07,28853100
2023-05-01,9.76,9.93,8.64,8.78,28506300
2023-05-02,8.87,9.72,8.65,9.55,32177300
2023-05-03,9.17,9.97,9.09,9.55,26882400
2023-05-04,9.74,10.54,9.59,10.27,35765100
2023-05-05,10.38,10.65,10.0,10.49,37753400
2023-05-08,9.98,10.0,9.25,9.33,30157200
2023-05-09,9.47,9.8,9.31,9.38,23038000
2023-05-10,9.79,10.72,9.66,10.22,51276900
2023-05-11,9.84,9.93,8.65,8.73,39314900
2023-05-12,8.71,8.93,8.52,8.92,23041800
2023-05-15,9.19,9.61,8.9,9.54,26855000
2023-05-16,9.2,9.54,9.0,9.25,18095000
2023-05-17,9.07,10.2,9.04,10.09,30436800
2023-05-18,9.92,10.41,9.03,9.38,37908600
2023-05-19,9.52,9.73,9.17,9.18,19235400
2023-05-22,9.17,9.72,8.95,9.67,25877200
2023-05-23,9.75,10.36,9.26,9.32,30437700
2023-05-24,9.15,9.61,8.86,9.43,28986400
2023-05-25,9.49,9.57,8.78,9.11,28309500
2023-05-26,9.16,9.69,8.85,8.93,31666500
2023-05-30,9.44,10.2,9.14,9.42,42716700
2023-05-31,9.18,9.84,9.01,9.79,28923900
2023-06-01,9.66,10.38,9.53,9.99,30340000
2023-06-02,10.32,10.39,9.57,10.03,32655300
2023-06-05,9.73,9.98,9.06,9.19,35660400
2023-06-06,8.95,10.13,8.47,10.08,53229200
2023-06-07,10.0,10.58,9.43,9.55,39054100
2023-06-08,9.61,9.89,9.53,9.57,19797200
2023-06-09,9.78,9.82,9.2,9.38,20588600
2023-06-12,9.27,9.49,9.17,9.33,14514900
2023-06-13,9.5,9.95,9.29,9.68,25412200
2023-06-14,9.73,10.03,9.51,9.69,30560400
2023-06-15,9.33,9.54,9.11,9.36,30601500
2023-06-16,9.48,10.06,9.16,9.98,50994800
2023-06-20,10.21,11.73,9.81,11.72,81874000
2023-06-21,12.25,12.9,12.01,12.21,88558500
2023-06-22,12.25,12.68,11.14,11.83,55820500
2023-06-23,11.78,13.1,11.5,12.71,87494200
2023-06-26,12.55,13.05,11.42,11.79,51715200
2023-06-27,12.18,13.5,12.05,13.38,64774800
2023-06-28,13.02,13.7,12.58,13.16,52768500
2023-06-29,13.63,14.31,13.18,13.82,50628000
2023-06-30,14.44,14.62,13.15,13.86,63953200
2023-07-03,14.05,15.64,13.95,15.32,43137000
2023-07-05,14.68,15.84,14.57,15.56,47454800
2023-07-06,15.75,15.97,14.51,15.32,47358800
2023-07-07,15.28,16.74,15.24,15.67,60526200
2023-07-10,15.8,16.98,15.24,16.92,51905200
2023-07-11,16.77,17.58,16.56,17.39,47291800
2023-07-12,17.94,18.26,16.78,16.86,54020300
2023-07-13,17.19,19.48,17.03,19.3,71665800
2023-07-14,19.13,19.88,17.87,18.07,53399300
2023-07-17,18.18,18.69,16.95,17.26,42105700
2023-07-18,17.01,17.79,16.55,16.81,33502000
2023-07-19,17.15,18.03,17.13,17.59,37645700
2023-07-20,17.87,18.1,16.82,17.06,31582400
2023-07-21,17.3,17.4,16.24,16.88,26577300
2023-07-24,16.15,16.62,15.76,16.42,26345500
2023-07-25,16.6,17.34,16.16,16.18,26409900
2023-07-26,16.46,17.04,16.21,16.82,24164600
2023-07-27,17.31,17.33,15.88,15.97,23067400
2023-07-28,16.3,16.79,16.12,16.7,21420600
2023-07-31,17.0,17.79,16.58,17.37,27394300
2023-08-01,16.86,16.92,15.86,16.83,31288400
2023-08-02,16.72,17.4,16.29,16.48,26715600
2023-08-03,16.27,17.2,16.16,16.56,25002400
2023-08-04,16.74,16.84,15.81,15.83,21965100
2023-08-07,15.85,15.86,14.15,15.07,29981200
2023-08-08,15.55,15.96,14.86,15.72,27403300
2023-08-09,15.85,16.42,15.43,15.51,26381900
2023-08-10,15.66,16.03,14.41,14.55,25847100
2023-08-11,14.41,15.27,14.22,14.88,21862700
2023-08-14,14.65,15.22,14.11,14.99,20920200
2023-08-15,14.74,15.1,13.9,13.93,24409000
2023-08-16,13.67,13.88,13.19,13.5,23097200
2023-08-17,13.06,13.22,12.2,12.25,35069700
2023-08-18,11.47,11.98,11.15,11.28,33316200
2023-08-21,11.37,11.58,10.84,11.05,22828400
2023-08-22,11.21,11.34,10.88,10.95,19704200
2023-08-23,10.92,11.88,10.87,11.75,24746800
2023-08-24,11.79,11.8,10.37,10.55,25292500
2023-08-25,10.68,10.94,10.26,10.55,19391200
2023-08-28,10.62,10.94,10.52,10.62,13672800
2023-08-29,10.6,13.87,10.54,13.68,74154500
2023-08-30,13.37,13.54,12.47,13.47,38207000
2023-08-31,13.56,13.92,12.45,12.57,33448800
2023-09-01,12.53,12.74,11.74,12.0,25287900
2023-09-05,11.85,12.2,11.64,12.0,14834100
2023-09-06,11.87,12.59,11.83,12.06,23218900
2023-09-07,11.9,12.45,11.32,12.36,20436200
2023-09-08,11.85,11.9,10.43,10.91,43533200
2023-09-11,10.55,10.64,9.96,10.07,30366000
2023-09-12,10.51,10.9,10.06,10.16,36784700
2023-09-13,10.1,10.18,9.7,9.89,29524400
2023-09-14,10.15,10.46,9.9,10.0,35131000
2023-09-15,9.95,9.95,9.53,9.8,26199700
2023-09-18,10.32,10.35,9.47,9.79,37718900
2023-09-19,9.71,9.98,9.31,9.56,23670200
2023-09-20,9.57,9.84,9.28,9.29,17914000
2023-09-21,8.85,9.3,8.77,9.16,16611200
2023-09-22,9.17,9.28,8.65,8.67,17195700
2023-09-25,8.48,8.89,8.42,8.56,19232000
2023-09-26,8.46,8.68,8.22,8.25,16815800
2023-09-27,8.39,8.55,7.91,8.01,22627000
2023-09-28,8.06,8.89,7.93,8.57,24186700
2023-09-29,8.71,8.88,8.39,8.5,20212700
2023-10-02,9.2,9.69,8.51,8.53,42145500
2023-10-03,8.3,8.41,7.22,7.3,33702900
2023-10-04,7.47,7.58,7.18,7.54,25114400
2023-10-05,7.6,7.88,7.33,7.42,25669000
2023-10-06,7.2,8.18,7.16,8.08,30916900
2023-10-09,7.61,8.38,7.6,8.36,27156300
2023-10-10,8.26,8.85,8.23,8.46,25100600
2023-10-11,8.18,8.3,7.73,7.9,28534800
2023-10-12,7.85,8.13,7.67,7.78,17753900
2023-10-13,8.04,8.07,7.55,7.71,18261800
2023-10-16,8.54,8.94,7.87,8.1,52441600
2023-10-17,7.98,8.74,7.91,8.45,30035000
2023-10-18,8.38,8.65,7.65,7.74,28487000
2023-10-19,8.0,8.08,7.63,7.71,31017200
2023-10-20,7.95,8.38,7.69,7.76,36236400
2023-10-23,8.06,9.02,7.74,8.75,63932600
2023-10-24,9.89,10.72,9.35,9.76,95449800
2023-10-25,9.7,10.08,9.28,9.47,53992900
2023-10-26,9.2,9.52,8.78,8.99,32254600
2023-10-27,9.2,9.4,8.82,8.86,27482800
2023-10-30,9.2,9.57,8.61,8.85,31761800
2023-10-31,8.71,8.98,8.42,8.81,22365600
