Date,Open,High,Low,Close,Volume
2023-01-13,63.4,63.82,62.99,63.48,203800
2023-01-17,63.36,64.09,63.26,63.64,182300
2023-01-18,63.88,65.25,63.56,63.72,253900
2023-01-19,61.71,61.93,58.06,60.69,736400
2023-01-20,61.11,63.58,60.98,63.48,391100
2023-01-23,63.42,64.57,62.87,64.04,340200
2023-01-24,63.56,64.25,62.47,64.06,236500
2023-01-25,63.54,64.34,62.74,62.94,281600
2023-01-26,63.03,63.17,61.85,62.94,264800
2023-01-27,63.0,64.5,63.0,63.97,186500
2023-01-30,63.21,64.09,62.82,62.86,176100
2023-01-31,62.87,66.12,62.83,66.12,421600
2023-02-01,66.29,69.34,65.91,68.61,450300
2023-02-02,68.7,71.25,68.7,71.1,342200
2023-02-03,70.49,71.43,69.95,71.28,305900
2023-02-06,71.1,71.1,69.2,69.46,179000
2023-02-07,69.0,70.01,68.41,69.35,215500
2023-02-08,68.41,69.47,67.69,68.48,190500
2023-02-09,68.82,68.88,67.83,68.08,212200
2023-02-10,67.88,68.7,67.21,68.32,200500
2023-02-13,68.06,68.69,67.57,68.61,174800
2023-02-14,68.04,68.89,67.42,68.82,207500
2023-02-15,68.35,70.27,68.1,70.1,235700
2023-02-16,69.11,70.45,68.71,69.62,305000
2023-02-17,69.83,70.46,69.38,70.07,241300
2023-02-21,69.16,69.57,65.09,65.39,391300
2023-02-22,63.69,64.63,61.79,64.58,692000
2023-02-23,65.7,67.46,65.69,67.03,284000
2023-02-24,66.12,67.97,65.67,67.71,271100
2023-02-27,68.56,69.78,67.63,67.9,305600
2023-02-28,67.85,68.13,66.51,66.51,293600
2023-03-01,66.51,67.96,66.39,67.47,259400
2023-03-02,67.0,67.4,66.07,66.29,286000
2023-03-03,66.45,67.32,66.3,66.3,289900
2023-03-06,66.3,66.61,64.68,64.82,262000
2023-03-07,64.83,65.29,63.86,64.03,245000
2023-03-08,64.11,64.84,63.52,64.82,320500
2023-03-09,64.97,65.59,63.45,63.52,232400
2023-03-10,63.29,63.29,61.38,61.96,276900
2023-03-13,60.55,61.36,59.7,60.13,292700
2023-03-14,61.85,62.74,60.07,61.1,401000
2023-03-15,59.31,62.47,58.4,62.41,419100
2023-03-16,61.69,64.49,61.52,64.04,368200
2023-03-17,63.89,63.96,59.9,60.0,935100
2023-03-20,60.98,62.64,60.53,60.58,335400
2023-03-21,61.64,63.32,61.64,62.38,329700
2023-03-22,62.46,62.6,59.92,59.93,235700
2023-03-23,60.41,61.08,59.07,59.33,252800
2023-03-24,58.64,59.67,58.22,59.29,197700
2023-03-27,60.13,61.07,59.74,60.3,218500
