Date,Open,High,Low,Close,Volume
2026-07-23,19.81,20.73,19.8,20.7,4398900
2026-07-24,20.67,21.34,20.38,20.55,4174800
2026-07-27,20.3,21.1,20.3,20.62,2889700
2026-07-28,20.0,22.0,19.91,21.72,6184000
2026-07-29,21.48,21.99,21.26,21.47,3845500
2026-07-30,21.24,21.26,20.11,20.48,2852900
2026-08-03,20.27,21.31,20.27,21.3,2612600
2026-08-04,20.75,21.32,20.75,21.21,3327400
2026-08-05,21.06,21.57,20.91,21.26,3331700
2026-08-06,21.02,21.26,20.4,20.73,3519100
2026-08-07,20.37,20.7,18.72,19.7,10921200
2026-08-10,19.21,19.7,18.68,19.0,4390800
2026-08-11,18.73,19.8,18.73,19.37,4880500
2026-08-12,19.25,19.73,19.1,19.62,4563500
2026-08-13,19.75,20.0,19.55,19.83,3758800
2026-08-14,20.82,21.14,19.89,20.34,3655300
2026-08-17,20.22,20.34,19.63,19.72,3776800
2026-08-18,19.68,20.22,19.38,19.82,5744600
2026-08-19,19.94,21.04,19.98,20.82,1986581
