Date,Open,High,Low,Close,Volume
2023-01-13,24.91,25.39,24.82,25.37,60000
2023-01-17,25.25,25.67,25.08,25.48,40400
2023-01-18,25.49,25.715,24.92,25.03,50300
2023-01-19,24.79,25.26,24.61,25.15,46300
2023-01-20,25.36,25.65,25.17,25.6,61100
2023-01-23,25.58,26.005,25.58,25.89,42100
2023-01-24,25.88,25.935,25.66,25.72,26600
2023-01-25,25.6,25.86,25.39,25.67,55700
2023-01-26,25.87,25.95,25.65,25.8,32500
2023-01-27,25.81,26.06,25.52,25.92,21500
2023-01-30,25.69,26.88,25.69,26.36,65300
2023-01-31,27.39,29.145,26.89,28.77,112500
2023-02-01,28.79,30.05,28.59,30.05,119300
2023-02-02,30.15,31.19,30.065,31.13,92300
2023-02-03,30.87,31.36,30.47,30.79,59800
2023-02-06,30.82,31.078,30.43,30.62,41400
2023-02-07,30.5,31.045,30.33,30.75,46600
2023-02-08,30.49,30.79,30.23,30.62,37000
2023-02-09,30.93,30.98,29.88,30.33,36300
2023-02-10,30.42,30.8,29.94,30.73,59200
2023-02-13,30.82,30.96,30.32,30.62,63800
2023-02-14,30.43,30.955,30.3,30.65,52400
2023-02-15,30.36,31.03,30.24,30.63,88200
2023-02-16,30.2,31.035,30.2,30.35,67100
2023-02-17,30.72,30.99,29.5,30.79,55900
2023-02-21,30.5,30.64,30.15,30.25,43500
2023-02-22,30.27,30.28,29.66,30.05,42500
2023-02-23,30.17,30.4,30.07,30.1,38600
2023-02-24,29.76,30.3,29.73,30.15,59400
2023-02-27,30.37,30.51,29.93,30.04,37400
2023-02-28,30.31,30.5,30.2,30.25,64600
2023-03-01,30.22,30.57,30.0,30.48,53900
2023-03-02,30.28,30.51,30.11,30.46,70400
2023-03-03,30.55,30.77,30.1,30.43,117300
2023-03-06,30.46,30.68,29.99,30.07,59700
2023-03-07,29.93,29.93,29.24,29.27,49400
2023-03-08,29.26,29.45,29.01,29.27,30700
2023-03-09,29.18,29.22,27.18,27.26,51100
2023-03-10,26.88,27.038,25.02,25.76,308100
2023-03-13,24.96,26.62,23.75,26.12,185900
2023-03-14,27.65,27.848,26.065,26.37,107400
2023-03-15,25.43,26.825,24.72,26.76,100100
2023-03-16,26.42,27.97,26.11,27.09,87700
2023-03-17,26.65,26.74,25.96,26.34,187600
2023-03-20,26.6,26.86,25.71,25.87,66700
2023-03-21,26.3,27.05,26.2,26.9,74200
2023-03-22,26.78,27.09,26.54,26.78,125100
2023-03-23,26.95,26.95,26.19,26.37,139500
2023-03-24,26.17,27.09,25.99,27.08,82000
2023-03-27,27.41,27.88,27.26,27.51,76900
2023-03-28,27.35,27.43,26.62,26.71,51400
2023-03-29,27.0,27.11,26.7,26.98,72500
2023-03-30,27.2,27.37,26.55,26.58,92300
2023-03-31,26.73,26.73,25.75,26.04,189500
2023-04-03,26.1,26.425,25.6,25.63,84200
2023-04-04,25.76,25.99,25.44,25.97,117000
2023-04-05,25.7,25.99,25.39,25.81,77200
2023-04-06,25.84,26.39,25.84,26.1,63100
2023-04-10,25.93,26.6,25.74,26.1,350400
2023-04-11,26.2,26.32,26.0,26.16,79200
2023-04-12,26.35,26.4,25.82,25.87,94100
2023-04-13,25.97,26.265,25.765,25.97,43400
2023-04-14,26.08,26.245,25.64,25.76,47200
2023-04-17,25.7,25.79,24.87,25.04,92600
2023-04-18,25.07,25.07,24.265,24.36,57200
2023-04-19,24.36,25.1,24.31,24.95,39600
2023-04-20,24.72,25.08,24.66,25.04,35200
2023-04-21,24.99,25.23,24.55,24.92,62800
2023-04-24,24.92,25.0,24.29,24.38,66200
2023-04-25,24.1,24.54,24.04,24.24,52000
2023-04-26,24.28,24.51,23.5,23.66,49300
2023-04-27,23.8,24.24,23.635,24.19,53300
2023-04-28,23.81,24.135,22.72,23.2,127100
2023-05-01,23.37,23.785,23.22,23.66,82300
2023-05-02,23.47,23.72,22.664,23.0,103100
2023-05-03,23.15,24.06,23.1,23.16,83500
2023-05-04,22.93,23.13,21.5,22.27,95800
2023-05-05,22.65,24.34,22.65,23.42,62500
2023-05-08,23.5,23.9,23.13,23.23,52800
2023-05-09,23.23,24.02,22.81,23.1,49300
2023-05-10,23.39,23.39,22.9,23.1,56600
2023-05-11,22.98,23.03,22.71,22.91,50400
2023-05-12,22.91,23.04,22.18,22.58,83300
2023-05-15,22.66,23.2,22.66,23.05,37000
2023-05-16,22.99,23.35,22.77,23.25,49700
2023-05-17,23.4,23.88,22.878,23.8,77300
2023-05-18,23.76,24.54,23.56,24.28,83900
2023-05-19,24.66,24.66,23.18,23.41,62300
2023-05-22,23.56,23.9,23.5,23.75,38500
2023-05-23,23.66,24.42,23.348,23.895,43900
2023-05-24,23.73,23.77,23.35,23.54,54600
2023-05-25,23.45,23.59,23.13,23.39,29000
2023-05-26,23.36,23.46,23.03,23.42,42200
2023-05-30,23.53,23.53,23.05,23.38,39600
2023-05-31,23.34,23.5,22.705,22.86,80200
2023-06-01,22.91,23.42,22.76,23.32,49400
2023-06-02,23.54,24.71,23.54,24.61,140200
2023-06-05,24.54,24.54,23.8,24.23,43200
2023-06-06,24.22,25.88,24.22,25.77,58600
2023-06-07,25.97,27.46,25.89,27.3,96600
2023-06-08,27.16,27.47,26.85,27.35,62300
2023-06-09,27.25,27.33,27.09,27.21,42000
2023-06-12,27.2,27.51,26.07,26.24,76200
2023-06-13,26.38,27.09,26.05,26.97,56400
2023-06-14,26.88,27.55,26.18,26.72,61400
2023-06-15,26.6,27.64,26.18,27.63,60100
2023-06-16,27.93,27.93,27.38,27.62,97600
2023-06-20,27.5,27.53,26.17,26.3,94400
2023-06-21,26.19,26.49,25.72,25.77,42600
2023-06-22,25.73,25.78,25.145,25.3,70200
2023-06-23,24.89,25.56,24.747,25.35,144700
2023-06-26,25.21,25.65,24.9,25.01,62300
2023-06-27,25.09,25.74,24.93,25.39,54000
2023-06-28,25.34,25.455,25.0,25.42,63100
2023-06-29,25.59,25.9,25.44,25.55,87600
2023-06-30,25.86,25.86,25.41,25.58,159200
2023-07-03,25.54,26.04,25.54,25.89,29300
2023-07-05,25.64,25.84,25.44,25.59,71600
2023-07-06,25.3,25.355,24.46,24.8,63200
2023-07-07,24.89,26.33,24.89,26.31,107200
2023-07-10,26.06,26.73,26.06,26.68,81800
2023-07-11,26.69,27.09,26.495,27.05,99500
2023-07-12,27.55,27.885,27.06,27.45,70500
2023-07-13,27.65,27.931,27.28,27.59,38000
2023-07-14,27.61,27.63,26.962,27.36,25300
2023-07-17,27.41,28.36,27.41,28.05,31500
2023-07-18,28.06,28.69,27.64,28.52,44500
2023-07-19,28.49,29.73,28.49,29.4,165400
2023-07-20,29.43,29.5,28.59,29.31,80600
2023-07-21,29.42,29.44,27.03,28.6,77500
2023-07-24,28.56,29.525,28.56,29.25,64400
2023-07-25,29.27,29.77,29.0,29.41,46400
2023-07-26,29.61,30.27,29.565,30.0,76400
2023-07-27,30.1,30.835,29.99,30.16,79900
2023-07-28,30.58,31.2,29.75,30.73,53200
2023-07-31,31.05,33.585,31.05,31.61,117800
2023-08-01,31.47,31.89,31.09,31.66,44200
2023-08-02,31.24,31.48,31.0,31.15,38800
2023-08-03,31.06,31.96,31.0,31.13,67500
2023-08-04,31.12,31.51,30.94,31.04,39500
2023-08-07,31.13,31.95,31.13,31.82,47800
2023-08-08,31.34,31.765,31.06,31.69,57600
2023-08-09,31.57,31.78,31.103,31.46,52700
2023-08-10,31.76,31.8,31.09,31.32,41000
2023-08-11,31.06,31.415,31.06,31.17,34100
2023-08-14,31.03,31.14,30.74,30.75,36500
2023-08-15,30.46,30.71,30.25,30.44,41200
2023-08-16,30.36,30.84,30.02,30.1,33800
2023-08-17,29.97,30.02,29.753,29.81,30700
2023-08-18,29.51,30.21,29.51,29.86,41300
2023-08-21,29.85,30.27,29.01,29.07,37400
2023-08-22,29.15,29.15,28.54,28.69,42000
2023-08-23,28.67,29.3,28.66,29.16,40100
2023-08-24,29.04,29.5,28.89,29.1,30400
2023-08-25,29.19,29.25,28.82,28.98,26800
2023-08-28,29.1,29.45,28.81,28.84,44300
2023-08-29,28.86,29.06,28.77,28.84,33700
2023-08-30,28.73,28.83,28.425,28.7,98300
2023-08-31,28.7,29.38,28.7,29.17,44100
2023-09-01,29.34,29.975,29.33,29.56,51800
2023-09-05,29.63,29.63,28.76,28.94,27000
2023-09-06,28.94,29.26,28.43,28.56,31900
2023-09-07,28.5,28.953,28.21,28.27,44200
2023-09-08,28.49,29.1,28.25,28.6,98500
2023-09-11,28.85,28.95,28.21,28.33,25600
2023-09-12,28.35,28.62,28.26,28.48,30200
2023-09-13,28.26,28.295,27.65,27.76,35300
2023-09-14,28.045,28.42,28.03,28.35,46000
2023-09-15,28.35,28.48,28.03,28.03,112300
2023-09-18,28.13,28.17,27.87,28.0,29600
2023-09-19,29.35,29.35,28.09,28.2,103600
2023-09-20,28.16,28.3,27.32,27.36,35400
2023-09-21,27.11,27.335,27.0,27.04,49400
2023-09-22,27.04,27.56,26.89,27.36,37500
2023-09-25,27.35,28.76,27.21,27.83,57500
2023-09-26,27.6,27.835,27.07,27.61,64200
2023-09-27,27.66,27.815,27.25,27.49,34600
2023-09-28,27.54,28.035,27.45,27.53,38000
2023-09-29,27.73,28.0,27.42,27.72,139500
2023-10-02,27.73,27.84,27.25,27.32,54300
2023-10-03,27.23,27.23,26.42,26.5,44900
2023-10-04,26.49,27.18,26.305,27.0,50400
2023-10-05,26.88,27.49,26.88,27.36,45900
2023-10-06,27.22,27.66,27.06,27.38,39100
2023-10-09,27.26,27.81,27.205,27.53,24000
2023-10-10,27.69,27.926,27.315,27.54,25000
2023-10-11,27.56,27.75,27.27,27.5,27900
2023-10-12,27.56,27.56,26.99,27.5,48200
2023-10-13,27.6,27.6,27.0,27.02,43200
2023-10-16,27.08,27.535,27.0,27.23,39000
2023-10-17,27.07,28.18,27.06,28.06,61800
2023-10-18,27.81,27.81,26.87,27.03,60600
2023-10-19,27.0,27.217,26.71,26.77,42300
2023-10-20,26.73,26.73,26.37,26.45,62700
2023-10-23,26.39,26.82,26.39,26.64,23700
2023-10-24,26.72,26.84,25.86,26.38,45600
2023-10-25,26.23,26.42,25.78,26.41,35000
2023-10-26,26.65,26.9,26.45,26.62,54600
2023-10-27,28.09,29.34,27.75,29.31,98400
2023-10-30,29.5,30.03,28.985,29.67,76400
2023-10-31,29.78,30.21,29.78,29.89,51400
2023-11-01,29.89,30.48,29.6,30.44,96000
2023-11-02,30.5,31.5,30.42,31.48,70900
2023-11-03,31.5,32.045,31.12,31.2,349100
2023-11-06,31.2,32.01,31.1,31.93,129600
2023-11-07,31.86,31.935,31.09,31.62,120000
2023-11-08,31.77,31.78,31.26,31.67,68300
2023-11-09,31.86,31.86,31.24,31.45,64900
2023-11-10,31.65,31.86,31.33,31.6,57500
2023-11-13,31.59,31.84,31.3,31.66,46100
2023-11-14,32.0,32.66,31.84,32.28,728700
2023-11-15,32.49,33.28,32.42,32.88,253300
2023-11-16,32.9,32.9,32.56,32.6,141000
2023-11-17,32.88,33.98,32.7,33.1,279600
2023-11-20,33.15,33.8,32.88,33.49,235400
2023-11-21,33.48,33.97,32.98,33.48,121800
2023-11-22,33.73,34.2,33.38,33.72,130900
2023-11-24,33.88,33.88,33.47,33.69,31900
2023-11-27,33.55,33.57,32.83,32.88,63700
2023-11-28,32.99,33.58,32.52,33.39,117500
2023-11-29,33.48,34.03,33.35,33.77,67100
2023-11-30,33.89,34.09,33.55,33.65,63400
2023-12-01,33.55,34.4,33.051,34.28,72200
2023-12-04,34.14,34.75,33.69,34.67,188100
2023-12-05,34.7,35.59,34.7,35.25,138100
2023-12-06,35.28,35.75,34.74,34.88,196100
2023-12-07,35.14,36.15,34.82,36.11,143300
2023-12-08,36.38,37.135,36.25,37.0,147300
2023-12-11,37.4,37.4,36.48,36.97,104300
2023-12-12,37.19,37.578,36.89,37.38,133500
2023-12-13,37.43,39.15,37.43,39.12,175100
2023-12-14,39.82,40.35,39.4,39.99,165800
2023-12-15,40.16,40.98,39.52,40.25,244100
2023-12-18,40.22,40.645,39.53,40.48,163700
2023-12-19,40.75,41.71,40.48,41.71,239600
2023-12-20,41.83,42.68,41.33,41.33,157600
