Date,Open,High,Low,Close,Volume
2023-01-13,44.88,45.66,44.79,45.14,428600
2023-01-17,44.91,45.86,44.73,44.89,446000
2023-01-18,44.98,45.91,44.605,45.16,396300
2023-01-19,44.68,45.22,43.83,44.88,523100
2023-01-20,45.19,45.83,44.78,45.35,536300
2023-01-23,45.16,46.11,45.14,46.06,438200
2023-01-24,45.63,46.12,45.41,45.43,241000
2023-01-25,44.84,45.1,44.47,45.1,277500
2023-01-26,45.45,45.73,44.705,45.64,327700
2023-01-27,45.59,46.43,45.44,46.17,627600
2023-01-30,45.71,46.4,45.35,45.84,642300
2023-01-31,46.01,46.75,45.6,46.75,538600
2023-02-01,46.56,47.85,45.57,47.32,613000
2023-02-02,47.79,50.23,47.56,49.0,839400
2023-02-03,48.33,49.69,48.33,49.34,478600
2023-02-06,48.93,49.66,48.77,49.01,622800
2023-02-07,48.51,48.665,46.71,47.68,694400
2023-02-08,47.13,48.33,46.81,47.06,557300
2023-02-09,46.12,46.45,42.54,43.74,1956500
2023-02-10,43.66,44.94,43.66,44.25,878300
2023-02-13,44.19,47.01,43.96,46.97,734800
2023-02-14,46.79,47.41,46.09,46.67,626700
2023-02-15,46.65,46.95,45.87,46.72,413100
2023-02-16,45.96,46.46,45.42,45.5,420300
2023-02-17,45.09,45.59,44.36,45.39,398600
2023-02-21,44.24,44.89,43.36,43.57,594600
2023-02-22,43.5,44.18,42.69,43.32,809100
2023-02-23,43.0,43.89,42.34,42.77,764500
2023-02-24,42.13,42.545,41.68,42.27,663900
2023-02-27,42.67,43.27,42.265,43.03,804500
2023-02-28,43.03,43.59,42.7,42.83,717700
2023-03-01,42.85,43.58,42.64,42.93,765800
2023-03-02,42.29,42.97,41.945,42.89,496500
2023-03-03,43.07,43.45,42.38,43.1,548400
2023-03-06,43.05,43.086,42.11,42.24,490100
2023-03-07,42.1,42.51,41.42,41.44,488400
2023-03-08,41.47,41.87,41.21,41.75,515100
2023-03-09,41.68,41.84,40.38,40.47,399000
2023-03-10,40.0,40.2,38.36,39.06,572900
2023-03-13,38.2,38.55,37.2,37.91,775300
2023-03-14,39.55,39.775,37.63,38.6,588800
2023-03-15,37.18,38.78,37.03,38.75,658900
2023-03-16,38.4,40.08,38.185,39.89,666400
2023-03-17,39.73,39.87,38.35,39.07,895700
2023-03-20,39.7,40.18,38.99,39.47,428400
2023-03-21,40.57,40.81,39.62,39.88,452100
2023-03-22,39.96,40.18,38.56,38.62,472600
2023-03-23,38.73,39.39,38.375,38.58,400000
2023-03-24,37.35,37.82,36.0,37.75,820300
