Date,Open,High,Low,Close,Volume
2026-06-26,110.5,200.0,21.0,110.5,0
2026-06-29,35.0,35.0,35.0,35.0,82100
2026-06-30,40.0,40.0,40.0,40.0,29400
2026-07-01,40.0,40.0,35.0,38.98,112300
2026-07-02,42.54,42.54,34.98,36.01,187700
2026-07-06,36.0,37.33,33.0,35.05,100400
2026-07-07,35.5,40.04,34.65,36.6,8306000
2026-07-08,36.49,39.59,36.06,39.0,1977400
2026-07-09,39.47,45.02,38.2,44.0,2138800
2026-07-10,44.75,45.18,40.9,41.44,1914500
2026-07-13,40.61,44.4,40.0,42.6,1363900
2026-07-14,42.83,44.1,42.2,43.5,1481000
2026-07-15,43.43,44.81,43.08,43.47,1042500
2026-07-16,43.89,45.47,43.02,44.68,893500
2026-07-17,44.11,45.02,40.47,41.87,1109100
2026-07-20,42.0,44.18,41.12,43.42,846700
2026-07-21,44.02,46.68,43.61,45.84,1087200
2026-07-22,46.0,47.33,43.22,44.68,1065000
2026-07-23,45.19,47.78,44.16,47.75,995100
2026-07-24,46.73,48.86,46.05,47.2,1230000
2026-07-27,46.86,48.5,46.09,47.75,754200
2026-07-28,48.0,48.0,45.06,46.58,1237900
2026-07-29,46.98,47.91,44.86,46.61,788400
2026-07-30,47.26,48.66,45.5,48.14,1162000
2026-07-31,48.45,49.86,47.09,47.95,918200
2026-08-03,47.53,48.86,46.75,47.29,495100
2026-08-04,47.5,48.03,44.08,47.29,689300
2026-08-05,46.91,48.39,45.85,46.67,695200
2026-08-06,46.66,48.5,45.38,46.71,900900
2026-08-07,48.35,48.6,45.78,45.92,638000
2026-08-10,45.92,47.22,43.55,44.82,583500
2026-08-11,44.9,45.95,44.15,44.95,766700
2026-08-12,45.49,46.02,43.45,43.74,710000
2026-08-13,44.04,45.16,42.5,43.08,743300
2026-08-14,42.07,46.08,42.0,45.57,1260500
2026-08-17,45.6,46.44,44.35,45.0,636400
2026-08-18,44.5,45.25,42.85,42.91,549400
2026-08-19,43.53,45.86,42.92,45.28,455204
