Date,Open,High,Low,Close,Volume
2023-01-13,23.62,23.85,23.25,23.8,1324000
2023-01-17,24.05,24.29,23.5,23.64,1140700
2023-01-18,23.79,24.27,23.01,23.03,1004300
2023-01-19,22.99,23.66,22.74,23.54,1369200
2023-01-20,23.78,23.89,23.37,23.82,993800
2023-01-23,23.97,24.2,23.71,24.05,878200
2023-01-24,23.74,24.04,23.28,23.3,1507700
2023-01-25,23.15,23.34,22.66,23.11,4858700
2023-01-26,23.44,23.895,22.7,23.81,4977700
2023-01-27,23.77,23.98,23.55,23.57,1321700
2023-01-30,23.25,23.42,22.9,22.94,1941200
2023-01-31,22.88,23.63,22.712,23.61,2038800
2023-02-01,23.44,23.56,22.31,23.01,1609600
2023-02-02,22.98,23.38,22.58,22.92,1497200
2023-02-03,22.97,23.81,22.957,23.1,1120500
2023-02-06,23.02,23.185,22.13,22.33,1215100
2023-02-07,22.43,23.48,22.27,23.43,1282400
2023-02-08,23.36,23.485,22.73,22.94,1241700
2023-02-09,22.84,22.94,22.06,22.21,1380700
2023-02-10,22.64,23.57,22.49,23.43,2565500
2023-02-13,23.22,23.52,23.0,23.07,1658500
2023-02-14,22.79,23.17,22.49,23.15,1940800
2023-02-15,22.88,22.94,21.72,22.58,2448600
2023-02-16,22.65,23.03,22.24,22.26,1773200
2023-02-17,21.9,21.925,20.97,21.23,2844900
2023-02-21,21.03,21.53,20.9,20.96,2401800
2023-02-22,21.15,21.16,20.48,20.88,2281600
2023-02-23,21.42,21.77,21.03,21.72,1812400
2023-02-24,21.5,22.04,21.27,22.01,1680100
2023-02-27,22.23,22.335,21.91,22.07,1494100
2023-02-28,22.18,22.42,21.791,21.85,1722000
2023-03-01,21.71,22.44,21.705,22.36,1219700
2023-03-02,22.26,22.98,22.07,22.84,1321900
2023-03-03,22.58,23.429,22.26,23.24,1653900
2023-03-06,22.98,23.22,22.78,22.94,1252800
2023-03-07,22.81,22.91,22.215,22.25,1868700
2023-03-08,22.13,22.355,21.52,21.68,2791100
2023-03-09,21.74,22.1,21.34,21.36,2121700
2023-03-10,21.34,21.5,20.75,20.81,1678200
2023-03-13,20.23,20.88,19.9,20.25,2825700
2023-03-14,20.52,21.21,20.095,20.49,2497900
2023-03-15,19.53,19.82,18.81,19.34,3276900
2023-03-16,18.85,20.015,18.81,19.97,2816100
2023-03-17,19.93,19.95,19.09,19.64,13250700
2023-03-20,19.76,20.65,19.67,20.52,2079200
2023-03-21,20.97,21.41,20.97,21.32,3229800
2023-03-22,21.27,21.63,20.64,20.68,2731800
2023-03-23,20.8,21.23,20.305,20.4,2154300
2023-03-24,20.0,20.94,19.61,20.66,2817400
2023-03-27,20.93,21.45,20.55,21.3,1719100
2023-03-28,21.17,21.58,21.09,21.2,1946900
2023-03-29,21.53,21.68,21.26,21.56,1575300
2023-03-30,21.76,21.79,21.4,21.56,1284400
2023-03-31,21.72,21.97,21.6,21.88,1564900
2023-04-03,23.06,23.23,22.4,23.14,2444500
2023-04-04,23.23,23.28,22.38,22.76,2452900
2023-04-05,22.82,22.9,22.34,22.8,1018900
2023-04-06,22.49,22.74,22.29,22.33,914800
2023-04-10,22.75,23.13,22.6,22.66,1353700
2023-04-11,22.92,23.3,22.76,23.13,1772400
2023-04-12,23.21,23.29,22.71,22.88,892700
2023-04-13,22.83,23.35,22.83,23.2,727600
2023-04-14,23.23,23.39,22.98,23.29,823300
2023-04-17,23.36,23.44,22.75,22.77,811500
2023-04-18,22.68,22.82,22.315,22.5,975900
2023-04-19,22.08,22.19,21.62,22.15,1348800
2023-04-20,21.79,21.925,21.315,21.67,1542900
2023-04-21,21.75,21.83,21.27,21.34,1443600
2023-04-24,21.22,22.025,21.142,21.86,1436900
2023-04-25,21.39,21.48,20.755,20.77,1276700
2023-04-26,20.63,20.89,20.235,20.43,1332500
2023-04-27,20.4,20.61,20.075,20.41,1151500
2023-04-28,20.41,21.29,20.35,21.12,1764900
2023-05-01,20.7,21.36,20.52,20.97,1272600
2023-05-02,20.55,20.55,19.675,19.96,1495000
2023-05-03,19.61,20.15,19.45,19.86,2695500
2023-05-04,20.16,20.25,18.72,18.92,3901000
2023-05-05,19.42,20.08,19.34,19.83,2231300
2023-05-08,20.38,20.5,19.765,19.91,2094700
2023-05-09,19.54,19.84,19.35,19.48,2415900
2023-05-10,19.48,19.565,18.905,19.32,1584800
2023-05-11,19.0,19.23,18.915,19.12,1550700
2023-05-12,19.31,19.48,19.043,19.47,1749800
2023-05-15,19.68,20.0,19.48,19.72,1531700
2023-05-16,19.63,19.7,19.27,19.39,1707500
2023-05-17,19.63,19.98,19.24,19.61,1779300
2023-05-18,19.38,19.7,19.26,19.65,1765400
2023-05-19,19.94,19.965,19.67,19.9,1569600
2023-05-22,19.73,20.895,19.73,20.71,2932900
2023-05-23,20.86,20.985,20.54,20.55,1740500
2023-05-24,20.75,20.75,20.27,20.5,2038300
2023-05-25,20.05,20.185,19.685,19.85,1841400
2023-05-26,19.99,20.03,19.66,19.9,1343400
2023-05-30,19.6,19.8,19.25,19.48,1483400
2023-05-31,19.22,19.445,19.045,19.33,2808300
2023-06-01,19.38,19.665,19.14,19.2,2199200
2023-06-02,19.74,20.405,19.51,20.36,3429500
2023-06-05,20.83,20.83,19.635,19.7,2599800
2023-06-06,19.4,20.305,19.35,20.14,1731400
2023-06-07,20.31,21.08,20.31,21.02,1554700
2023-06-08,21.06,21.255,20.55,21.01,1160100
2023-06-09,20.85,21.15,20.57,20.64,1645100
2023-06-12,20.13,20.435,19.805,20.15,1672600
2023-06-13,20.28,20.96,20.28,20.45,1304900
2023-06-14,20.73,20.81,19.7,20.09,2735100
2023-06-15,20.17,20.71,20.105,20.6,1960400
2023-06-16,20.95,20.96,20.45,20.73,3817800
2023-06-20,20.66,20.67,19.7,20.04,1930400
2023-06-21,19.95,20.37,19.95,20.08,2923900
2023-06-22,19.9,19.92,19.6,19.75,1934500
2023-06-23,19.3,19.87,19.24,19.66,4815700
2023-06-26,19.71,20.295,19.71,20.04,2006400
2023-06-27,20.09,20.09,19.725,19.93,1333000
2023-06-28,19.96,20.265,19.79,20.23,2010300
2023-06-29,20.21,20.77,20.175,20.74,1253300
2023-06-30,20.95,21.03,20.59,20.9,2309800
2023-07-03,20.84,21.07,20.75,20.81,765800
2023-07-05,20.91,20.99,20.63,20.82,2131900
2023-07-06,20.53,20.78,20.01,20.45,1564700
2023-07-07,20.38,21.62,20.38,21.41,1807000
2023-07-10,21.18,21.58,21.17,21.24,1981800
2023-07-11,21.43,21.58,21.33,21.48,1259800
2023-07-12,21.66,21.935,21.525,21.56,3226900
2023-07-13,21.49,21.92,21.49,21.72,3797700
2023-07-14,21.49,21.49,20.415,20.47,2579500
2023-07-17,20.39,20.845,20.3,20.64,1876600
2023-07-18,20.5,21.295,20.5,20.98,3444500
2023-07-19,21.07,21.13,20.63,20.77,2345300
2023-07-20,20.84,21.1,20.635,21.07,2361300
2023-07-21,21.16,21.25,20.98,21.1,2549000
2023-07-24,21.23,21.545,21.125,21.49,2546700
2023-07-25,21.45,21.77,21.285,21.7,1643300
2023-07-26,21.44,21.65,21.22,21.28,1959000
2023-07-27,21.48,21.525,20.94,21.03,2685800
2023-07-28,21.2,22.11,20.98,22.09,2530700
2023-07-31,22.26,22.355,22.02,22.15,1730500
2023-08-01,21.96,22.305,21.65,22.19,2807700
2023-08-02,23.14,23.25,21.71,22.06,4155300
2023-08-03,22.25,23.24,21.74,23.06,3254300
2023-08-04,23.04,23.24,22.8,22.98,2648400
2023-08-07,23.08,23.275,22.67,23.07,1699500
2023-08-08,22.54,23.165,22.3,22.98,1956600
2023-08-09,23.21,23.68,23.07,23.2,1907200
2023-08-10,23.04,23.16,22.54,22.73,2155000
2023-08-11,22.67,23.07,22.65,22.74,2317800
2023-08-14,22.69,22.87,22.425,22.86,1990100
2023-08-15,22.59,22.728,22.495,22.68,1721100
2023-08-16,22.64,22.94,22.423,22.44,2014300
2023-08-17,22.88,23.07,22.6,22.7,1498500
2023-08-18,22.45,23.02,22.45,22.89,1448200
2023-08-21,23.08,23.21,22.7,22.86,1179000
2023-08-22,22.94,23.045,22.435,22.45,1260700
