Date,Open,High,Low,Close,Volume
2023-01-13,52.28,54.19,52.28,53.99,188400
2023-01-17,53.75,54.48,53.51,54.24,164100
2023-01-18,54.78,55.9,53.96,54.21,220200
2023-01-19,53.75,53.75,52.32,53.14,189100
2023-01-20,53.39,55.03,52.66,54.99,221400
2023-01-23,55.0,55.81,54.88,55.72,190300
2023-01-24,55.98,56.65,54.95,56.57,178600
2023-01-25,55.88,57.75,55.57,57.43,279100
2023-01-26,57.8,58.69,57.18,58.32,281900
2023-01-27,58.11,59.31,57.95,58.91,408900
2023-01-30,58.15,59.09,56.7,56.77,489200
2023-01-31,57.36,59.8,57.36,59.8,482200
2023-02-01,59.5,61.51,57.7,60.91,752200
2023-02-02,61.97,64.68,61.7,63.21,743300
2023-02-03,60.56,62.9,59.97,61.91,400900
2023-02-06,61.14,61.91,60.93,61.0,301900
2023-02-07,60.26,62.18,59.85,61.75,346700
2023-02-08,61.55,61.55,59.6,59.89,193700
2023-02-09,60.53,60.82,59.16,59.3,325700
2023-02-10,58.84,59.99,58.63,59.19,231800
2023-02-13,59.06,60.39,58.6,60.34,270500
2023-02-14,59.69,60.43,58.51,59.22,214200
2023-02-15,58.05,59.1,57.23,58.73,252600
2023-02-16,57.6,59.0,57.4,58.23,304400
2023-02-17,58.15,58.15,56.31,57.05,212400
2023-02-21,55.58,56.61,54.55,54.97,260200
2023-02-22,55.56,56.76,55.38,55.71,444300
2023-02-23,56.36,56.68,55.0,56.28,297000
2023-02-24,55.05,56.45,54.81,56.26,195500
2023-02-27,57.11,57.44,56.34,57.32,407900
2023-02-28,57.06,58.37,57.06,57.84,430700
2023-03-01,57.69,59.27,57.6,58.83,393200
2023-03-02,58.11,59.51,57.72,59.44,238200
2023-03-03,60.34,60.54,59.65,60.12,208600
2023-03-06,60.0,60.0,59.09,59.35,282200
2023-03-07,59.7,60.11,58.83,59.43,482100
2023-03-08,59.78,60.54,59.16,60.5,242800
2023-03-09,60.48,61.25,60.06,60.35,317300
2023-03-10,60.46,60.67,57.23,58.08,286500
2023-03-13,57.02,59.2,56.39,56.48,451800
2023-03-14,58.17,58.52,57.37,58.13,520400
2023-03-15,57.51,58.42,56.27,57.28,275100
2023-03-16,56.9,59.44,56.53,58.89,171200
2023-03-17,58.82,59.36,58.4,58.78,796600
2023-03-20,58.9,60.21,58.9,59.42,242700
2023-03-21,60.25,61.09,59.66,60.04,179800
2023-03-22,60.0,61.44,59.08,59.93,262700
2023-03-23,60.95,62.01,59.83,60.37,334900
2023-03-24,59.95,61.0,59.17,60.61,467000
2023-03-27,60.96,61.45,60.49,61.08,247600
2023-03-28,61.12,61.9,60.65,61.24,152100
2023-03-29,61.94,61.94,60.42,60.99,167900
2023-03-30,61.21,61.86,60.85,61.49,482300
2023-03-31,61.62,63.19,61.62,63.09,324800
2023-04-03,62.83,63.41,62.35,63.23,266900
2023-04-04,63.4,63.47,61.01,61.25,308600
2023-04-05,60.94,61.29,60.27,61.13,222400
2023-04-06,61.34,61.5,59.47,59.56,195500
2023-04-10,59.48,60.8,58.93,59.79,243000
2023-04-11,60.38,61.84,60.38,61.55,269300
2023-04-12,62.43,62.59,61.12,61.65,304600
2023-04-13,61.91,62.12,60.68,61.37,254900
2023-04-14,61.27,61.94,60.65,61.51,341500
2023-04-17,61.37,63.09,61.35,63.08,423700
2023-04-18,63.51,64.45,63.51,64.43,283900
2023-04-19,64.26,64.89,63.75,64.76,261000
2023-04-20,65.58,67.64,65.3,65.64,500500
2023-04-21,65.67,65.91,64.8,65.19,322500
2023-04-24,65.05,65.69,64.34,65.64,258100
2023-04-25,65.0,66.18,64.62,65.44,423200
2023-04-26,66.98,68.03,63.39,64.01,468900
2023-04-27,64.69,67.8,64.28,67.19,552100
2023-04-28,67.0,67.67,66.38,67.64,638700
2023-05-01,67.5,68.27,66.52,67.09,357100
2023-05-02,67.05,67.09,65.42,66.9,314000
2023-05-03,67.06,68.53,66.82,67.06,327900
2023-05-04,66.36,66.89,65.58,66.08,307400
2023-05-05,66.67,67.43,66.38,67.37,255800
2023-05-08,67.5,67.81,66.74,67.34,322900
2023-05-09,67.39,69.71,67.16,69.01,377600
2023-05-10,69.66,69.66,68.22,69.09,229300
2023-05-11,69.09,70.52,68.84,70.29,225700
2023-05-12,70.36,70.84,68.46,69.12,220100
2023-05-15,69.44,70.03,68.83,69.02,185100
2023-05-16,68.16,69.59,67.51,69.48,167100
2023-05-17,69.77,71.22,68.98,71.21,294100
2023-05-18,71.19,73.72,71.16,73.49,271000
2023-05-19,73.75,73.75,71.12,71.88,280200
2023-05-22,71.92,72.6,70.04,70.12,226500
2023-05-23,69.32,70.08,68.8,69.16,298100
2023-05-24,69.27,70.02,69.01,69.55,264500
2023-05-25,70.03,71.48,69.95,71.26,339300
2023-05-26,71.13,71.48,69.28,71.36,211400
2023-05-30,71.37,72.0,71.01,71.38,190200
2023-05-31,71.13,71.48,69.41,70.67,310100
2023-06-01,70.6,71.39,70.29,70.87,288800
2023-06-02,71.62,73.58,71.62,73.02,407900
2023-06-05,72.29,73.33,71.5,72.61,244200
2023-06-06,72.69,75.45,72.02,75.28,341100
2023-06-07,75.55,77.22,75.55,75.8,296300
2023-06-08,75.52,76.66,74.99,75.33,218000
2023-06-09,75.33,76.41,74.87,75.33,171100
2023-06-12,75.37,78.03,74.97,77.4,238400
2023-06-13,77.59,78.95,77.09,77.83,346200
2023-06-14,77.49,78.42,76.05,76.32,390500
2023-06-15,76.96,79.03,76.94,79.03,354000
2023-06-16,79.43,79.87,78.06,78.33,772300
2023-06-20,78.58,79.9,78.4,78.95,273100
2023-06-21,78.65,81.06,78.1,80.84,344500
2023-06-22,80.2,82.18,79.8,82.12,463800
2023-06-23,81.92,82.81,81.28,81.55,533100
2023-06-26,81.77,83.33,81.24,81.67,353700
2023-06-27,81.5,84.67,81.5,84.02,316100
2023-06-28,83.82,86.51,83.82,86.44,367500
2023-06-29,86.44,87.41,85.64,87.21,312300
2023-06-30,88.28,88.28,86.64,87.19,289400
2023-07-03,87.07,87.67,85.35,86.19,143000
2023-07-05,86.3,86.36,82.63,82.77,434500
2023-07-06,81.55,82.65,80.09,80.87,449600
2023-07-07,80.95,82.03,80.55,80.72,182000
2023-07-10,80.72,82.98,80.5,82.98,282300
2023-07-11,82.98,83.86,82.74,83.52,325600
2023-07-12,86.5,90.77,85.94,90.05,620000
2023-07-13,90.42,90.78,89.18,90.43,319000
2023-07-14,91.14,92.07,90.01,91.99,186400
2023-07-17,91.76,92.59,91.0,91.85,205200
2023-07-18,91.93,92.99,91.52,91.72,309100
2023-07-19,91.49,94.06,91.2,93.89,396800
2023-07-20,94.53,94.6,89.37,90.75,467000
2023-07-21,91.2,92.46,90.84,91.22,268100
2023-07-24,91.24,93.15,90.84,93.06,395200
2023-07-25,92.88,95.12,92.48,93.77,365600
2023-07-26,97.0,98.0,94.44,96.06,545800
2023-07-27,97.09,100.29,96.24,97.21,443700
2023-07-28,97.72,100.58,97.72,99.53,606500
2023-07-31,99.99,100.93,98.07,100.0,472500
2023-08-01,99.19,100.49,98.65,99.5,301400
2023-08-02,98.58,99.03,96.26,98.31,237400
2023-08-03,98.04,98.04,92.85,94.86,369200
2023-08-04,95.08,97.85,94.12,97.49,333800
2023-08-07,97.17,99.95,97.17,99.64,319100
2023-08-08,98.85,99.8,97.56,99.6,238800
2023-08-09,99.8,100.56,98.67,99.37,274200
2023-08-10,100.0,101.62,95.27,96.93,314800
2023-08-11,96.77,98.8,96.6,97.55,275500
2023-08-14,97.21,98.03,96.15,97.73,249100
2023-08-15,98.28,99.97,96.53,99.48,242500
2023-08-16,99.11,100.47,98.39,98.41,512800
2023-08-17,99.08,99.32,93.74,93.98,571400
2023-08-18,92.87,94.63,91.65,94.22,297200
2023-08-21,94.62,95.25,91.87,93.4,364600
2023-08-22,93.6,94.98,92.51,92.71,322500
2023-08-23,93.06,95.15,92.86,93.76,258400
2023-08-24,93.87,94.52,92.41,92.47,269300
2023-08-25,92.91,93.16,88.01,90.31,317700
2023-08-28,91.03,92.65,91.0,92.63,227800
2023-08-29,92.2,95.59,92.1,95.22,261300
2023-08-30,95.07,98.35,95.07,96.95,197400
2023-08-31,96.83,98.19,96.83,98.18,297000
2023-09-01,98.18,100.99,97.82,100.79,157700
2023-09-05,99.78,99.78,91.87,92.32,376500
2023-09-06,93.03,94.8,91.88,93.62,226300
2023-09-07,93.48,95.9,92.73,95.29,255500
2023-09-08,94.81,95.52,93.34,93.79,184500
2023-09-11,94.42,96.85,93.81,94.17,226500
2023-09-12,93.92,95.24,91.57,91.96,174000
2023-09-13,91.96,93.27,89.5,90.93,206300
2023-09-14,90.93,93.9,90.93,93.49,227200
2023-09-15,91.94,92.04,87.47,89.06,891500
2023-09-18,89.39,91.28,88.86,89.54,270100
2023-09-19,89.06,89.9,87.83,89.28,180900
2023-09-20,89.96,91.67,87.77,87.85,184100
2023-09-21,86.45,87.37,84.13,86.5,280700
2023-09-22,87.03,87.72,86.07,87.09,176600
2023-09-25,87.29,88.25,86.43,86.63,127400
