Date,Open,High,Low,Close,Volume
2023-01-13,22.97,22.97,22.39,22.73,425500
2023-01-17,22.85,23.79,22.44,23.57,651600
2023-01-18,23.69,23.81,22.56,22.59,435700
2023-01-19,22.32,22.56,21.74,21.94,454400
2023-01-20,22.07,22.54,21.64,22.53,398700
2023-01-23,22.8,23.11,22.64,22.83,402700
2023-01-24,22.7,23.08,22.42,22.75,292400
2023-01-25,22.65,22.77,22.29,22.7,298000
2023-01-26,22.96,22.99,22.33,22.77,299900
2023-01-27,22.67,23.33,22.66,23.16,262000
2023-01-30,22.82,23.42,22.68,22.84,363500
2023-01-31,22.87,23.88,22.87,23.88,364200
2023-02-01,23.6,24.02,23.25,23.97,804700
2023-02-02,24.17,24.7,23.96,24.15,635700
2023-02-03,23.86,24.48,23.58,24.12,649500
2023-02-06,23.84,24.04,22.95,23.2,333500
2023-02-07,22.96,23.75,22.94,23.65,316500
2023-02-08,23.4,23.53,23.0,23.09,260300
2023-02-09,23.33,23.55,22.59,22.62,251000
2023-02-10,22.43,23.11,22.3,22.92,345100
2023-02-13,22.9,23.49,22.7,23.44,243000
2023-02-14,23.22,23.6,22.84,23.44,331900
2023-02-15,23.4,23.88,23.15,23.73,293500
2023-02-16,23.44,23.91,23.21,23.73,305300
2023-02-17,23.88,24.11,23.4,24.09,275800
2023-02-21,23.64,23.75,23.34,23.38,426100
2023-02-22,23.45,23.79,23.43,23.62,439100
2023-02-23,23.74,24.05,23.48,23.92,277700
2023-02-24,23.51,23.84,23.37,23.62,370600
2023-02-27,23.94,24.22,23.63,23.75,253600
2023-02-28,23.84,24.24,23.84,23.87,415700
2023-03-01,23.86,24.24,23.75,24.13,278200
2023-03-02,23.75,24.25,23.4,24.18,441900
2023-03-03,24.36,25.27,24.03,25.16,503800
2023-03-06,25.15,25.15,22.53,22.79,799500
2023-03-07,22.87,23.78,22.85,23.27,577400
2023-03-08,23.41,23.44,22.64,23.26,448400
2023-03-09,23.36,23.57,22.86,22.91,358400
2023-03-10,22.76,22.76,22.05,22.44,502000
2023-03-13,22.06,22.17,21.11,21.18,508400
2023-03-14,22.03,22.35,21.02,21.27,779700
2023-03-15,20.69,21.23,20.55,21.08,627800
2023-03-16,20.72,21.5,20.47,21.15,780200
2023-03-17,20.96,21.19,20.57,20.81,2299500
2023-03-20,21.05,21.49,20.18,20.39,719800
2023-03-21,20.74,21.37,20.72,20.82,610700
2023-03-22,20.77,21.27,20.59,20.64,588300
2023-03-23,19.38,20.51,18.5,19.73,1039600
2023-03-24,19.52,19.96,19.41,19.94,778500
2023-03-27,20.18,20.57,19.89,20.4,609800
