Date,Open,High,Low,Close,Volume
2023-01-13,36.97,37.92,36.9,37.64,105200
2023-01-17,37.39,38.32,37.39,37.53,133300
2023-01-18,37.53,38.25,37.11,37.73,108200
2023-01-19,37.59,38.38,37.29,37.82,86100
2023-01-20,38.0,38.16,37.27,38.12,109200
2023-01-23,37.93,38.62,37.85,38.35,86400
2023-01-24,38.0,38.62,37.62,37.75,91300
2023-01-25,37.4,38.1,37.31,38.05,89800
2023-01-26,38.33,39.09,38.24,38.25,209900
2023-01-27,37.58,37.65,35.1,36.7,277400
2023-01-30,36.19,36.61,35.78,35.87,198300
2023-01-31,35.88,36.3,35.75,36.24,168300
2023-02-01,36.03,36.6,35.45,36.32,191000
2023-02-02,36.45,37.64,36.41,37.16,262200
2023-02-03,36.74,37.31,36.46,37.04,182100
2023-02-06,36.8,37.06,36.1,36.84,256300
2023-02-07,36.49,36.94,36.22,36.92,109800
2023-02-08,36.75,36.96,35.68,35.68,122100
2023-02-09,36.03,36.28,35.78,35.78,98500
2023-02-10,35.76,35.96,35.51,35.87,83900
2023-02-13,35.83,36.75,35.72,36.62,68700
2023-02-14,36.45,36.79,35.92,36.75,103100
2023-02-15,36.31,36.6,36.17,36.44,101400
2023-02-16,35.75,36.17,35.3,35.32,120100
2023-02-17,35.64,36.24,34.7,35.88,132100
2023-02-21,35.31,35.56,34.39,34.56,193900
2023-02-22,34.43,34.71,34.3,34.67,194600
2023-02-23,34.87,35.1,34.51,34.69,142400
2023-02-24,34.02,34.49,33.55,33.93,127100
2023-02-27,34.3,34.64,34.11,34.44,148200
2023-02-28,34.36,34.85,34.36,34.37,190900
2023-03-01,34.3,34.55,34.05,34.48,126200
2023-03-02,34.17,34.69,33.98,34.67,157500
2023-03-03,34.9,35.6,34.57,35.5,196600
2023-03-06,35.45,35.55,33.89,33.89,195600
2023-03-07,33.85,34.11,33.38,33.39,163900
2023-03-08,33.4,33.87,33.23,33.86,129200
2023-03-09,33.84,34.05,33.27,33.42,157100
2023-03-10,33.08,33.16,32.02,32.15,147100
2023-03-13,31.38,31.68,30.93,31.15,175100
2023-03-14,31.67,31.91,30.69,30.99,197400
2023-03-15,30.12,31.29,30.0,30.94,199000
2023-03-16,30.55,31.35,30.24,31.21,173800
2023-03-17,31.05,31.24,30.52,30.79,448900
2023-03-20,31.05,31.6,30.77,30.83,195100
2023-03-21,31.42,31.61,31.1,31.39,223600
2023-03-22,31.35,31.39,30.04,30.05,187400
2023-03-23,30.17,30.55,29.6,29.69,264500
2023-03-24,29.5,30.28,29.26,30.16,307200
2023-03-27,30.57,30.87,30.44,30.59,183700
2023-03-28,30.4,30.87,30.14,30.42,186000
2023-03-29,30.67,31.35,30.66,31.24,212300
2023-03-30,31.58,31.65,31.28,31.36,128700
2023-03-31,31.54,32.13,31.54,32.11,220700
2023-04-03,32.1,32.32,31.62,31.87,173700
2023-04-04,31.84,31.97,31.28,31.48,142300
2023-04-05,31.3,31.64,31.19,31.58,180900
2023-04-06,31.67,31.95,31.53,31.83,138700
2023-04-10,31.67,31.93,31.32,31.68,207200
2023-04-11,31.88,32.03,31.65,31.74,169500
2023-04-12,32.15,32.15,31.44,31.58,137500
2023-04-13,31.81,32.12,31.61,32.0,117500
2023-04-14,32.06,32.45,31.5,31.92,131700
2023-04-17,31.92,32.64,31.92,32.63,137800
2023-04-18,32.86,32.86,31.5,31.82,126600
2023-04-19,31.52,31.9,31.52,31.67,135500
2023-04-20,31.42,31.93,31.28,31.73,140700
2023-04-21,31.98,31.98,31.54,31.66,98200
2023-04-24,31.54,31.61,31.31,31.43,116600
2023-04-25,31.09,31.37,30.8,31.06,169700
2023-04-26,30.33,30.9,29.89,29.9,187700
2023-04-27,30.07,31.03,30.07,30.86,173700
2023-04-28,30.86,31.57,30.86,31.47,167200
2023-05-01,31.36,31.9,31.32,31.34,128900
2023-05-02,31.11,31.11,29.76,30.27,149300
2023-05-03,30.36,30.82,30.19,30.19,118500
2023-05-04,31.0,31.11,30.06,30.74,178700
2023-05-05,31.21,31.65,30.23,31.26,181400
2023-05-08,31.15,31.15,29.08,29.23,257300
2023-05-09,29.02,29.02,27.49,27.72,252000
2023-05-10,28.15,28.39,27.83,28.08,206500
2023-05-11,27.8,28.16,27.69,27.95,231000
2023-05-12,28.01,28.45,27.57,27.6,239100
2023-05-15,27.66,28.49,27.66,28.43,209500
2023-05-16,28.15,28.51,28.01,28.28,268100
2023-05-17,28.41,28.95,28.23,28.77,137100
2023-05-18,28.61,29.69,28.61,29.52,203500
2023-05-19,29.88,30.1,29.5,30.0,232400
2023-05-22,30.18,30.81,29.85,30.56,352000
2023-05-23,30.42,30.95,30.18,30.22,219500
2023-05-24,29.92,30.08,29.25,29.51,173100
2023-05-25,29.19,29.55,28.62,28.94,237500
2023-05-26,28.92,29.31,28.83,29.06,135100
2023-05-30,29.26,29.52,29.14,29.31,197300
2023-05-31,29.12,29.62,29.03,29.35,245800
2023-06-01,29.25,29.84,28.94,29.73,172800
2023-06-02,30.24,30.85,30.22,30.73,169900
2023-06-05,30.43,30.66,29.85,30.32,224400
2023-06-06,30.21,31.93,30.21,31.85,177000
2023-06-07,32.11,32.81,32.11,32.62,207000
2023-06-08,32.57,32.57,31.96,32.47,138200
2023-06-09,32.34,32.76,32.3,32.56,141700
2023-06-12,32.53,32.85,32.14,32.74,144200
2023-06-13,32.8,33.39,32.78,33.03,169600
2023-06-14,33.2,33.36,32.63,32.82,226700
2023-06-15,32.61,32.69,32.23,32.65,236300
2023-06-16,32.97,32.97,32.36,32.56,632500
2023-06-20,32.45,32.55,31.99,32.03,273200
2023-06-21,31.81,31.83,31.32,31.77,153500
2023-06-22,31.77,31.77,31.23,31.53,209200
2023-06-23,31.0,31.42,30.87,30.97,919300
2023-06-26,30.85,31.85,30.85,31.47,115600
2023-06-27,31.53,32.39,31.32,32.13,150800
2023-06-28,31.97,32.12,31.72,31.9,184400
2023-06-29,31.88,32.74,31.67,32.61,113000
2023-06-30,32.56,32.56,31.11,31.51,338900
2023-07-03,31.47,32.28,31.47,32.26,101600
2023-07-05,31.99,32.04,31.44,31.88,201800
2023-07-06,31.49,32.03,31.04,32.0,192700
2023-07-07,31.94,32.65,31.94,32.43,218500
2023-07-10,32.31,33.47,32.31,33.28,189600
2023-07-11,33.49,33.85,33.45,33.66,139700
2023-07-12,34.38,34.53,34.12,34.43,178600
2023-07-13,34.57,34.93,34.44,34.81,104700
2023-07-14,34.57,34.57,34.07,34.41,209100
2023-07-17,34.3,34.89,34.0,34.63,112900
2023-07-18,34.57,35.51,34.57,35.45,107000
2023-07-19,35.75,36.0,35.54,35.89,133000
2023-07-20,35.94,35.94,35.06,35.49,133600
2023-07-21,35.69,35.69,35.18,35.22,146700
2023-07-24,34.99,35.67,34.99,35.38,80300
2023-07-25,35.21,36.14,35.21,35.85,205200
2023-07-26,35.86,36.38,35.86,36.28,84500
2023-07-27,36.48,36.48,35.48,36.01,306800
2023-07-28,36.23,36.44,35.48,35.83,164000
