Date,Open,High,Low,Close,Volume
2023-01-13,68.37,70.47,68.37,70.35,127100
2023-01-17,70.27,70.99,69.94,69.97,176000
2023-01-18,69.97,70.87,69.33,69.84,197900
2023-01-19,69.94,70.12,69.04,69.48,212200
2023-01-20,70.05,70.24,69.35,70.23,203200
2023-01-23,70.16,70.68,69.47,70.67,234100
2023-01-24,70.5,70.97,69.65,69.74,262200
2023-01-25,69.46,69.64,68.62,69.47,224000
2023-01-26,70.0,70.3,69.05,69.52,380200
2023-01-27,69.5,70.32,69.06,69.94,320500
2023-01-30,69.73,70.47,69.09,70.33,319900
2023-01-31,70.98,72.0,70.92,71.35,365800
2023-02-01,71.14,72.66,70.79,71.92,321300
2023-02-02,72.06,73.47,71.77,73.42,343400
2023-02-03,72.98,74.51,72.95,73.33,334400
2023-02-06,73.34,73.48,71.11,71.32,195600
2023-02-07,70.81,72.64,69.93,71.61,253100
2023-02-08,71.0,71.92,71.0,71.47,153600
2023-02-09,71.86,71.86,70.12,70.37,165700
2023-02-10,70.25,70.85,70.03,70.11,142900
2023-02-13,70.17,71.14,69.63,70.86,121600
2023-02-14,71.36,71.36,69.61,69.91,169600
2023-02-15,69.57,70.21,69.28,70.12,329200
2023-02-16,69.25,70.56,68.05,69.74,242300
2023-02-17,70.03,70.51,69.44,69.97,187400
2023-02-21,69.25,69.64,68.3,69.51,294000
2023-02-22,69.5,70.15,68.59,68.85,385900
2023-02-23,70.37,71.61,68.52,71.43,342600
2023-02-24,70.71,71.79,69.74,70.66,257400
2023-02-27,71.04,71.58,70.38,70.38,226900
2023-02-28,70.05,71.34,70.05,70.58,419600
2023-03-01,70.33,70.5,69.05,69.13,230300
2023-03-02,68.79,70.14,68.19,69.87,254200
2023-03-03,70.57,70.57,69.28,70.07,269500
2023-03-06,69.79,70.07,66.2,66.95,374300
2023-03-07,67.08,67.26,65.73,66.13,403800
2023-03-08,66.36,67.18,65.65,66.73,243400
2023-03-09,67.0,67.12,65.68,66.5,279400
2023-03-10,66.31,67.17,65.22,67.07,441900
2023-03-13,66.42,68.13,66.37,67.08,271100
2023-03-14,68.0,69.28,67.0,68.95,295200
2023-03-15,67.88,68.51,67.02,68.03,289700
2023-03-16,67.28,71.18,65.6,70.96,369000
2023-03-17,70.8,70.97,69.28,69.56,842100
2023-03-20,70.09,71.6,69.89,71.07,309500
2023-03-21,71.59,71.94,69.99,70.81,286100
2023-03-22,70.22,72.02,70.22,70.52,199600
2023-03-23,70.96,72.17,70.48,70.92,216400
2023-03-24,70.61,72.23,70.06,72.08,183900
2023-03-27,72.58,73.1,71.8,72.63,130700
2023-03-28,72.22,72.71,71.71,72.23,172900
2023-03-29,72.59,72.89,71.94,72.42,170000
2023-03-30,72.69,73.06,72.02,72.97,160400
2023-03-31,73.31,74.21,73.03,73.95,325300
2023-04-03,73.77,74.3,73.08,74.03,332600
2023-04-04,73.68,74.76,73.34,74.76,178700
2023-04-05,74.61,75.34,74.45,75.1,195200
2023-04-06,75.07,75.49,74.28,74.92,144200
2023-04-10,74.22,75.82,74.2,75.58,397500
2023-04-11,75.73,77.15,75.73,76.66,284300
2023-04-12,76.92,76.96,75.88,75.99,159400
2023-04-13,76.37,77.49,72.51,77.24,193900
2023-04-14,77.1,77.49,76.49,77.47,151000
2023-04-17,77.68,77.7,75.62,76.08,299500
