Date,Open,High,Low,Close,Volume
2023-01-13,73.0,73.62,72.99,73.36,205400
2023-01-17,73.26,73.71,72.9,73.07,171800
2023-01-18,73.25,73.71,72.87,73.37,469100
2023-01-19,73.32,73.53,72.01,72.03,280200
2023-01-20,72.4,72.94,71.22,72.38,323900
2023-01-23,72.19,73.07,71.65,72.62,346400
2023-01-24,72.5,72.76,71.66,71.79,223400
2023-01-25,71.15,71.98,71.01,71.54,293300
2023-01-26,72.01,72.45,71.31,71.94,321200
2023-01-27,71.71,72.07,71.09,71.31,224500
2023-01-30,70.86,72.25,70.86,71.88,250600
2023-01-31,72.02,74.89,71.65,74.85,633600
2023-02-01,74.91,76.09,74.32,75.75,629700
2023-02-02,76.0,76.4,74.28,75.35,394800
2023-02-03,74.71,75.26,74.01,74.86,248500
2023-02-06,74.73,75.32,74.42,75.12,311300
2023-02-07,74.54,75.97,73.96,75.72,295500
2023-02-08,74.95,76.24,74.85,75.58,882500
2023-02-09,80.0,85.25,78.3,82.61,1043300
2023-02-10,82.31,84.08,81.76,83.95,475800
2023-02-13,84.11,84.96,83.51,84.2,281200
2023-02-14,83.68,84.18,82.76,83.08,249900
2023-02-15,82.53,83.98,82.03,83.87,238000
2023-02-16,83.22,84.81,83.18,84.33,364100
2023-02-17,84.48,84.59,83.2,84.0,611700
2023-02-21,83.75,83.98,82.91,83.27,429100
2023-02-22,83.35,83.8,82.56,83.04,319400
2023-02-23,83.26,83.37,82.09,82.51,490800
2023-02-24,81.95,82.9,81.37,82.83,337200
2023-02-27,83.22,83.22,81.97,82.23,184700
2023-02-28,81.94,82.34,81.37,82.08,437100
2023-03-01,81.95,82.47,81.3,81.99,469500
2023-03-02,81.57,82.31,81.35,82.31,234000
2023-03-03,82.49,82.61,81.59,82.58,213800
2023-03-06,82.56,83.19,81.98,82.27,189400
2023-03-07,82.25,83.02,80.06,80.54,271200
2023-03-08,80.57,80.82,79.05,79.39,269100
2023-03-09,79.7,80.04,77.84,78.02,518100
2023-03-10,77.85,78.06,76.35,76.7,363700
2023-03-13,75.7,77.02,74.76,75.18,475500
2023-03-14,76.87,76.93,75.25,76.0,451800
