Date,Open,High,Low,Close,Volume
2023-01-13,12.81,13.03,12.76,12.83,6636700
2023-01-17,13.05,13.71,13.01,13.59,15791600
2023-01-18,13.62,13.77,13.43,13.49,10501000
2023-01-19,13.35,13.45,13.17,13.34,7436100
2023-01-20,13.39,13.74,13.2,13.72,9872600
2023-01-23,13.64,13.9,13.61,13.78,9458500
2023-01-24,13.64,14.0,13.19,13.22,14935700
2023-01-25,13.04,13.05,12.33,12.39,25451600
2023-01-26,12.39,12.76,12.0,12.58,27897100
2023-01-27,12.54,13.1,12.35,13.06,15199700
2023-01-30,12.93,13.1,12.69,12.76,10185700
2023-01-31,12.8,12.95,12.67,12.95,8329500
2023-02-01,12.99,13.06,12.51,12.93,14308600
2023-02-02,13.13,13.7,12.88,12.9,21256200
2023-02-03,12.76,12.89,12.57,12.79,12024900
2023-02-06,12.64,12.72,12.29,12.49,12766400
2023-02-07,12.41,12.64,12.17,12.34,11058100
2023-02-08,12.35,12.58,12.29,12.33,10757100
2023-02-09,12.41,12.46,11.82,11.85,15136100
2023-02-10,11.85,12.13,11.82,12.09,11599400
2023-02-13,12.09,12.3,11.99,12.3,7966000
2023-02-14,12.25,12.25,11.98,12.1,12282000
2023-02-15,12.01,13.14,11.93,13.12,39476000
2023-02-16,13.13,13.14,12.73,12.82,19524500
2023-02-17,12.84,13.03,12.71,12.96,13160500
2023-02-21,12.96,13.01,12.5,12.54,10887500
2023-02-22,12.45,12.58,12.14,12.2,12388700
2023-02-23,12.13,12.19,11.02,11.14,29409100
2023-02-24,10.99,11.0,10.55,10.55,24651900
2023-02-27,10.65,10.82,10.31,10.35,22192400
2023-02-28,10.39,10.48,10.27,10.3,15982100
2023-03-01,10.29,10.34,9.87,10.07,24253900
2023-03-02,10.07,10.74,9.99,10.49,21951600
2023-03-03,10.56,10.68,10.42,10.53,13814800
2023-03-06,10.63,10.7,10.44,10.51,11404800
2023-03-07,10.52,10.53,10.06,10.06,12813300
2023-03-08,10.06,10.23,10.01,10.08,11016600
2023-03-09,10.01,10.06,9.51,9.58,22996300
2023-03-10,9.5,9.58,8.66,8.79,34373300
2023-03-13,8.71,8.81,8.37,8.69,33101000
2023-03-14,8.95,9.07,8.45,8.52,27416500
2023-03-15,8.11,8.2,7.86,8.15,30570400
2023-03-16,7.91,8.04,7.6,8.01,36548900
2023-03-17,8.02,8.1,7.68,7.73,23134700
2023-03-20,7.8,8.07,7.77,7.89,16457700
2023-03-21,8.0,8.09,7.81,7.89,15539700
2023-03-22,7.86,7.88,7.38,7.4,19085200
2023-03-23,7.42,7.59,7.2,7.27,20806900
2023-03-24,7.19,7.54,7.1,7.53,16307900
2023-03-27,7.61,7.67,7.46,7.46,13629600
2023-03-28,7.4,7.5,7.31,7.41,9296200
2023-03-29,7.76,7.99,7.63,7.69,21613400
2023-03-30,7.82,8.47,7.73,8.04,26629600
2023-03-31,8.08,8.24,7.91,8.22,16682300
2023-04-03,8.34,8.52,8.15,8.16,17320000
2023-04-04,8.25,8.3,7.98,8.12,11419900
