Date,Open,High,Low,Close,Volume
2023-01-13,28.99,29.82,28.811,29.53,1120200
2023-01-17,29.54,30.02,29.41,29.71,1284400
2023-01-18,30.43,30.76,29.395,29.46,1904600
2023-01-19,29.0,29.6,28.43,28.68,1615300
2023-01-20,28.79,30.24,28.68,30.21,1370800
2023-01-23,30.3,30.93,30.15,30.78,1494500
2023-01-24,30.65,30.65,29.4,30.12,1453900
2023-01-25,29.41,30.54,29.21,30.47,1191700
2023-01-26,30.96,31.07,30.07,30.74,1113400
2023-01-27,30.65,32.31,30.58,31.97,2002000
2023-01-30,31.45,32.05,31.36,31.58,1191900
2023-01-31,31.61,32.65,31.565,32.51,1402800
2023-02-01,32.46,34.06,32.263,33.78,2329200
2023-02-02,34.46,35.33,34.13,34.63,2544700
2023-02-03,33.63,34.63,33.551,33.91,1386500
2023-02-06,33.41,33.81,32.65,33.1,1168300
2023-02-07,32.85,33.19,31.95,32.69,1927000
2023-02-08,32.41,33.2,31.98,32.08,1176100
2023-02-09,32.74,33.273,31.51,31.53,1874900
2023-02-10,31.09,31.41,30.295,30.77,1333200
2023-02-13,30.83,32.4,30.63,32.07,1289800
2023-02-14,31.7,33.325,31.511,33.23,1844300
2023-02-15,32.57,34.44,32.55,34.41,1855400
2023-02-16,33.84,34.463,33.6,33.67,1523700
2023-02-17,33.1,33.33,31.95,32.69,1406200
2023-02-21,32.93,33.34,31.43,31.51,1193400
2023-02-22,31.5,31.87,30.95,31.49,1279500
2023-02-23,32.12,32.12,31.08,31.58,2024400
2023-02-24,33.16,33.75,32.14,33.0,4826200
2023-02-27,33.0,36.12,33.0,36.09,4137500
2023-02-28,36.28,36.349,34.582,35.0,3225000
2023-03-01,35.39,36.67,34.73,35.82,2391800
2023-03-02,31.71,32.237,30.5,31.89,8931400
2023-03-03,32.31,34.009,31.88,33.96,3136400
2023-03-06,33.8,34.15,33.14,33.4,2015600
2023-03-07,33.08,33.16,31.72,31.76,1750000
2023-03-08,31.82,32.162,31.3,31.87,1526400
2023-03-09,31.85,32.08,29.915,30.1,2186200
2023-03-10,29.96,30.61,28.66,29.34,2078100
2023-03-13,29.01,30.23,28.14,29.38,1889000
