Date,Open,High,Low,Close,Volume
2023-01-13,19.96,20.12,19.77,20.12,150800
2023-01-17,20.24,20.45,19.86,19.94,161200
2023-01-18,20.07,20.49,19.93,19.95,237300
2023-01-19,19.78,19.89,19.42,19.6,232600
2023-01-20,19.83,19.94,19.55,19.94,196600
2023-01-23,19.94,20.28,19.79,20.12,206700
2023-01-24,20.09,20.66,19.92,20.56,259900
2023-01-25,21.0,22.42,20.26,22.16,489800
2023-01-26,22.2,22.3,21.65,22.0,495700
2023-01-27,22.0,22.7,21.89,22.49,280300
2023-01-30,22.37,22.66,21.74,21.77,319100
2023-01-31,21.75,22.21,21.61,22.09,387100
2023-02-01,22.11,23.11,22.11,22.77,299800
2023-02-02,22.76,23.27,22.25,22.94,257300
2023-02-03,22.75,23.0,22.61,22.95,477200
2023-02-06,22.84,23.02,22.72,22.94,317800
2023-02-07,22.94,23.27,22.85,23.18,237500
2023-02-08,23.05,23.1,22.42,22.62,408400
2023-02-09,22.8,22.91,22.16,22.2,306200
2023-02-10,22.08,22.34,21.51,22.07,175800
2023-02-13,22.11,22.28,21.99,22.25,135600
2023-02-14,22.24,22.43,21.96,22.38,500300
2023-02-15,22.27,22.37,22.1,22.23,245300
2023-02-16,21.97,22.3,21.72,22.11,242100
2023-02-17,22.25,22.6,22.06,22.5,145700
2023-02-21,22.26,22.33,22.01,22.06,196900
2023-02-22,22.11,22.35,22.01,22.04,282500
2023-02-23,22.14,22.28,21.94,22.24,166700
2023-02-24,22.19,22.4,21.88,22.2,201500
2023-02-27,22.39,22.65,22.25,22.3,179800
2023-02-28,22.3,22.36,22.01,22.07,364600
2023-03-01,22.0,22.4,21.88,22.03,165400
2023-03-02,21.9,22.53,21.65,22.42,173100
2023-03-03,22.42,22.55,22.17,22.51,148900
2023-03-06,22.53,22.59,21.95,22.11,271800
2023-03-07,22.12,22.16,21.83,22.09,306900
2023-03-08,22.07,22.22,21.91,22.19,184300
2023-03-09,22.24,22.53,22.18,22.2,204900
2023-03-10,22.12,22.13,21.71,21.79,299400
2023-03-13,21.51,21.51,20.5,20.7,415500
2023-03-14,21.14,21.15,20.18,20.63,392200
2023-03-15,20.45,20.69,20.16,20.5,267300
2023-03-16,20.19,20.9,20.19,20.87,220900
2023-03-17,20.8,20.95,20.1,20.23,854400
2023-03-20,20.33,20.5,19.98,20.1,230200
2023-03-21,20.43,20.91,20.42,20.59,555400
2023-03-22,20.44,20.73,20.2,20.22,277200
2023-03-23,20.24,20.48,19.84,19.86,258500
2023-03-24,19.74,19.99,19.48,19.97,202900
2023-03-27,20.05,20.23,19.93,20.17,181700
2023-03-28,20.08,20.55,20.06,20.54,192900
2023-03-29,20.62,20.62,20.38,20.46,199100
2023-03-30,20.56,20.7,20.39,20.43,139500
2023-03-31,20.57,21.0,20.57,20.95,342100
2023-04-03,20.87,21.05,20.45,20.65,215200
2023-04-04,20.71,20.71,20.07,20.18,178200
2023-04-05,20.06,20.2,19.76,20.01,200400
2023-04-06,20.08,20.27,19.8,20.0,191700
2023-04-10,19.96,20.5,19.74,20.47,319700
2023-04-11,20.54,20.86,20.37,20.73,148800
2023-04-12,20.82,20.82,20.49,20.6,171100
2023-04-13,20.71,20.76,20.39,20.43,150100
2023-04-14,20.43,20.76,20.39,20.44,200100
2023-04-17,20.58,20.58,20.12,20.31,181600
2023-04-18,20.31,20.53,20.17,20.25,253300
2023-04-19,19.97,20.91,19.72,20.77,735300
2023-04-20,20.6,21.21,20.6,20.92,323000
2023-04-21,20.91,21.07,20.54,20.78,317200
2023-04-24,20.78,20.97,20.49,20.76,157900
2023-04-25,20.52,20.66,20.3,20.53,548900
2023-04-26,20.3,20.35,19.57,19.64,454800
2023-04-27,19.64,20.1,19.64,19.93,276100
