Date,Open,High,Low,Close,Volume
2023-01-13,80.95,82.24,79.69,81.81,102700
2023-01-17,82.51,83.19,80.87,81.31,161500
2023-01-18,81.21,81.76,79.95,80.78,149900
2023-01-19,80.5,81.74,79.75,79.82,138300
2023-01-20,80.46,80.69,79.13,80.64,147900
2023-01-23,80.5,82.54,79.69,82.23,146200
2023-01-24,82.11,83.04,81.49,82.91,132600
2023-01-25,82.58,85.63,82.31,85.58,239700
2023-01-26,85.86,88.15,84.94,86.06,351600
2023-01-27,86.03,86.94,84.96,85.93,195300
2023-01-30,84.74,85.5,82.85,82.99,239200
2023-01-31,83.2,84.25,82.28,83.86,2992500
2023-02-01,83.94,87.23,83.33,86.38,149200
2023-02-02,87.35,90.05,86.55,88.93,129600
2023-02-03,88.47,90.29,87.35,89.55,143300
2023-02-06,89.32,90.56,89.01,90.09,139500
2023-02-07,89.59,90.11,87.94,88.86,92900
2023-02-08,88.3,89.44,86.09,86.09,86200
2023-02-09,86.53,87.15,83.38,84.49,84800
2023-02-10,84.81,85.47,83.71,84.99,89700
2023-02-13,84.99,86.13,84.63,85.62,86100
2023-02-14,85.62,86.07,84.06,85.35,105800
2023-02-15,85.28,86.48,84.87,85.66,122300
2023-02-16,85.02,85.39,84.04,84.48,56500
2023-02-17,85.01,86.97,84.06,86.17,76800
2023-02-21,85.8,86.32,84.88,85.36,163200
2023-02-22,85.8,86.6,84.75,85.11,156000
2023-02-23,85.21,85.62,83.79,84.29,68900
2023-02-24,83.72,83.93,82.32,83.21,80200
2023-02-27,83.53,85.99,78.98,79.15,107200
2023-02-28,78.98,78.98,76.47,76.5,151300
2023-03-01,76.21,76.68,75.28,76.65,132500
2023-03-02,76.15,77.15,76.15,76.76,88900
2023-03-03,77.2,77.2,75.58,75.93,66000
2023-03-06,76.26,76.88,73.8,74.68,82400
2023-03-07,75.02,75.67,74.27,74.85,166200
2023-03-08,74.96,75.69,74.39,75.69,73300
2023-03-09,75.97,76.55,74.28,74.53,91800
2023-03-10,74.66,75.07,72.64,72.99,93000
2023-03-13,72.94,76.0,72.94,73.4,145000
2023-03-14,74.71,75.89,74.49,75.28,170000
2023-03-15,74.8,75.95,74.23,75.73,122200
2023-03-16,75.43,77.44,75.3,76.82,93900
2023-03-17,76.78,77.14,74.87,76.21,488300
2023-03-20,76.29,77.25,76.03,76.39,73800
2023-03-21,76.8,77.1,73.93,74.98,126500
2023-03-22,74.77,75.76,73.83,73.95,107600
2023-03-23,74.13,75.44,73.4,74.49,123600
2023-03-24,74.37,77.63,74.37,77.51,210200
2023-03-27,77.68,77.74,75.9,76.17,152400
2023-03-28,75.89,77.72,75.25,77.25,112300
2023-03-29,77.54,78.24,76.97,77.63,95500
2023-03-30,77.8,78.29,77.11,77.71,57800
2023-03-31,78.03,78.39,77.18,78.12,107800
2023-04-03,77.98,78.56,77.17,78.4,95100
2023-04-04,78.05,78.91,78.0,78.85,65700
2023-04-05,78.73,80.07,78.73,79.54,64500
