Date,Open,High,Low,Close,Volume
2023-01-13,178.58,180.83,177.58,179.62,241500
2023-01-17,180.99,180.99,178.03,178.05,141700
2023-01-18,178.39,178.505,176.13,177.42,169500
2023-01-19,178.03,179.59,177.145,177.83,292200
2023-01-20,179.05,181.81,178.71,181.78,147900
2023-01-23,182.0,182.44,179.06,181.03,107300
2023-01-24,179.77,182.93,179.77,180.74,116100
2023-01-25,180.78,183.7,180.78,181.84,84600
2023-01-26,181.64,183.52,181.155,183.51,96000
2023-01-27,183.24,183.52,180.01,180.45,143900
2023-01-30,180.41,183.496,180.0,180.18,112600
2023-01-31,180.06,181.84,179.47,181.84,100900
2023-02-01,180.21,183.688,180.21,183.6,125900
2023-02-02,184.0,184.0,181.05,182.31,106300
2023-02-03,182.62,183.19,179.76,180.09,119500
2023-02-06,179.72,180.6,178.5,179.73,139100
2023-02-07,177.51,181.42,172.92,181.08,231700
2023-02-08,184.7,188.88,184.19,188.0,300600
2023-02-09,188.18,189.4,186.21,187.9,265000
2023-02-10,187.4,188.38,186.17,186.88,201800
2023-02-13,186.3,189.2,186.09,188.3,137600
2023-02-14,188.0,189.55,186.62,187.66,137200
2023-02-15,187.84,190.61,187.1,189.03,135100
2023-02-16,188.52,191.4,188.08,190.01,205300
2023-02-17,190.93,191.85,189.745,190.43,165500
2023-02-21,189.39,191.63,188.32,190.45,205700
2023-02-22,190.84,192.88,190.485,191.51,104500
2023-02-23,191.96,193.32,191.12,192.41,99100
2023-02-24,191.12,192.12,189.563,190.09,172600
2023-02-27,190.37,191.8,189.6,191.22,114000
2023-02-28,191.24,192.78,190.48,191.14,134500
2023-03-01,190.78,193.485,190.25,192.71,111700
2023-03-02,192.46,196.47,191.26,195.26,90000
2023-03-03,195.56,195.56,193.85,195.26,123600
2023-03-06,194.9,196.1,193.895,194.15,78900
2023-03-07,194.13,195.36,191.55,192.51,99800
2023-03-08,193.13,193.492,189.92,191.35,66100
2023-03-09,191.62,192.08,189.07,189.86,69300
2023-03-10,189.6,189.6,186.46,187.11,96300
2023-03-13,185.71,186.39,182.51,184.65,114400
2023-03-14,186.75,187.8,183.85,184.52,220800
2023-03-15,183.5,184.098,178.465,182.15,260400
2023-03-16,181.1,183.95,179.54,183.95,270300
2023-03-17,182.94,183.49,181.35,183.48,185500
2023-03-20,184.13,188.68,184.07,187.73,117700
