Date,Open,High,Low,Close,Volume
2023-01-13,93.9,96.63,93.9,96.54,126700
2023-01-17,94.96,96.19,93.57,93.86,72100
2023-01-18,95.23,95.23,90.26,90.36,123600
2023-01-19,90.0,90.2,88.71,88.76,167700
2023-01-20,89.0,90.5,87.48,90.36,118200
2023-01-23,90.39,90.57,89.0,90.02,77300
2023-01-24,89.35,90.86,88.48,90.0,112500
2023-01-25,89.63,91.42,89.22,91.15,223700
2023-01-26,92.13,92.76,90.36,91.45,114600
2023-01-27,90.78,91.65,89.24,89.46,87500
2023-01-30,88.83,89.84,87.88,88.06,73400
2023-01-31,87.86,90.9,87.51,90.25,303700
2023-02-01,90.1,91.72,89.31,91.0,267500
2023-02-02,91.46,91.66,89.38,90.5,162900
2023-02-03,89.25,91.68,89.25,90.99,222800
2023-02-06,90.53,91.2,87.06,88.08,133300
2023-02-07,87.46,89.89,87.46,88.93,172200
2023-02-08,88.48,88.7,87.22,87.57,82900
2023-02-09,88.22,88.5,85.2,85.2,97700
2023-02-10,85.0,86.3,84.23,85.85,141800
2023-02-13,85.76,87.26,84.42,86.96,145400
2023-02-14,86.49,88.58,86.23,87.62,155800
2023-02-15,86.25,88.69,85.57,88.63,163100
2023-02-16,91.73,110.37,91.44,110.01,459900
2023-02-17,111.27,114.59,109.43,111.94,248200
2023-02-21,109.87,109.87,105.93,107.58,242200
2023-02-22,107.87,109.54,106.96,109.46,177400
2023-02-23,109.48,110.0,106.14,108.33,151000
2023-02-24,107.02,108.4,106.58,108.36,103600
2023-02-27,109.19,112.33,109.19,109.61,92600
2023-02-28,109.76,113.45,109.58,111.68,142600
2023-03-01,112.63,115.5,112.63,113.28,102000
2023-03-02,112.37,114.92,110.95,114.02,83000
2023-03-03,114.02,118.2,113.45,117.59,111600
2023-03-06,116.69,116.69,111.45,112.98,96400
2023-03-07,113.57,115.15,112.22,113.07,87800
2023-03-08,113.42,115.24,111.63,113.25,84700
2023-03-09,113.12,115.3,110.42,111.04,75600
2023-03-10,111.39,111.39,106.11,107.02,136300
2023-03-13,105.62,108.14,105.0,105.99,104500
2023-03-14,109.22,110.26,107.09,108.88,105100
2023-03-15,105.71,105.71,101.65,103.84,170900
2023-03-16,102.21,107.51,102.21,106.59,112300
2023-03-17,106.83,106.83,103.39,105.26,470100
2023-03-20,106.14,107.91,105.22,106.83,144100
2023-03-21,108.34,109.68,108.17,109.45,127400
2023-03-22,109.62,111.62,108.2,108.45,141500
2023-03-23,108.69,111.35,107.56,109.44,91900
2023-03-24,108.64,111.08,107.77,110.99,88000
2023-03-27,111.5,112.02,109.63,110.45,71700
2023-03-28,110.71,112.32,109.86,111.1,95200
2023-03-29,111.88,113.29,111.15,112.43,91500
2023-03-30,113.14,114.63,113.06,113.48,90600
2023-03-31,114.13,116.25,114.13,116.0,129700
2023-04-03,116.05,117.58,114.07,115.36,79200
2023-04-04,115.57,116.23,111.34,112.47,97700
2023-04-05,111.34,111.68,110.63,111.61,96800
2023-04-06,111.92,113.0,110.67,112.5,83000
2023-04-10,110.97,113.75,110.97,112.95,84000
2023-04-11,114.05,114.97,112.42,113.35,91200
2023-04-12,114.16,114.77,112.33,113.03,75800
2023-04-13,113.53,114.5,112.28,114.28,117500
2023-04-14,114.08,114.87,111.82,113.9,66000
2023-04-17,114.29,115.54,112.88,114.35,55500
2023-04-18,114.9,119.75,112.24,114.8,154900
2023-04-19,113.92,114.77,112.85,114.71,64800
2023-04-20,113.43,115.0,111.84,113.11,83800
2023-04-21,112.91,112.91,109.5,110.25,109400
2023-04-24,110.38,112.01,110.36,111.69,51600
2023-04-25,110.21,110.21,107.38,107.82,52800
2023-04-26,107.17,108.95,107.0,107.61,52100
2023-04-27,107.87,109.01,106.98,108.72,58100
2023-04-28,108.44,110.82,107.72,108.31,113900
2023-05-01,108.67,109.99,107.35,107.98,82300
2023-05-02,107.17,107.74,105.77,106.81,105100
2023-05-03,112.32,121.29,109.66,118.11,178100
2023-05-04,117.0,117.05,105.62,106.37,143200
2023-05-05,108.48,108.78,106.1,106.52,92400
2023-05-08,107.51,107.86,103.14,104.23,82100
2023-05-09,104.19,104.63,103.18,103.64,61200
2023-05-10,105.28,106.42,101.92,102.92,78300
2023-05-11,101.37,103.17,100.96,102.44,63500
2023-05-12,102.22,103.93,100.82,101.63,68100
2023-05-15,102.66,104.21,102.08,102.94,54900
2023-05-16,102.61,102.75,101.01,101.92,71600
2023-05-17,102.91,104.89,101.63,104.48,146000
2023-05-18,104.89,106.26,103.63,105.54,70300
2023-05-19,106.79,107.37,105.18,105.35,67600
2023-05-22,105.42,105.76,103.59,105.0,51700
2023-05-23,105.22,105.22,104.1,104.32,62400
2023-05-24,103.82,103.82,101.56,102.18,60700
2023-05-25,102.07,102.87,100.09,100.59,59000
2023-05-26,101.08,104.77,100.68,104.44,64200
2023-05-30,103.97,104.34,101.49,101.65,88800
2023-05-31,101.29,102.11,99.33,100.34,103100
2023-06-01,100.61,103.47,99.88,102.91,46000
2023-06-02,106.32,109.4,105.28,109.04,82400
2023-06-05,107.96,107.96,101.91,104.96,63500
2023-06-06,104.93,109.86,104.93,109.37,88600
2023-06-07,109.99,112.26,109.67,110.57,93700
2023-06-08,110.24,111.42,109.35,110.56,57500
2023-06-09,110.07,110.07,107.57,108.64,59700
2023-06-12,108.31,108.81,107.48,107.93,74100
2023-06-13,108.99,112.32,108.0,111.98,109200
2023-06-14,113.16,113.16,108.69,109.91,81200
2023-06-15,109.86,112.64,108.91,112.45,88700
2023-06-16,113.68,113.81,109.14,109.48,319500
2023-06-20,108.93,110.11,107.82,109.44,68500
2023-06-21,108.66,110.45,107.77,109.7,61200
2023-06-22,109.1,109.1,107.57,108.93,54400
2023-06-23,106.97,107.73,106.27,107.19,157200
2023-06-26,107.02,109.24,107.02,107.93,54100
2023-06-27,108.35,111.39,108.0,110.17,81300
2023-06-28,109.6,111.56,108.74,111.24,121700
2023-06-29,112.27,114.69,112.25,114.6,46900
2023-06-30,115.42,115.42,113.19,114.2,90300
2023-07-03,114.16,115.24,113.93,115.04,26700
2023-07-05,115.46,115.77,113.21,115.1,73300
2023-07-06,114.31,116.58,113.15,116.49,81200
2023-07-07,116.33,119.05,116.33,117.76,62000
2023-07-10,117.12,119.96,115.23,119.19,111400
2023-07-11,119.18,119.97,117.6,118.93,78900
2023-07-12,120.4,122.51,120.04,121.23,155900
2023-07-13,121.67,123.41,120.14,121.37,81500
2023-07-14,120.84,121.52,119.66,120.96,72000
2023-07-17,120.06,122.62,119.23,121.3,96200
2023-07-18,120.76,121.54,116.36,119.8,110300
2023-07-19,119.3,119.3,115.99,116.27,81200
2023-07-20,116.46,117.0,115.5,115.95,84300
2023-07-21,116.16,116.16,114.31,114.39,124700
2023-07-24,114.68,115.21,113.4,113.41,67800
2023-07-25,114.62,116.0,114.62,115.64,71800
2023-07-26,114.87,116.18,113.9,116.02,67500
2023-07-27,117.18,117.18,115.28,116.01,63200
2023-07-28,116.4,117.39,115.3,116.06,38800
2023-07-31,116.56,120.69,116.25,119.14,88400
2023-08-01,118.12,120.2,115.61,116.94,163200
2023-08-02,110.64,113.84,107.5,107.91,133300
2023-08-03,107.94,107.94,103.88,103.9,88600
2023-08-04,103.74,105.29,103.29,103.43,80500
2023-08-07,103.78,107.07,103.46,106.83,86100
2023-08-08,105.39,106.09,103.54,105.62,81400
2023-08-09,105.25,107.07,104.16,105.96,67500
2023-08-10,106.4,108.54,105.71,108.33,88600
2023-08-11,107.7,108.69,105.58,106.52,64700
2023-08-14,106.63,107.37,104.67,106.1,65000
2023-08-15,105.16,105.7,103.95,104.66,79300
2023-08-16,104.74,106.65,103.52,103.68,50300
2023-08-17,104.23,105.9,103.5,103.55,52900
2023-08-18,102.84,106.03,102.84,104.71,113200
2023-08-21,104.69,104.92,103.75,104.14,48600
2023-08-22,104.75,107.2,104.75,107.0,60300
2023-08-23,106.91,109.66,106.38,108.2,88500
2023-08-24,107.41,108.13,106.15,106.43,70100
