Date,Open,High,Low,Close,Volume
2023-01-13,264.0,272.48,262.0,270.41,228700
2023-01-17,270.46,273.52,266.11,267.92,256900
2023-01-18,268.1,269.85,262.06,262.19,223300
2023-01-19,262.31,263.56,259.04,260.05,296500
2023-01-20,261.58,261.58,252.92,253.98,297600
2023-01-23,259.05,263.57,256.04,258.33,454600
2023-01-24,259.5,263.95,256.98,262.1,194200
2023-01-25,262.06,268.42,261.9,265.59,166200
2023-01-26,265.78,269.0,264.33,267.96,136400
2023-01-27,268.27,270.26,263.45,263.56,170300
2023-01-30,265.16,271.29,265.16,268.39,304100
2023-01-31,270.21,272.04,267.0,272.03,291100
2023-02-01,270.06,272.27,266.06,270.5,462000
2023-02-02,258.0,263.0,244.28,260.86,1247800
2023-02-03,262.44,262.44,251.94,253.77,469100
2023-02-06,254.97,261.87,254.94,259.75,400800
2023-02-07,257.38,257.38,249.4,255.18,327000
2023-02-08,255.82,265.26,253.77,263.48,301400
2023-02-09,264.65,265.41,257.9,262.31,345700
2023-02-10,264.63,280.45,264.63,274.41,511900
2023-02-13,274.2,274.2,267.27,270.07,377600
2023-02-14,269.9,272.99,266.35,266.37,214400
2023-02-15,265.64,269.77,264.73,268.2,160900
2023-02-16,268.41,277.43,268.41,272.65,323200
2023-02-17,273.5,276.6,271.41,274.02,210400
2023-02-21,273.39,273.39,268.57,270.65,231900
2023-02-22,270.47,272.7,265.76,266.51,262300
2023-02-23,266.45,270.5,265.94,266.16,203600
2023-02-24,265.01,265.45,261.04,264.68,228500
2023-02-27,265.39,268.21,264.04,266.24,270500
2023-02-28,265.89,267.9,255.04,255.09,337000
2023-03-01,254.38,256.34,250.97,255.2,350400
2023-03-02,254.72,256.86,252.8,256.37,236300
2023-03-03,256.92,259.8,255.0,259.25,244300
2023-03-06,258.67,260.96,255.33,260.91,264200
2023-03-07,261.89,263.88,259.69,260.74,333600
2023-03-08,263.7,266.32,252.31,253.38,483700
2023-03-09,254.11,261.0,250.92,259.91,339100
2023-03-10,259.62,263.65,253.19,253.26,286600
2023-03-13,250.07,256.53,244.07,244.33,362200
2023-03-14,246.06,246.68,238.83,240.06,395200
2023-03-15,236.64,241.83,231.65,240.43,469100
2023-03-16,238.49,249.88,237.59,248.27,394500
2023-03-17,247.44,249.72,239.87,244.5,780600
2023-03-20,245.78,252.99,245.12,251.27,206000
2023-03-21,253.5,254.03,247.23,247.49,219300
2023-03-22,247.84,249.62,245.11,246.0,172900
2023-03-23,246.45,249.13,244.46,246.74,330200
2023-03-24,247.41,248.49,243.01,245.98,178800
2023-03-27,247.54,252.39,246.11,250.58,233300
2023-03-28,250.71,254.61,250.71,253.7,181700
2023-03-29,254.43,256.57,250.82,250.95,235900
2023-03-30,251.58,254.06,250.29,253.35,144000
2023-03-31,254.79,259.66,254.79,258.05,286900
2023-04-03,259.65,261.38,258.04,259.45,206500
2023-04-04,258.47,258.47,249.41,252.07,211800
2023-04-05,252.21,252.86,248.75,252.0,198300
2023-04-06,252.69,254.56,251.37,253.91,166100
2023-04-10,254.39,257.43,253.92,256.1,219700
2023-04-11,257.99,264.96,256.94,264.5,253700
2023-04-12,264.49,268.25,263.15,268.01,290000
2023-04-13,267.22,272.89,265.63,271.2,369200
2023-04-14,271.79,275.13,271.56,272.91,286600
2023-04-17,273.07,274.6,270.82,272.2,189600
2023-04-18,272.0,272.85,265.49,269.19,214900
2023-04-19,268.22,273.35,265.93,272.29,321300
2023-04-20,273.08,274.41,271.52,272.69,146200
2023-04-21,274.0,274.4,267.62,273.45,300100
2023-04-24,271.61,279.12,271.61,278.98,182200
2023-04-25,278.68,279.98,273.06,273.12,187200
2023-04-26,270.15,275.96,268.64,273.5,194000
2023-04-27,272.45,277.36,267.93,275.38,220300
2023-04-28,274.24,277.25,272.73,275.23,274500
2023-05-01,275.13,276.96,272.4,276.08,175500
2023-05-02,275.58,277.28,269.84,276.14,257300
2023-05-03,290.64,298.33,279.77,280.53,645800
2023-05-04,281.77,284.46,273.37,281.59,384800
2023-05-05,283.24,292.83,282.42,291.88,354100
2023-05-08,291.5,291.58,283.47,284.93,260900
2023-05-09,284.95,287.31,281.76,284.26,160600
2023-05-10,284.46,287.1,281.88,284.87,158300
2023-05-11,283.41,284.07,276.73,277.56,201200
