Date,Open,High,Low,Close,Volume
2023-01-13,17.28,17.68,17.22,17.61,676000
2023-01-17,17.62,17.785,17.42,17.44,734200
2023-01-18,17.48,17.708,17.34,17.36,804400
2023-01-19,17.07,17.365,16.845,17.31,845400
2023-01-20,17.42,17.555,17.28,17.51,1166600
2023-01-23,17.54,17.835,17.51,17.69,1079500
2023-01-24,17.59,17.83,17.35,17.38,1225500
2023-01-25,17.99,18.79,17.718,18.47,1438300
2023-01-26,18.73,19.28,18.58,19.27,2255200
2023-01-27,19.25,19.29,18.3,18.58,1640700
2023-01-30,18.48,18.725,18.355,18.55,891600
2023-01-31,18.5,18.98,18.35,18.97,1100800
2023-02-01,18.94,19.33,18.725,19.12,971500
2023-02-02,19.1,19.34,18.42,18.68,1520800
2023-02-03,18.57,18.975,18.43,18.92,982700
2023-02-06,18.74,18.98,18.525,18.92,1143700
2023-02-07,18.82,19.24,18.77,19.15,909000
2023-02-08,18.96,19.14,18.795,18.86,918600
2023-02-09,18.83,19.02,18.735,18.8,1062500
2023-02-10,18.67,18.84,18.67,18.74,600500
2023-02-13,18.53,18.85,18.44,18.84,775100
2023-02-14,18.75,18.965,18.655,18.7,786900
2023-02-15,18.55,18.815,18.535,18.75,567500
2023-02-16,18.62,18.885,18.46,18.67,732500
2023-02-17,18.7,18.73,18.34,18.54,848500
2023-02-21,18.25,18.345,18.17,18.23,855200
2023-02-22,18.28,18.37,18.16,18.22,761900
2023-02-23,18.28,18.465,18.105,18.26,550700
2023-02-24,18.08,18.21,18.025,18.17,629500
2023-02-27,18.32,18.45,17.955,18.02,1392700
2023-02-28,18.07,18.24,18.04,18.05,1148800
2023-03-01,18.0,18.17,17.86,18.03,1196500
2023-03-02,17.73,17.97,17.508,17.89,1053800
2023-03-03,18.03,18.3,17.95,18.12,971700
2023-03-06,18.12,18.34,17.98,18.06,995700
2023-03-07,17.98,18.095,17.61,17.7,832900
2023-03-08,17.74,17.85,17.54,17.69,873100
2023-03-09,17.74,17.895,17.17,17.22,1001500
2023-03-10,17.05,17.05,16.47,16.57,1221300
2023-03-13,16.11,16.17,15.66,15.69,1348000
2023-03-14,16.31,16.66,16.11,16.14,1753400
2023-03-15,15.51,15.71,15.375,15.67,1602300
2023-03-16,15.43,15.95,15.18,15.75,1253500
2023-03-17,15.63,15.75,15.05,15.15,3319800
2023-03-20,15.42,15.86,15.3,15.57,1080500
2023-03-21,16.14,16.285,16.01,16.04,988200
2023-03-22,16.02,16.135,15.54,15.55,833800
2023-03-23,15.56,15.735,15.13,15.33,957100
2023-03-24,15.07,15.36,14.75,15.28,862100
2023-03-27,15.54,15.73,15.48,15.6,699500
2023-03-28,15.5,15.68,15.5,15.57,504600
2023-03-29,15.7,15.855,15.62,15.85,743300
2023-03-30,15.99,16.04,15.66,15.75,531000
2023-03-31,15.81,16.01,15.75,15.99,827200
2023-04-03,15.97,16.19,15.93,16.1,721900
2023-04-04,16.465,16.465,15.71,15.87,671300
2023-04-05,15.7,15.915,15.65,15.88,1176500
2023-04-06,15.94,16.03,15.875,15.91,575800
2023-04-10,15.84,16.115,15.82,15.98,680200
2023-04-11,16.05,16.14,15.94,16.01,592000
2023-04-12,16.16,16.27,15.97,16.02,899000
2023-04-13,16.02,16.23,15.97,16.135,769500
2023-04-14,16.39,16.615,16.032,16.19,938700
2023-04-17,16.1,16.265,16.02,16.25,705300
2023-04-18,16.25,16.39,16.14,16.27,760800
2023-04-19,16.14,16.66,16.11,16.58,1053500
2023-04-20,16.45,16.45,16.282,16.4,601500
2023-04-21,16.41,16.5,16.291,16.5,665600
2023-04-24,16.47,16.56,16.3,16.3,612500
2023-04-25,16.12,16.23,15.99,15.99,720500
2023-04-26,16.01,16.765,16.01,16.42,842600
2023-04-27,16.62,16.67,16.26,16.55,874600
2023-04-28,16.48,16.74,16.4,16.54,876400
2023-05-01,16.63,16.67,16.29,16.32,647400
2023-05-02,16.22,16.3,14.985,15.03,1940900
2023-05-03,15.13,15.505,14.98,15.16,1498900
2023-05-04,14.97,15.01,14.56,14.67,1306500
2023-05-05,15.02,15.16,14.86,15.03,961800
2023-05-08,15.11,15.25,14.82,14.84,955700
2023-05-09,14.7,14.99,14.59,14.85,906100
2023-05-10,15.05,15.12,14.465,14.59,850700
2023-05-11,14.52,14.855,14.42,14.8,1024500
2023-05-12,14.82,14.93,14.73,14.86,572200
2023-05-15,14.89,15.175,14.77,15.11,1552200
2023-05-16,15.02,15.21,14.91,15.02,1738800
2023-05-17,15.22,15.48,15.085,15.44,1084700
2023-05-18,15.37,15.57,15.28,15.55,962000
2023-05-19,15.68,15.72,15.26,15.35,1079500
2023-05-22,15.43,15.47,15.12,15.19,662000
2023-05-23,15.2,15.52,15.2,15.34,666800
2023-05-24,15.19,15.22,15.05,15.13,711500
2023-05-25,15.03,15.26,15.01,15.23,730900
2023-05-26,15.23,15.58,15.2,15.55,1061000
2023-05-30,15.51,15.6,15.16,15.33,820100
2023-05-31,15.23,15.33,14.98,15.15,2123600
2023-06-01,15.16,15.705,15.16,15.6,1058400
2023-06-02,15.86,16.31,15.77,16.24,774000
2023-06-05,16.24,16.669,16.15,16.48,1082900
2023-06-06,16.48,17.1,16.45,17.07,1261100
2023-06-07,17.18,17.685,17.14,17.64,1593900
2023-06-08,17.52,17.86,17.49,17.8,1665600
2023-06-09,17.79,18.28,17.79,18.23,1727000
2023-06-12,18.17,18.915,18.125,18.87,1692700
2023-06-13,18.91,19.4,18.875,19.12,2464300
2023-06-14,19.17,19.31,18.535,18.62,2421600
2023-06-15,18.52,18.79,18.2,18.78,1565600
2023-06-16,18.79,18.86,18.295,18.4,20077200
2023-06-20,18.37,18.4,18.02,18.26,1668900
2023-06-21,18.24,18.34,18.04,18.05,1820300
2023-06-22,17.96,18.11,17.64,18.11,1405700
2023-06-23,17.87,18.085,17.81,17.97,2734900
2023-06-26,18.11,18.27,17.975,18.03,1030700
2023-06-27,17.96,18.515,17.91,18.47,930400
2023-06-28,18.4,18.495,18.3,18.43,1241800
2023-06-29,18.63,18.835,18.63,18.75,927200
2023-06-30,18.84,19.09,18.08,18.58,2463000
2023-07-03,18.49,18.885,18.49,18.79,436500
2023-07-05,18.64,18.68,18.395,18.65,1159700
2023-07-06,18.57,18.57,17.89,18.19,979500
2023-07-07,18.25,18.44,18.23,18.24,819800
2023-07-10,18.22,18.52,18.19,18.4,1001400
2023-07-11,18.6,18.945,18.6,18.84,971800
2023-07-12,19.0,19.17,18.98,19.06,906700
2023-07-13,19.09,19.165,18.96,19.1,745200
2023-07-14,19.16,19.22,18.82,19.15,763300
2023-07-17,19.05,19.405,19.05,19.25,1255300
2023-07-18,19.3,19.53,19.2,19.52,781400
2023-07-19,19.56,19.691,19.42,19.55,1129500
2023-07-20,19.45,19.565,19.12,19.24,890400
2023-07-21,19.23,19.3,19.02,19.11,987100
2023-07-24,19.06,19.47,19.06,19.42,1298000
2023-07-25,19.43,19.62,19.29,19.34,1068800
2023-07-26,18.61,19.575,18.24,18.66,1242300
2023-07-27,18.72,19.03,18.41,18.77,944200
2023-07-28,18.89,19.13,18.81,18.92,872000
2023-07-31,19.03,19.22,18.845,19.04,1166100
2023-08-01,18.82,18.98,18.575,18.87,1006400
2023-08-02,18.72,18.72,18.395,18.44,943200
2023-08-03,18.31,18.475,18.195,18.36,884700
2023-08-04,18.36,18.55,18.27,18.3,590700
2023-08-07,18.3,18.66,18.3,18.6,706800
2023-08-08,18.33,18.445,18.19,18.41,646500
2023-08-09,18.35,18.435,18.05,18.06,599300
2023-08-10,18.11,18.2,17.72,17.76,748600
2023-08-11,17.67,17.855,17.59,17.82,603500
2023-08-14,17.71,17.72,17.47,17.7,852400
2023-08-15,17.47,17.47,17.2,17.37,787700
2023-08-16,17.3,17.421,17.255,17.29,981200
2023-08-17,17.33,17.465,17.29,17.41,933100
2023-08-18,17.28,17.675,17.22,17.57,733000
2023-08-21,17.64,17.7,17.24,17.49,703300
2023-08-22,17.48,17.51,17.23,17.3,775100
2023-08-23,17.31,17.59,17.22,17.56,668600
2023-08-24,17.55,17.835,17.48,17.61,1332700
2023-08-25,17.64,17.73,17.32,17.46,635200
2023-08-28,17.58,17.809,17.45,17.47,623600
2023-08-29,17.45,17.75,17.45,17.73,931500
2023-08-30,17.7,17.765,17.56,17.65,912700
2023-08-31,17.49,17.755,17.48,17.65,990800
2023-09-01,17.8,18.2,17.78,18.16,585900
2023-09-05,18.05,18.055,17.73,17.76,1140900
2023-09-06,17.75,17.885,17.42,17.5,848500
2023-09-07,17.48,17.538,16.97,17.05,964700
2023-09-08,17.01,17.085,16.811,17.03,861600
2023-09-11,17.19,17.415,17.19,17.27,864500
2023-09-12,17.25,17.395,17.075,17.36,1326000
2023-09-13,17.37,17.515,17.22,17.33,1270900
2023-09-14,17.55,17.865,17.55,17.73,1043800
2023-09-15,17.71,18.035,17.68,17.88,5694000
2023-09-18,17.95,17.95,17.075,17.17,1122600
2023-09-19,17.2,17.27,17.06,17.11,984100
2023-09-20,17.21,17.36,17.01,17.02,708400
2023-09-21,16.9,17.06,16.79,16.8,736700
2023-09-22,16.82,16.89,16.71,16.77,594000
2023-09-25,16.69,16.99,16.57,16.97,465900
2023-09-26,16.78,17.0,16.73,16.82,657600
2023-09-27,16.94,17.1,16.8,16.94,686400
2023-09-28,16.96,17.32,16.96,17.27,723200
