Date,Open,High,Low,Close,Volume
2023-01-13,43.6,44.43,43.15,44.13,161400
2023-01-17,44.25,44.25,43.57,43.59,163200
2023-01-18,43.49,43.49,42.27,42.44,219100
2023-01-19,42.4,42.4,41.41,41.7,357700
2023-01-20,41.98,42.61,41.42,42.3,464000
2023-01-23,42.48,43.48,42.17,42.81,471400
2023-01-24,42.38,42.83,41.87,42.24,206800
2023-01-25,41.96,42.25,39.87,41.28,496800
2023-01-26,41.5,41.85,41.0,41.51,237100
2023-01-27,41.36,42.14,41.06,42.03,242300
2023-01-30,41.89,42.23,41.45,41.57,177100
2023-01-31,41.41,42.27,41.41,42.23,317900
2023-02-01,42.06,43.4,42.06,42.96,261500
2023-02-02,43.14,43.94,42.89,43.9,179500
2023-02-03,43.84,44.46,43.76,44.04,285000
2023-02-06,43.97,44.31,42.45,42.66,211300
2023-02-07,42.43,43.2,42.19,42.94,195300
2023-02-08,42.72,42.94,42.23,42.36,214300
2023-02-09,42.72,42.78,41.26,41.43,221700
2023-02-10,41.43,41.68,40.97,41.62,222700
2023-02-13,41.74,41.87,41.26,41.75,275700
2023-02-14,41.72,41.87,40.9,41.26,300700
2023-02-15,40.92,41.53,40.79,41.45,224200
2023-02-16,41.02,41.5,40.7,41.08,302800
2023-02-17,41.13,42.31,41.01,42.16,190800
2023-02-21,41.93,41.93,41.22,41.47,133800
2023-02-22,41.56,41.73,41.04,41.4,196400
2023-02-23,41.37,41.57,40.81,41.22,126600
2023-02-24,40.91,41.07,40.45,40.64,121400
2023-02-27,40.98,41.34,40.55,40.57,120500
2023-02-28,40.64,40.95,40.48,40.49,201700
2023-03-01,40.36,40.6,40.14,40.42,121200
2023-03-02,40.15,40.2,39.49,40.04,203700
2023-03-03,40.3,40.46,39.7,40.36,287300
2023-03-06,40.38,40.73,39.96,40.14,377700
2023-03-07,40.06,40.06,38.6,38.83,238000
2023-03-08,38.93,39.47,38.69,39.06,189300
2023-03-09,38.52,38.62,36.58,36.84,256400
2023-03-10,35.99,36.96,34.77,36.8,425700
2023-03-13,35.37,37.14,33.12,34.98,578300
2023-03-14,37.18,38.02,34.65,35.25,422600
2023-03-15,33.83,35.03,33.55,34.75,266700
2023-03-16,34.18,37.46,34.09,37.29,373200
2023-03-17,36.32,36.32,33.97,34.44,942700
2023-03-20,35.3,36.53,34.2,34.25,369000
2023-03-21,34.9,36.13,34.81,35.23,570000
2023-03-22,35.09,35.09,33.31,33.37,372900
2023-03-23,33.63,33.63,31.97,32.12,306500
2023-03-24,31.56,33.6,31.3,33.45,314700
2023-03-27,34.31,34.5,33.47,33.49,144600
2023-03-28,33.47,33.69,33.06,33.62,161200
2023-03-29,33.92,34.05,33.39,33.78,226000
2023-03-30,34.0,34.0,33.16,33.42,335300
2023-03-31,33.54,33.74,32.85,33.46,312000
2023-04-03,33.5,33.74,32.95,33.27,158800
2023-04-04,33.22,33.27,31.76,32.36,182900
2023-04-05,31.92,32.51,31.59,31.97,217800
2023-04-06,31.77,32.82,31.77,32.79,179800
2023-04-10,32.65,33.16,32.59,32.73,242500
2023-04-11,32.83,33.25,32.55,33.05,170000
2023-04-12,33.27,33.33,32.04,32.16,248300
2023-04-13,32.35,33.12,31.83,32.77,154200
2023-04-14,33.36,33.74,32.12,32.4,181500
2023-04-17,32.09,33.21,31.89,33.15,178000
2023-04-18,33.41,33.41,31.82,32.29,347000
2023-04-19,32.59,34.07,32.03,33.72,284200
2023-04-20,33.25,34.16,32.06,32.91,237500
2023-04-21,32.65,32.66,31.57,31.85,240500
2023-04-24,31.67,32.29,31.48,31.57,255600
2023-04-25,31.23,31.58,30.53,30.96,243900
2023-04-26,30.62,31.54,30.62,31.12,184200
2023-04-27,31.25,31.58,31.13,31.44,202700
2023-04-28,31.3,32.15,31.3,31.8,162900
2023-05-01,31.87,32.12,31.03,31.18,147200
2023-05-02,31.03,31.03,28.87,29.28,271700
2023-05-03,29.38,29.98,28.43,28.54,270700
2023-05-04,27.76,28.09,26.48,27.66,237800
2023-05-05,28.75,29.37,28.14,29.07,199800
2023-05-08,29.44,29.44,28.07,28.16,174200
2023-05-09,28.12,28.28,27.52,27.89,254900
2023-05-10,29.01,29.32,28.29,28.95,233000
2023-05-11,28.39,29.15,28.29,28.96,185500
2023-05-12,29.05,29.29,28.38,29.25,161700
2023-05-15,29.22,29.76,28.96,29.52,140200
2023-05-16,29.48,30.02,28.9,28.91,159700
2023-05-17,29.6,31.9,29.31,31.76,350200
2023-05-18,31.52,32.06,31.18,31.67,222000
2023-05-19,32.17,32.3,29.92,30.68,207500
2023-05-22,30.99,31.83,30.64,31.62,139200
2023-05-23,31.3,32.12,31.3,31.68,251200
2023-05-24,31.27,31.47,30.78,31.07,123000
2023-05-25,30.51,30.88,30.16,30.68,101300
2023-05-26,30.71,31.3,30.05,31.22,125400
2023-05-30,31.36,31.36,30.54,31.15,127400
2023-05-31,30.91,31.03,29.64,29.93,338300
2023-06-01,30.17,31.25,29.62,30.71,152900
2023-06-02,31.28,33.34,30.81,33.1,194000
2023-06-05,32.76,32.76,31.3,32.15,167200
2023-06-06,32.07,34.66,32.07,34.08,235100
2023-06-07,34.6,35.47,34.1,34.64,242200
2023-06-08,34.52,34.52,33.17,33.82,170500
2023-06-09,33.83,33.83,32.94,33.38,139900
2023-06-12,33.35,33.57,32.17,32.58,191000
2023-06-13,32.8,33.77,32.71,33.39,323500
2023-06-14,33.44,33.65,31.4,31.43,313700
2023-06-15,31.28,32.65,31.28,32.44,282300
2023-06-16,32.65,32.65,31.48,31.7,986400
2023-06-20,31.87,32.13,31.36,31.89,302800
2023-06-21,31.82,32.15,31.32,31.47,194300
2023-06-22,31.3,31.3,30.09,30.63,168300
2023-06-23,30.22,30.76,28.66,28.91,1339300
2023-06-26,29.09,30.58,29.09,29.6,251900
2023-06-27,29.78,30.51,29.22,30.08,153700
2023-06-28,30.05,30.05,29.37,29.59,167200
2023-06-29,29.9,30.61,29.78,29.81,163400
2023-06-30,30.09,30.46,29.04,29.04,221000
2023-07-03,29.01,30.02,29.01,29.64,89000
2023-07-05,29.38,30.22,28.86,29.86,297000
2023-07-06,29.33,29.59,28.78,29.43,129700
2023-07-07,29.5,30.5,29.5,30.13,140700
2023-07-10,30.01,30.81,30.01,30.38,209300
2023-07-11,30.44,31.18,30.18,31.17,161300
2023-07-12,31.9,32.73,31.81,32.3,227800
2023-07-13,32.43,33.1,32.31,32.98,201400
2023-07-14,33.09,33.09,32.13,32.55,131700
2023-07-17,32.38,33.09,32.31,32.86,185600
2023-07-18,32.9,33.99,32.76,33.72,240700
2023-07-19,34.08,34.98,33.8,34.87,211400
2023-07-20,33.94,33.94,30.9,33.1,439700
2023-07-21,33.93,34.87,33.18,33.67,298000
2023-07-24,33.47,34.36,33.47,34.25,154500
2023-07-25,34.3,34.5,33.72,33.74,155300
2023-07-26,34.09,35.12,33.99,34.75,112700
2023-07-27,34.91,34.91,33.83,34.06,146400
2023-07-28,34.66,34.66,34.08,34.28,122200
2023-07-31,34.3,34.73,34.02,34.36,126400
2023-08-01,34.21,34.25,33.61,34.22,127000
2023-08-02,33.77,34.67,33.77,34.6,208800
2023-08-03,34.52,35.21,34.21,34.87,106000
2023-08-04,34.8,35.18,34.47,34.9,130700
2023-08-07,35.03,35.31,34.74,35.19,90700
2023-08-08,34.5,35.09,33.95,34.9,142500
2023-08-09,34.75,34.75,34.09,34.48,126700
2023-08-10,34.58,35.22,34.26,34.53,93000
2023-08-11,34.24,34.71,34.2,34.44,91000
2023-08-14,34.19,34.22,33.53,33.91,126500
2023-08-15,33.35,33.57,32.82,32.83,157500
2023-08-16,32.78,33.07,32.4,32.46,95800
