Date,Open,High,Low,Close,Volume
2023-01-13,39.22,39.64,38.73,39.16,1559800
2023-01-17,39.77,40.69,39.63,40.58,2332900
2023-01-18,40.93,41.5,38.945,39.72,2571700
2023-01-19,40.16,40.495,39.075,40.22,1969600
2023-01-20,40.84,40.89,39.89,40.36,1510100
2023-01-23,40.61,40.81,39.06,39.93,1913300
2023-01-24,39.77,40.65,39.56,40.33,1452800
2023-01-25,40.46,41.24,39.9,40.52,1371500
2023-01-26,41.0,41.75,40.44,40.97,1092100
2023-01-27,40.84,41.295,40.68,41.01,1120900
2023-01-30,40.4,40.63,40.015,40.3,1300800
2023-01-31,40.23,40.7,39.7,40.69,1176600
2023-02-01,40.54,41.23,39.32,40.35,2405500
2023-02-02,40.04,40.2,38.3,38.93,1660000
2023-02-03,38.78,40.22,38.665,39.31,1324800
2023-02-06,39.43,39.73,39.14,39.68,760000
2023-02-07,39.74,40.61,39.45,40.5,1169100
2023-02-08,40.6,42.405,39.85,42.22,2136700
2023-02-09,40.87,42.84,40.45,42.24,5215500
2023-02-10,42.32,43.02,41.7,42.7,2522300
2023-02-13,42.51,43.52,42.01,43.1,1598200
2023-02-14,42.65,43.71,42.495,43.53,1260800
2023-02-15,43.0,43.68,42.81,43.52,1139700
2023-02-16,43.26,45.045,42.95,43.0,2335300
2023-02-17,43.16,43.16,41.33,41.78,2173600
2023-02-21,41.5,41.5,39.31,39.78,2523300
2023-02-22,39.38,39.95,38.09,38.41,2889500
2023-02-23,39.14,39.32,37.5,38.04,1719900
2023-02-24,37.23,38.445,37.22,38.37,1630700
2023-02-27,37.87,41.84,37.54,41.6,3566500
2023-02-28,41.62,42.6,41.15,41.69,2326700
2023-03-01,41.68,43.83,41.49,43.47,2028100
2023-03-02,42.59,44.45,42.44,44.25,2025800
2023-03-03,43.05,44.6,43.05,44.52,1425400
2023-03-06,44.42,45.5,44.085,45.25,1588500
2023-03-07,45.02,45.25,43.05,43.34,972000
2023-03-08,43.04,43.69,42.01,42.57,1229300
2023-03-09,42.64,43.4,40.7,40.87,2160500
2023-03-10,41.26,41.66,39.535,39.88,1092700
2023-03-13,38.69,39.51,38.225,38.89,1897800
2023-03-14,39.55,41.19,39.15,39.7,1904100
2023-03-15,37.92,37.925,36.64,37.43,3835100
2023-03-16,36.93,37.94,35.68,37.63,2427400
2023-03-17,37.65,37.76,35.32,35.36,7098500
2023-03-20,35.86,38.49,35.85,38.19,2137200
2023-03-21,39.18,40.94,39.04,39.75,2471400
2023-03-22,39.49,39.86,38.51,38.58,1239400
2023-03-23,38.78,39.78,36.6,37.32,1490900
2023-03-24,36.45,37.52,36.02,37.31,1096500
2023-03-27,37.76,39.23,37.1,38.98,839000
2023-03-28,38.46,39.879,38.44,39.81,1090100
2023-03-29,40.36,40.36,39.35,39.94,983200
2023-03-30,40.15,40.28,38.84,39.1,999000
2023-03-31,39.03,39.69,38.905,39.47,1057700
2023-04-03,41.14,41.455,40.13,40.92,1273100
2023-04-04,40.84,40.84,37.97,39.28,1405500
2023-04-05,39.39,39.51,37.89,38.46,1218600
2023-04-06,38.42,38.478,37.73,37.83,500500
2023-04-10,37.98,38.975,37.735,38.64,729000
2023-04-11,38.96,39.36,38.36,38.73,627300
2023-04-12,39.28,40.12,38.51,40.08,1170800
2023-04-13,39.96,41.145,39.82,40.26,955800
2023-04-14,40.48,40.8,39.57,40.04,914500
