Date,Open,High,Low,Close,Volume
2023-01-13,79.4,81.7,79.4,81.64,119400
2023-01-17,81.82,81.92,80.16,80.27,184300
2023-01-18,80.7,81.36,78.94,79.04,233200
2023-01-19,78.69,78.72,77.75,78.39,164500
2023-01-20,78.92,80.72,78.29,80.49,142200
2023-01-23,80.25,81.01,80.17,80.89,79800
2023-01-24,80.19,82.09,79.53,81.75,250300
2023-01-25,81.25,81.44,78.7,78.76,159000
2023-01-26,78.76,80.33,78.7,80.23,108700
2023-01-27,80.0,80.87,79.49,80.39,96900
2023-01-30,79.8,80.51,79.19,79.27,150000
2023-01-31,79.82,82.49,79.14,82.44,274700
2023-02-01,81.89,83.98,81.42,82.87,182500
2023-02-02,84.74,87.15,84.39,87.0,239700
2023-02-03,86.02,87.33,85.67,86.93,278400
2023-02-06,86.46,86.93,85.64,86.74,196400
2023-02-07,86.05,89.59,85.84,89.49,261000
2023-02-08,88.36,89.34,87.83,88.36,414000
2023-02-09,89.17,89.27,86.44,86.58,242400
2023-02-10,85.86,87.97,85.72,87.81,139400
2023-02-13,87.74,89.57,87.31,88.86,295300
2023-02-14,88.52,90.73,88.42,89.69,336700
2023-02-15,88.9,90.48,88.53,90.38,167900
2023-02-16,88.73,90.78,88.18,89.67,168300
2023-02-17,89.57,90.81,89.06,90.75,185800
2023-02-21,89.97,89.97,86.33,86.88,224300
2023-02-22,86.93,87.89,86.23,87.09,140900
2023-02-23,87.21,88.43,86.54,88.06,155200
2023-02-24,86.27,88.79,86.23,88.56,165400
2023-02-27,89.2,89.92,87.7,87.81,300400
2023-02-28,83.74,84.44,78.97,82.56,896900
2023-03-01,82.29,83.49,81.61,83.42,426600
2023-03-02,81.72,83.11,81.47,81.54,358200
2023-03-03,82.42,82.46,80.39,81.69,312600
2023-03-06,81.34,81.83,80.5,81.25,259200
2023-03-07,81.0,81.5,78.42,78.78,376800
2023-03-08,78.94,79.02,77.23,77.74,241900
2023-03-09,78.18,78.34,75.3,75.46,346200
2023-03-10,75.06,75.06,70.54,71.42,418300
2023-03-13,69.88,70.61,68.08,69.76,327400
2023-03-14,72.42,72.45,70.26,71.72,391300
2023-03-15,69.18,71.52,68.54,71.36,537200
2023-03-16,70.24,73.79,70.06,72.43,396300
2023-03-17,71.98,71.98,68.59,68.89,450800
2023-03-20,69.58,70.8,68.93,70.65,221800
2023-03-21,72.4,73.07,72.12,72.41,156000
2023-03-22,71.72,72.7,70.3,70.36,140900
2023-03-23,70.54,71.47,68.57,69.53,285200
2023-03-24,68.54,69.18,67.52,69.09,299100
2023-03-27,70.29,70.45,69.17,69.78,265400
2023-03-28,69.21,69.46,68.42,68.71,336800
2023-03-29,69.8,70.47,69.3,69.89,238400
2023-03-30,70.67,71.31,69.7,69.85,324100
2023-03-31,70.32,71.69,70.28,71.52,321900
2023-04-03,71.92,72.42,70.47,71.2,236800
2023-04-04,71.42,71.42,69.67,70.3,313600
2023-04-05,69.64,70.74,69.49,70.67,262500
2023-04-06,70.75,70.81,69.27,69.56,386800
2023-04-10,69.13,71.88,69.13,71.51,540300
2023-04-11,71.98,73.55,71.86,73.21,239000
2023-04-12,74.14,74.47,72.17,72.68,211300
2023-04-13,73.06,74.02,72.49,74.01,191100
2023-04-14,74.15,74.74,72.01,72.72,192200
2023-04-17,72.62,72.91,71.97,72.73,203200
2023-04-18,73.27,73.43,71.24,71.96,183300
2023-04-19,71.74,72.03,71.28,71.85,183500
2023-04-20,71.05,71.88,70.54,71.42,164400
2023-04-21,71.42,71.78,70.53,71.22,179200
2023-04-24,71.51,72.41,71.51,72.35,165500
2023-04-25,71.21,71.39,69.91,69.91,172500
2023-04-26,68.86,70.06,68.86,69.38,241100
2023-04-27,69.51,70.82,69.39,70.8,173700
2023-04-28,70.43,72.33,70.43,71.74,192300
2023-05-01,71.9,72.76,71.01,71.59,183500
2023-05-02,71.05,71.05,69.0,70.3,234300
2023-05-03,70.06,72.41,70.06,70.44,291300
2023-05-04,66.72,68.11,59.5,64.4,813000
2023-05-05,63.66,63.99,60.16,60.57,476500
2023-05-08,60.61,61.49,58.92,59.11,401400
2023-05-09,58.43,59.29,57.52,57.99,484600
2023-05-10,59.0,59.0,55.75,56.51,546300
2023-05-11,55.87,56.37,54.99,56.35,479000
2023-05-12,56.56,56.56,54.02,54.5,260900
2023-05-15,54.87,55.18,54.13,54.17,328800
2023-05-16,53.81,53.81,52.15,52.2,539800
2023-05-17,52.42,54.0,52.21,53.3,402400
2023-05-18,52.71,52.71,49.38,50.02,844600
2023-05-19,50.81,52.1,50.37,50.59,487400
2023-05-22,51.02,52.23,50.74,51.86,373900
2023-05-23,51.24,52.7,51.11,52.26,578800
2023-05-24,51.77,52.56,50.92,51.04,449800
2023-05-25,50.49,50.83,49.29,50.1,280700
2023-05-26,50.06,50.75,49.55,49.86,287500
2023-05-30,49.65,50.29,49.08,49.43,284100
2023-05-31,49.2,49.6,46.52,47.19,416500
2023-06-01,47.19,48.16,47.1,47.45,249700
2023-06-02,48.55,51.87,48.35,51.81,435800
2023-06-05,51.63,52.32,50.58,51.73,505300
2023-06-06,51.68,53.93,51.49,53.41,377000
2023-06-07,53.67,54.85,53.67,54.69,403600
2023-06-08,54.55,54.78,52.83,53.02,349300
2023-06-09,52.88,53.94,52.33,53.9,257000
2023-06-12,53.81,54.63,53.19,53.97,257300
2023-06-13,54.46,55.46,53.6,53.92,312500
2023-06-14,54.08,54.59,53.02,53.3,332400
2023-06-15,53.18,54.11,53.01,53.77,350200
2023-06-16,54.22,54.79,53.07,54.39,6937200
2023-06-20,53.68,53.97,51.27,51.54,479900
2023-06-21,51.0,53.08,50.19,52.92,338900
2023-06-22,52.03,53.01,51.34,52.6,365400
2023-06-23,51.31,52.51,51.31,51.92,440000
2023-06-26,51.63,53.5,51.63,53.35,225900
2023-06-27,53.46,55.77,53.42,55.52,377500
2023-06-28,55.34,56.76,55.34,56.0,363800
2023-06-29,55.68,58.65,55.68,58.47,460400
2023-06-30,58.63,59.58,58.08,58.16,333400
2023-07-03,57.82,59.21,57.65,58.62,106000
2023-07-05,57.94,58.64,57.06,57.17,267300
2023-07-06,56.79,57.4,55.73,56.73,228800
2023-07-07,56.87,59.54,56.87,58.61,189000
2023-07-10,58.29,59.36,58.07,58.65,232100
2023-07-11,59.85,60.21,59.2,60.1,252800
2023-07-12,61.31,62.41,60.86,60.89,328100
2023-07-13,60.89,61.42,60.27,60.69,182600
2023-07-14,60.55,60.69,58.53,60.25,274700
2023-07-17,60.54,61.08,59.82,60.54,343600
2023-07-18,60.87,62.0,60.85,60.89,597000
2023-07-19,61.09,62.02,60.9,61.64,223500
2023-07-20,62.02,62.13,61.34,61.49,219100
2023-07-21,61.45,61.67,60.65,61.61,229400
2023-07-24,61.85,62.48,61.09,61.96,207200
2023-07-25,62.15,63.23,62.08,62.6,234300
2023-07-26,62.59,63.85,62.59,63.08,176500
2023-07-27,65.19,66.18,64.26,64.31,386800
2023-07-28,64.93,65.22,63.17,63.38,198500
2023-07-31,63.99,64.76,63.49,64.02,281600
2023-08-01,63.62,64.24,62.27,62.37,275700
2023-08-02,61.72,62.23,61.06,61.4,215000
2023-08-03,57.0,57.36,51.92,55.38,752400
2023-08-04,55.3,58.62,55.3,58.16,431800
2023-08-07,56.72,56.81,53.45,53.63,645800
2023-08-08,52.91,55.52,52.72,55.45,478300
2023-08-09,55.33,55.39,53.81,53.96,172900
2023-08-10,54.03,54.93,53.12,53.38,140000
2023-08-11,53.26,53.44,52.53,52.91,201900
2023-08-14,52.59,52.59,51.14,51.29,222700
2023-08-15,50.59,51.11,49.46,49.64,225100
2023-08-16,49.48,50.08,48.31,48.31,153300
2023-08-17,48.52,50.7,48.52,50.5,278000
2023-08-18,50.07,52.3,49.79,51.65,272500
2023-08-21,51.56,52.06,50.14,51.05,215600
2023-08-22,51.32,52.13,50.89,51.42,147100
2023-08-23,51.51,51.53,50.81,50.96,111800
2023-08-24,50.62,51.51,50.51,51.4,174800
2023-08-25,51.59,52.26,50.83,51.58,142600
2023-08-28,51.93,52.7,51.77,51.92,131000
2023-08-29,51.76,53.88,51.76,53.86,217700
2023-08-30,53.49,54.27,53.26,53.75,171000
2023-08-31,53.89,54.65,53.53,53.89,159400
2023-09-01,54.29,55.15,54.29,54.65,144800
2023-09-05,53.69,53.69,51.28,52.97,248000
2023-09-06,53.09,53.54,51.64,52.45,143600
2023-09-07,52.26,52.26,50.1,50.75,282800
2023-09-08,50.69,50.92,50.02,50.13,172800
2023-09-11,50.78,50.98,49.4,49.67,228900
2023-09-12,49.5,50.09,49.15,50.09,193400
2023-09-13,50.1,50.21,48.91,49.78,214200
2023-09-14,50.54,51.95,50.54,51.78,262500
2023-09-15,51.54,51.84,50.0,50.69,896000
2023-09-18,50.88,50.88,49.46,50.15,276300
2023-09-19,49.95,50.04,48.81,49.33,206500
2023-09-20,49.67,50.57,48.91,48.95,155400
2023-09-21,48.42,48.89,48.02,48.35,108600
2023-09-22,48.47,48.9,46.77,46.86,208300
2023-09-25,46.71,47.63,46.7,47.24,182600
2023-09-26,46.91,47.6,46.72,47.02,246900
2023-09-27,47.7,48.03,46.56,47.21,161500
2023-09-28,47.37,48.68,47.31,48.18,251900
2023-09-29,48.71,48.71,47.15,47.61,275700
2023-10-02,47.36,47.73,46.01,46.4,197900
2023-10-03,44.1,45.62,42.92,43.14,277000
2023-10-04,43.31,43.31,42.44,42.79,378500
2023-10-05,42.78,42.88,41.48,42.07,304600
2023-10-06,41.93,42.59,41.02,42.25,292800
2023-10-09,41.39,41.84,40.69,41.52,192900
