Date,Open,High,Low,Close,Volume
2023-01-13,31.43,32.14,30.75,32.04,714500
2023-01-17,32.33,32.7,31.79,32.24,760900
2023-01-18,32.57,32.91,31.16,31.17,1110300
2023-01-19,31.08,31.87,30.61,31.79,1063900
2023-01-20,32.1,32.47,31.35,32.46,923800
2023-01-23,32.78,32.95,32.38,32.69,623800
2023-01-24,32.96,33.1,31.98,32.0,928300
2023-01-25,31.78,32.46,31.31,32.11,1135500
2023-01-26,32.52,33.53,32.11,33.32,1950500
2023-01-27,35.5,35.88,34.43,34.62,4988800
2023-01-30,34.02,34.4,33.17,33.49,2257300
2023-01-31,33.49,34.08,33.13,33.52,1524900
2023-02-01,33.33,33.61,31.62,32.93,17165800
2023-02-02,32.79,32.89,30.86,31.6,2502600
2023-02-03,31.52,33.0,31.52,31.96,2316500
2023-02-06,31.85,32.24,30.83,31.21,2411700
2023-02-07,31.65,33.42,31.24,33.42,2316900
2023-02-08,33.45,33.64,32.75,33.29,1282400
2023-02-09,33.49,33.49,32.01,32.15,1319100
2023-02-10,32.56,34.15,32.42,34.11,1744700
2023-02-13,33.97,34.52,33.5,34.02,1114000
2023-02-14,33.9,34.53,33.59,34.33,999900
2023-02-15,33.64,34.1,32.74,34.04,1521700
2023-02-16,33.83,34.52,33.48,33.49,1234900
2023-02-17,33.0,33.0,31.68,31.94,1452600
2023-02-21,31.56,32.16,31.03,31.2,1084200
2023-02-22,31.01,31.31,30.12,30.57,1387600
2023-02-23,31.42,32.11,30.8,31.8,1394400
2023-02-24,31.22,33.07,30.98,32.12,1816700
2023-02-27,32.13,32.38,31.11,31.81,1098500
2023-02-28,32.19,32.47,31.02,31.04,1502700
2023-03-01,31.15,32.42,30.93,32.16,1143900
2023-03-02,31.99,32.89,31.69,32.57,1128000
2023-03-03,31.92,34.02,31.8,33.75,1195300
2023-03-06,33.5,34.06,33.18,33.19,1500800
2023-03-07,32.98,33.32,31.98,32.2,1472200
2023-03-08,31.96,32.55,31.27,31.76,1341200
2023-03-09,31.98,32.45,30.85,30.89,1250400
2023-03-10,31.02,31.64,30.33,30.46,1093700
2023-03-13,29.52,30.38,28.87,29.12,1838500
2023-03-14,29.35,30.43,28.75,29.16,1311400
2023-03-15,27.67,27.92,25.56,26.68,2500500
2023-03-16,25.99,27.23,25.75,26.94,1960400
2023-03-17,26.66,26.83,25.6,26.38,4250500
2023-03-20,26.41,27.69,26.41,26.77,1435200
2023-03-21,27.73,28.71,27.6,28.47,1463700
2023-03-22,28.52,29.2,27.91,27.97,1580600
2023-03-23,28.23,28.75,27.31,27.68,963100
2023-03-24,27.04,28.47,26.91,28.35,1317200
2023-03-27,28.77,29.51,28.34,29.25,1280600
2023-03-28,29.32,29.84,29.22,29.57,923500
2023-03-29,29.71,29.95,29.33,29.88,974200
2023-03-30,30.12,30.13,29.18,29.79,2045600
2023-03-31,30.11,30.6,29.84,30.35,1976400
2023-04-03,32.22,33.16,31.65,33.11,2455500
2023-04-04,33.4,33.4,31.71,32.43,1253200
2023-04-05,32.42,32.71,31.82,32.51,914400
2023-04-06,32.42,33.03,31.89,32.57,1553100
2023-04-10,32.79,33.58,32.79,33.34,1211200
2023-04-11,33.84,34.21,33.61,33.96,1827100
2023-04-12,34.32,34.45,33.78,33.82,1214200
2023-04-13,34.17,34.99,33.68,34.51,1572800
2023-04-14,34.68,35.08,34.2,35.06,885500
2023-04-17,35.16,35.25,34.09,34.2,1082300
2023-04-18,34.12,34.19,33.7,34.13,908900
2023-04-19,33.38,33.82,32.87,33.8,1131000
2023-04-20,33.16,33.31,32.37,33.06,1166700
2023-04-21,32.91,33.05,32.51,32.77,723900
2023-04-24,32.81,33.84,32.35,33.74,705600
2023-04-25,32.96,33.35,32.18,32.31,979400
2023-04-26,32.18,32.69,31.62,31.84,849400
2023-04-27,32.48,32.7,31.78,32.31,787200
2023-04-28,32.34,33.48,32.06,33.17,742000
2023-05-01,32.67,33.64,32.44,33.33,1147100
2023-05-02,32.99,33.02,31.44,32.12,1189600
2023-05-03,31.39,31.98,30.9,31.0,2064100
2023-05-04,30.93,31.75,30.84,30.93,1788000
2023-05-05,32.25,32.95,31.48,31.83,2288400
2023-05-08,32.48,33.09,31.86,32.0,1427400
2023-05-09,31.58,32.02,31.18,31.23,1746700
2023-05-10,31.33,31.61,30.53,31.17,1391000
2023-05-11,30.63,31.42,30.48,31.41,954800
2023-05-12,31.75,31.95,30.91,31.51,626400
2023-05-15,31.78,32.75,31.43,31.96,743800
2023-05-16,30.99,31.2,30.01,30.22,7156800
