Date,Open,High,Low,Close,Volume
2023-01-13,23.1,23.45,22.76,23.28,2381800
2023-01-17,23.39,23.61,23.21,23.57,1911700
2023-01-18,23.81,24.09,22.72,22.8,2752300
2023-01-19,22.8,22.85,21.9,22.51,5965600
2023-01-20,22.63,23.44,22.52,23.11,3683200
2023-01-23,23.37,23.49,22.8,22.81,3690900
2023-01-24,22.75,23.41,22.58,23.4,4417400
2023-01-25,23.3,24.6,23.12,24.34,5451000
2023-01-26,24.6,24.82,23.97,24.8,3234100
2023-01-27,24.79,24.83,23.73,23.95,2742600
2023-01-30,23.66,24.11,23.55,23.74,2527400
2023-01-31,23.71,24.45,23.58,24.44,2925900
2023-02-01,24.29,24.47,23.47,24.27,3869100
2023-02-02,24.16,24.3,22.66,22.96,4633000
2023-02-03,22.97,23.95,22.97,23.27,3239700
2023-02-06,23.18,23.49,23.02,23.37,3871100
2023-02-07,23.86,24.44,22.54,23.27,7817200
2023-02-08,23.68,23.68,22.98,23.37,3787500
2023-02-09,23.2,23.31,22.87,23.03,3508200
2023-02-10,23.37,24.08,23.35,24.04,3126800
2023-02-13,23.78,24.03,23.47,23.96,2235800
2023-02-14,23.69,24.21,23.55,23.56,3348300
2023-02-15,23.25,23.31,22.62,23.05,2234100
2023-02-16,23.1,23.44,22.82,22.84,2847000
2023-02-17,22.53,22.56,21.57,21.67,3114200
2023-02-21,21.51,21.95,21.47,21.5,2741100
2023-02-22,21.34,21.65,20.97,21.3,4192500
2023-02-23,21.79,22.18,21.69,21.76,6281800
2023-02-24,21.42,21.78,21.15,21.65,4344400
2023-02-27,21.58,22.26,21.45,22.14,5145100
2023-02-28,22.28,22.36,21.86,21.88,5181900
2023-03-01,21.77,22.29,21.77,22.22,3492600
2023-03-02,22.08,22.63,21.84,22.61,3948200
2023-03-03,22.32,23.29,22.25,23.18,3356800
2023-03-06,23.07,23.18,22.93,23.07,2243600
2023-03-07,23.08,23.09,22.72,22.79,3151000
2023-03-08,22.59,23.0,22.34,22.57,2724700
2023-03-09,22.7,22.89,21.0,21.06,4377200
2023-03-10,21.04,21.34,20.08,20.2,3508200
2023-03-13,19.55,20.04,19.18,19.24,4275800
2023-03-14,19.35,19.71,18.72,19.23,5564100
2023-03-15,18.3,18.45,17.78,18.04,8137600
2023-03-16,17.82,18.26,17.37,18.16,5009300
2023-03-17,18.06,18.06,17.2,17.41,9187300
2023-03-20,17.52,18.0,17.5,17.79,4072000
2023-03-21,18.39,18.65,18.18,18.35,4632500
2023-03-22,18.35,18.41,17.58,17.62,6437300
2023-03-23,17.76,17.87,16.96,17.27,8370600
2023-03-24,16.83,17.4,16.79,17.25,5224900
2023-03-27,17.58,17.87,17.21,17.8,4816500
2023-03-28,17.71,18.31,17.68,18.26,4557800
2023-03-29,18.38,18.57,18.27,18.43,4986900
2023-03-30,18.74,18.74,18.14,18.14,5428800
2023-03-31,18.22,18.56,18.13,18.51,3812200
2023-04-03,19.56,19.78,18.81,19.04,6544700
2023-04-04,19.09,19.11,18.2,18.43,3459700
2023-04-05,18.25,18.45,17.92,18.22,4522700
2023-04-06,18.27,18.35,17.98,18.01,3757400
2023-04-10,18.13,18.57,18.06,18.34,2456400
2023-04-11,18.38,18.6,18.11,18.5,3304600
2023-04-12,18.67,18.93,18.43,18.72,3442900
2023-04-13,18.69,19.06,18.61,18.83,2133700
2023-04-14,18.96,19.07,18.72,18.82,3201800
2023-04-17,18.77,18.96,18.5,18.68,2625300
2023-04-18,18.65,18.7,18.32,18.49,3527600
2023-04-19,18.22,18.77,18.04,18.67,4056000
2023-04-20,18.38,18.59,18.16,18.46,3340900
2023-04-21,18.56,18.58,18.12,18.28,4177600
2023-04-24,18.34,18.96,18.34,18.8,4491300
2023-04-25,18.51,18.59,18.04,18.19,4276800
2023-04-26,17.96,18.57,17.81,18.02,6296800
2023-04-27,16.69,17.15,16.21,16.56,12432200
2023-04-28,16.69,17.13,16.42,16.75,7080000
2023-05-01,16.49,16.85,16.36,16.72,7036500
2023-05-02,16.5,16.5,15.52,15.57,6054600
2023-05-03,15.34,15.67,15.25,15.31,9286300
2023-05-04,15.21,15.52,14.81,15.35,6935100
2023-05-05,15.87,15.92,15.49,15.56,4953600
2023-05-08,15.85,16.0,15.63,15.72,4609100
2023-05-09,15.56,16.09,15.51,15.84,4527000
2023-05-10,15.95,16.0,15.36,15.66,4299500
2023-05-11,15.35,15.4,15.01,15.12,4538000
2023-05-12,15.24,15.29,14.77,14.83,4993600
2023-05-15,14.95,15.3,14.86,15.1,6543200
2023-05-16,14.97,15.09,14.46,14.57,4381500
2023-05-17,14.75,15.1,14.6,15.0,3675600
2023-05-18,14.82,15.22,14.7,15.19,3307700
2023-05-19,15.38,15.44,14.98,15.11,3449800
2023-05-22,15.13,15.43,14.99,15.29,5052200
2023-05-23,15.37,15.66,15.19,15.52,4649200
2023-05-24,15.61,15.72,15.39,15.63,3179600
2023-05-25,15.22,15.41,15.02,15.22,5060500
2023-05-26,15.42,15.47,14.84,15.05,5213000
2023-05-30,14.73,14.84,14.36,14.61,5409400
2023-05-31,14.28,14.51,14.05,14.07,6954000
2023-06-01,14.15,15.02,14.14,14.81,3823300
2023-06-02,15.12,15.98,15.0,15.81,4003600
2023-06-05,16.0,16.14,15.38,15.49,3335000
2023-06-06,15.17,15.75,15.17,15.5,4340200
2023-06-07,15.6,15.89,15.55,15.84,4332700
2023-06-08,15.85,16.04,15.62,15.83,7684400
2023-06-09,15.73,15.89,15.44,15.48,5547900
2023-06-12,15.19,15.46,15.1,15.34,5335300
2023-06-13,15.62,15.86,15.13,15.15,6835300
2023-06-14,15.33,15.54,15.21,15.43,5751700
2023-06-15,15.35,15.96,15.35,15.85,4886300
2023-06-16,15.9,16.02,15.57,15.59,6961500
2023-06-20,15.41,15.45,15.13,15.42,4753800
2023-06-21,15.32,15.93,15.32,15.65,3503400
2023-06-22,15.47,15.47,15.13,15.4,3835900
2023-06-23,15.05,15.28,14.85,15.2,4851800
2023-06-26,15.3,15.59,15.23,15.27,3027300
2023-06-27,15.23,15.85,15.17,15.82,6694900
2023-06-28,15.69,16.03,15.47,15.8,4697800
2023-06-29,15.93,16.09,15.79,15.96,4574700
2023-06-30,16.05,16.4,15.84,16.04,5444700
2023-07-03,16.0,16.5,15.93,16.25,3145000
2023-07-05,16.45,16.45,15.96,16.1,3608000
2023-07-06,15.96,16.13,15.72,16.09,4555700
2023-07-07,16.04,17.47,16.04,17.39,6491300
2023-07-10,17.24,17.53,17.03,17.11,5675800
2023-07-11,17.2,17.99,17.06,17.95,6108000
2023-07-12,18.13,18.43,18.01,18.37,6857100
2023-07-13,18.4,18.65,18.25,18.48,4255600
2023-07-14,18.27,18.34,17.78,17.89,2740700
2023-07-17,17.73,18.28,17.68,18.16,2346200
2023-07-18,18.04,18.83,18.04,18.65,3690300
2023-07-19,18.56,18.83,18.43,18.45,4375600
2023-07-20,18.61,18.63,18.2,18.39,3078900
2023-07-21,18.38,18.63,18.16,18.44,3588400
2023-07-24,18.46,18.9,18.46,18.8,3139700
2023-07-25,18.81,19.02,18.68,18.87,3411700
2023-07-26,18.63,19.02,18.58,18.85,5210600
2023-07-27,19.56,19.89,18.27,18.53,8337700
2023-07-28,18.71,19.65,18.45,19.35,5648400
2023-07-31,19.57,20.32,19.56,20.08,7001400
2023-08-01,19.98,20.45,19.93,20.4,5764300
2023-08-02,20.23,20.44,19.93,20.02,4536900
2023-08-03,20.04,20.64,19.97,20.28,3062100
2023-08-04,20.41,20.51,20.17,20.41,3023300
