Date,Open,High,Low,Close,Volume
2023-01-13,79.99,80.68,79.36,80.52,197900
2023-01-17,80.11,80.83,77.92,78.93,359400
2023-01-18,79.05,79.2,76.96,77.27,298400
2023-01-19,77.26,77.43,76.15,76.78,350600
2023-01-20,77.28,77.28,75.14,76.71,384600
2023-01-23,77.4,78.89,76.55,78.32,456500
2023-01-24,78.06,79.23,77.09,79.05,334200
2023-01-25,80.37,83.25,80.06,81.85,1783900
2023-01-26,81.49,81.73,79.71,80.0,843200
2023-01-27,79.89,81.07,79.64,80.55,874600
2023-01-30,80.11,81.73,80.11,80.36,901300
2023-01-31,80.59,82.49,80.54,82.36,6205200
2023-02-01,81.96,83.08,81.03,82.46,804000
2023-02-02,83.16,84.26,82.83,83.9,682500
2023-02-03,83.55,83.84,81.08,82.84,623600
2023-02-06,82.77,83.9,82.02,83.77,420500
2023-02-07,83.29,83.29,81.21,82.49,1099100
2023-02-08,81.74,81.74,80.38,80.54,337400
2023-02-09,80.59,81.07,79.17,79.7,296100
2023-02-10,79.97,81.6,79.97,81.49,544900
2023-02-13,81.5,82.34,81.22,82.14,555000
2023-02-14,81.94,81.94,80.15,80.77,665800
2023-02-15,80.02,81.1,79.18,80.92,537900
2023-02-16,79.9,81.98,79.25,81.31,355600
2023-02-17,81.63,82.35,80.77,81.79,582200
2023-02-21,81.26,81.51,79.79,79.9,567700
2023-02-22,79.71,80.57,79.25,79.97,720100
2023-02-23,78.63,81.87,78.63,80.26,936300
2023-02-24,79.98,80.44,78.95,80.05,486100
2023-02-27,80.23,82.1,80.23,80.87,438900
2023-02-28,80.53,81.45,80.16,80.16,856500
2023-03-01,79.57,79.97,78.61,79.4,340000
2023-03-02,79.3,79.49,78.18,78.92,431800
2023-03-03,79.41,81.0,78.4,80.99,888800
2023-03-06,80.92,81.14,79.23,79.86,620600
2023-03-07,80.08,80.23,77.28,77.83,744500
2023-03-08,77.98,78.32,77.5,77.65,578000
2023-03-09,76.75,77.35,75.76,75.97,1025800
2023-03-10,76.19,76.19,73.77,74.34,675600
2023-03-13,73.82,76.09,73.46,74.89,576700
2023-03-14,76.12,77.04,75.49,76.25,693300
2023-03-15,75.72,77.36,75.2,77.14,449800
2023-03-16,76.71,79.18,76.62,78.58,489700
2023-03-17,78.45,78.72,77.44,78.41,886400
2023-03-20,78.87,80.17,78.58,79.53,394600
2023-03-21,79.79,79.79,77.1,77.58,660200
2023-03-22,77.78,77.78,75.55,75.62,394100
2023-03-23,75.62,76.51,74.16,74.8,435400
2023-03-24,74.86,77.04,74.25,77.02,253200
2023-03-27,77.46,78.71,77.2,77.89,326300
2023-03-28,77.63,78.62,77.21,78.32,267000
2023-03-29,78.74,79.6,78.57,78.91,242000
2023-03-30,79.3,79.66,78.61,78.99,291400
2023-03-31,79.2,79.58,78.37,79.23,379700
2023-04-03,78.83,79.44,78.14,78.47,296000
2023-04-04,78.62,79.13,78.25,78.95,230200
2023-04-05,79.29,81.8,79.15,81.53,325800
2023-04-06,82.08,82.5,81.2,82.19,307600
2023-04-10,81.93,82.69,81.29,82.68,336700
2023-04-11,82.56,83.22,82.04,82.41,291000
2023-04-12,82.58,83.35,81.81,81.95,289000
2023-04-13,81.6,81.73,79.74,81.29,310300
2023-04-14,80.83,81.05,79.27,79.62,360400
2023-04-17,79.81,80.77,79.41,80.64,231900
2023-04-18,80.69,80.69,78.06,79.4,390500
2023-04-19,79.56,80.87,79.33,80.67,352100
2023-04-20,80.79,81.4,80.38,80.59,317200
2023-04-21,81.1,81.48,80.13,80.71,301800
2023-04-24,80.8,80.99,80.19,80.63,271600
2023-04-25,80.08,80.69,79.59,80.06,416300
2023-04-26,80.0,80.22,76.94,77.1,364200
