Date,Open,High,Low,Close,Volume
2023-01-13,19.16,19.31,18.56,19.08,1215400
2023-01-17,19.27,20.02,19.19,20.01,889100
2023-01-18,20.16,20.21,18.27,18.35,1569700
2023-01-19,18.3,18.72,18.1,18.57,978100
2023-01-20,18.74,18.97,18.29,18.8,917100
2023-01-23,19.18,19.38,18.93,19.08,723600
2023-01-24,19.21,19.27,18.71,19.04,709400
2023-01-25,18.88,20.03,18.63,19.8,1206900
2023-01-26,19.95,20.51,19.44,20.49,1053400
2023-01-27,20.4,21.21,20.31,20.93,1281300
2023-01-30,20.31,20.86,19.71,20.74,860000
2023-01-31,20.83,21.59,20.69,21.35,1501100
2023-02-01,21.04,21.39,20.16,20.96,1402200
2023-02-02,20.93,21.0,19.92,20.14,1414400
2023-02-03,20.2,21.4,20.2,20.7,1263500
2023-02-06,20.58,21.0,20.26,20.69,906200
2023-02-07,20.87,21.39,20.65,21.18,715100
2023-02-08,21.19,21.85,21.14,21.64,610100
2023-02-09,21.53,21.58,20.73,20.79,772000
2023-02-10,21.1,21.42,20.99,21.35,534000
2023-02-13,21.08,21.7,20.69,21.54,812200
2023-02-14,21.17,21.96,21.01,21.33,614300
2023-02-15,20.92,21.2,20.61,21.1,1205200
2023-02-16,20.94,21.42,20.88,21.07,754600
2023-02-17,20.64,20.9,19.67,19.95,1101000
2023-02-21,19.9,20.36,19.58,19.64,1124200
2023-02-22,19.5,19.71,18.28,18.51,1518200
2023-02-23,18.96,19.37,18.77,19.14,1282100
2023-02-24,18.79,19.82,18.05,19.79,1984400
2023-02-27,19.98,21.57,19.94,21.49,1596500
2023-02-28,21.75,21.91,20.74,20.89,1520100
2023-03-01,20.84,21.44,20.72,21.34,750700
2023-03-02,21.53,21.92,21.31,21.78,1037000
2023-03-03,21.45,22.26,21.32,22.11,701100
2023-03-06,22.03,22.1,21.35,21.7,1277100
2023-03-07,21.55,21.7,21.0,21.26,923000
2023-03-08,21.16,21.33,20.63,21.02,748800
2023-03-09,21.29,21.44,19.43,19.49,1240600
2023-03-10,19.45,19.74,18.88,19.04,983200
2023-03-13,18.1,18.72,17.7,17.84,1224800
2023-03-14,18.25,18.77,17.61,18.09,977500
2023-03-15,17.01,17.46,16.41,16.87,1462400
2023-03-16,16.27,17.38,16.14,17.16,970300
2023-03-17,16.87,16.91,16.35,16.55,2918900
2023-03-20,16.78,17.3,16.78,17.07,1289000
2023-03-21,17.88,18.18,17.6,17.79,1045200
2023-03-22,17.79,17.79,16.94,16.94,1093500
2023-03-23,17.18,17.36,16.2,16.43,1198800
2023-03-24,15.95,16.38,15.75,16.19,870500
2023-03-27,16.63,17.18,16.27,17.02,767000
2023-03-28,16.73,17.65,16.73,17.48,698000
2023-03-29,17.82,17.82,17.25,17.54,485400
2023-03-30,17.71,17.77,17.35,17.45,734900
