Date,Open,High,Low,Close,Volume
2023-01-13,19.35,19.66,19.29,19.5,860300
2023-01-17,19.44,19.53,18.85,18.95,932400
2023-01-18,18.99,19.05,18.47,18.47,1191800
2023-01-19,18.44,18.85,18.28,18.62,926700
2023-01-20,18.77,19.13,18.58,18.92,852000
2023-01-23,18.93,19.12,18.8,18.94,658700
2023-01-24,18.92,19.02,18.7,18.76,529600
2023-01-25,18.59,18.92,18.45,18.83,511600
2023-01-26,18.92,19.48,18.79,19.04,1260100
2023-01-27,18.91,19.23,18.82,18.87,655700
2023-01-30,18.67,19.05,18.62,18.76,1047700
2023-01-31,18.9,19.27,18.89,19.25,1237500
2023-02-01,21.1,22.34,20.25,21.63,4589100
2023-02-02,22.38,23.24,22.13,22.6,2758500
2023-02-03,22.62,23.52,22.53,23.05,2229800
2023-02-06,22.96,23.04,22.28,22.63,1784700
2023-02-07,22.54,22.68,21.95,22.3,1345900
2023-02-08,22.16,22.34,21.83,22.21,1452300
2023-02-09,22.37,22.42,21.93,22.04,1012900
2023-02-10,21.93,22.07,21.52,21.75,995500
2023-02-13,21.88,22.21,21.63,21.87,1071300
2023-02-14,21.77,22.22,21.67,21.91,755600
2023-02-15,21.74,22.36,21.66,22.3,658700
2023-02-16,21.9,22.43,21.82,22.14,535700
2023-02-17,22.42,22.42,21.88,22.01,688300
2023-02-21,21.76,21.89,21.46,21.49,615800
2023-02-22,21.59,21.78,21.23,21.56,1096000
2023-02-23,21.69,21.89,21.28,21.68,1720300
2023-02-24,21.32,21.98,21.26,21.9,2047200
2023-02-27,22.12,22.27,21.98,22.09,669000
2023-02-28,22.06,22.54,22.06,22.22,1978300
2023-03-01,22.15,22.44,21.97,22.3,886700
2023-03-02,22.37,23.51,22.32,23.25,1619000
2023-03-03,23.26,23.5,22.86,23.44,760500
2023-03-06,23.08,23.14,22.56,22.65,995000
2023-03-07,22.62,22.81,22.49,22.69,1397500
2023-03-08,22.75,22.76,22.28,22.71,889800
2023-03-09,22.71,22.9,21.9,21.96,1426000
2023-03-10,21.8,21.89,21.03,21.17,1037300
2023-03-13,20.6,21.1,20.47,20.86,1813200
2023-03-14,21.4,21.85,21.16,21.41,961100
2023-03-15,20.74,21.15,20.6,21.1,1920000
2023-03-16,20.72,21.91,20.64,21.75,1506300
2023-03-17,21.63,21.85,20.97,20.99,4070800
2023-03-20,21.41,22.03,21.24,21.72,861000
2023-03-21,22.3,22.48,21.78,21.96,1515800
2023-03-22,22.0,22.24,21.61,21.64,737800
2023-03-23,21.71,21.97,21.13,21.3,677500
2023-03-24,20.85,21.24,20.74,21.2,851100
2023-03-27,21.38,21.82,21.2,21.72,740700
2023-03-28,21.65,22.08,21.53,21.9,615100
2023-03-29,22.26,22.35,21.79,21.83,907300
2023-03-30,22.13,22.55,21.94,22.55,937300
2023-03-31,22.75,22.89,22.47,22.71,1079900
2023-04-03,22.69,23.05,22.42,22.94,929200
2023-04-04,22.83,22.94,22.03,22.46,1153600
2023-04-05,22.56,22.79,22.1,22.52,818800
2023-04-06,22.6,22.6,21.98,22.08,857100
2023-04-10,22.08,22.53,21.94,22.02,1206200
2023-04-11,22.18,22.72,22.18,22.59,826300
2023-04-12,22.65,22.8,22.28,22.6,738300
2023-04-13,22.66,22.86,22.31,22.65,809900
2023-04-14,22.62,22.97,22.36,22.48,1139000
2023-04-17,22.66,22.76,22.14,22.55,458000
2023-04-18,22.56,22.57,21.74,22.04,1165400
2023-04-19,22.03,22.42,21.79,22.32,1433500
2023-04-20,22.57,22.64,21.81,21.88,971700
2023-04-21,21.8,21.8,21.29,21.56,895300
2023-04-24,21.61,21.86,21.34,21.42,1048600
2023-04-25,20.86,21.22,20.68,21.05,1260900
2023-04-26,23.09,23.09,21.06,21.14,2702700
2023-04-27,21.97,22.79,21.75,22.65,1386600
2023-04-28,22.51,22.7,22.29,22.47,969700
2023-05-01,22.75,22.99,22.44,22.47,956300
2023-05-02,22.34,22.34,21.49,22.11,747800
2023-05-03,22.12,22.25,21.46,21.52,872400
2023-05-04,21.42,21.63,21.17,21.32,638700
2023-05-05,21.48,21.92,21.25,21.75,901300
2023-05-08,21.83,21.83,21.27,21.51,617100
2023-05-09,21.47,21.53,21.24,21.33,703400
2023-05-10,21.5,21.6,20.79,20.95,898000
2023-05-11,20.83,20.95,20.66,20.89,661900
2023-05-12,20.95,21.15,20.69,20.96,580900
2023-05-15,21.07,21.19,20.92,21.13,625400
2023-05-16,21.11,21.15,20.78,20.92,741100
2023-05-17,21.12,21.66,21.02,21.48,1027000
2023-05-18,21.4,21.63,20.98,21.55,1009000
2023-05-19,22.13,22.22,21.59,21.88,799700
2023-05-22,21.87,22.24,21.82,22.14,724000
2023-05-23,21.94,22.47,21.77,22.08,861300
2023-05-24,21.84,21.95,21.47,21.61,678100
2023-05-25,21.51,21.75,21.3,21.75,640900
2023-05-26,21.84,22.1,21.67,21.9,696400
2023-05-30,21.78,21.88,21.33,21.44,667600
2023-05-31,21.36,21.5,20.4,20.72,959800
2023-06-01,20.66,21.1,20.54,20.84,614500
2023-06-02,21.32,22.01,21.3,21.99,927500
2023-06-05,21.66,21.87,20.99,21.63,950600
2023-06-06,21.52,22.12,21.52,21.97,811800
2023-06-07,22.15,22.74,22.01,22.37,1348000
2023-06-08,22.32,22.32,21.35,21.42,1713200
2023-06-09,21.24,21.47,20.86,20.88,1002400
2023-06-12,20.81,21.2,20.61,21.15,1128800
2023-06-13,21.11,21.73,21.08,21.44,1022300
2023-06-14,21.49,21.57,20.1,20.86,1468200
2023-06-15,20.75,21.14,20.6,21.11,898800
2023-06-16,21.53,21.72,20.64,20.94,2920800
2023-06-20,20.72,20.99,20.53,20.81,787100
2023-06-21,20.72,21.01,20.52,20.85,719100
2023-06-22,20.86,21.11,20.46,21.02,1075200
2023-06-23,20.62,21.01,20.15,20.16,2228900
2023-06-26,20.28,20.66,20.28,20.4,1073800
2023-06-27,20.34,21.0,20.26,20.69,1018300
2023-06-28,20.56,20.72,20.41,20.64,673300
2023-06-29,20.57,21.08,20.51,21.01,654000
2023-06-30,21.17,21.45,21.01,21.33,1143200
2023-07-03,21.29,21.98,21.29,21.91,487400
2023-07-05,21.67,21.67,21.13,21.17,778200
2023-07-06,21.04,21.04,20.57,20.96,588500
2023-07-07,20.92,21.66,20.87,21.42,694200
2023-07-10,20.99,21.55,20.99,21.21,693000
2023-07-11,21.4,21.82,21.26,21.77,932600
2023-07-12,22.23,22.29,21.94,22.18,724900
2023-07-13,22.18,22.66,22.11,22.59,1023600
2023-07-14,22.44,22.71,22.28,22.68,742800
2023-07-17,22.53,22.8,22.48,22.74,660700
2023-07-18,22.75,23.4,22.71,23.19,789300
2023-07-19,23.23,23.38,22.96,23.35,773600
2023-07-20,23.4,23.4,22.75,23.06,591600
2023-07-21,23.16,23.23,22.87,22.99,753700
2023-07-24,22.98,23.11,22.73,22.94,513000
2023-07-25,22.89,23.57,22.81,23.36,652200
