Date,Open,High,Low,Close,Volume
2023-01-13,54.98,57.35,54.97,57.06,356200
2023-01-17,56.91,57.78,56.05,57.59,716400
2023-01-18,58.05,58.65,54.83,54.86,521400
2023-01-19,54.46,56.31,53.17,55.88,483600
2023-01-20,56.18,56.64,54.38,56.0,461100
2023-01-23,56.25,58.08,56.0,57.81,414600
2023-01-24,57.29,58.31,52.79,52.95,416000
2023-01-25,52.44,54.53,51.82,54.45,363000
2023-01-26,55.0,55.92,54.61,55.8,315300
2023-01-27,56.09,57.67,55.95,57.54,358300
2023-01-30,56.67,57.17,55.0,55.09,528000
2023-01-31,55.25,56.02,55.09,55.47,457800
2023-02-01,55.12,57.41,54.99,57.05,508700
2023-02-02,57.61,60.45,57.04,60.43,842800
2023-02-03,59.03,59.96,56.9,57.33,437500
2023-02-06,56.75,56.93,55.25,55.38,265200
2023-02-07,55.36,58.47,54.52,58.26,451600
2023-02-08,57.55,58.06,56.8,57.46,299600
2023-02-09,58.13,58.37,54.12,54.22,457400
2023-02-10,53.73,55.4,53.2,55.1,407000
2023-02-13,54.93,55.52,53.98,54.19,360700
2023-02-14,53.39,54.46,52.2,52.43,472800
2023-02-15,52.26,55.31,52.05,55.25,551100
2023-02-16,53.96,56.02,53.29,54.43,382000
2023-02-17,54.53,54.53,52.98,54.01,303800
2023-02-21,53.0,53.37,51.51,51.63,450300
2023-02-22,52.18,53.6,51.59,53.15,449100
2023-02-23,53.86,53.99,52.54,53.31,356500
2023-02-24,51.92,53.19,51.64,52.98,390800
2023-02-27,55.09,55.09,52.16,52.96,429800
2023-02-28,52.67,55.11,52.37,54.44,858500
2023-03-01,55.55,59.19,55.55,57.14,1251200
2023-03-02,56.16,58.25,54.56,57.44,727300
2023-03-03,57.27,57.86,56.13,56.46,504800
2023-03-06,56.61,57.24,54.62,54.72,370000
2023-03-07,54.76,55.62,53.6,53.7,304500
2023-03-08,53.77,56.08,53.77,55.83,462900
2023-03-09,55.79,56.36,52.68,52.93,433500
2023-03-10,52.61,52.84,50.62,51.51,580600
2023-03-13,50.72,52.48,50.0,52.16,390700
2023-03-14,53.06,54.56,52.45,54.04,661400
2023-03-15,53.13,55.41,51.77,55.26,495900
2023-03-16,54.68,57.13,54.28,56.97,478200
2023-03-17,57.15,57.39,55.45,55.6,811800
2023-03-20,55.87,57.04,55.02,56.53,358500
