Date,Open,High,Low,Close,Volume
2023-01-13,29.1,29.59,28.8,28.94,758400
2023-01-17,28.79,29.82,28.51,29.02,1264300
2023-01-18,29.04,29.3,28.36,28.36,1622200
2023-01-19,28.43,29.02,28.15,28.68,1026200
2023-01-20,28.99,28.99,27.82,27.99,1197100
2023-01-23,28.0,28.53,27.11,28.34,1844300
2023-01-24,28.34,28.47,27.85,28.06,1279200
2023-01-25,28.0,28.6,27.81,28.57,688400
2023-01-26,28.78,28.78,28.36,28.75,556900
2023-01-27,28.63,28.9,28.23,28.64,598600
2023-01-30,28.65,29.0,28.26,28.27,739100
2023-01-31,28.34,28.95,28.34,28.87,740200
2023-02-01,28.87,29.43,28.54,29.18,774900
2023-02-02,29.2,29.54,29.03,29.26,1031000
2023-02-03,29.34,29.43,28.53,28.7,664800
2023-02-06,28.67,28.84,27.6,27.68,645800
2023-02-07,27.57,28.33,27.23,28.27,885100
2023-02-08,28.13,28.81,28.04,28.67,953700
2023-02-09,28.79,29.19,28.74,28.77,700300
2023-02-10,28.92,29.24,28.78,29.07,836500
2023-02-13,29.1,29.32,28.78,28.9,653500
2023-02-14,28.93,29.19,28.52,28.62,597300
2023-02-15,28.58,29.19,28.38,29.1,1005600
2023-02-16,28.91,29.86,28.74,29.3,1929200
2023-02-17,29.41,29.54,29.1,29.38,776700
2023-02-21,29.03,29.15,28.61,28.63,888200
2023-02-22,28.72,29.01,28.56,28.86,1030800
2023-02-23,30.58,32.12,30.14,31.9,3705200
2023-02-24,31.78,31.89,30.72,30.91,1575800
2023-02-27,30.95,32.07,30.66,30.82,1177700
2023-02-28,30.55,30.95,30.28,30.67,1197700
2023-03-01,30.49,31.38,30.11,31.29,1063400
2023-03-02,31.78,32.49,31.34,32.07,6364200
2023-03-03,32.16,33.31,31.91,33.17,7147100
2023-03-06,32.9,33.23,32.36,32.55,3110600
2023-03-07,32.65,32.82,32.03,32.3,1301900
2023-03-08,32.3,32.58,31.97,32.19,1040100
2023-03-09,32.24,32.41,31.62,31.72,984100
2023-03-10,31.58,31.63,30.51,30.63,1259700
2023-03-13,30.41,30.94,29.82,30.57,1856800
2023-03-14,31.19,31.79,30.83,31.76,1380000
2023-03-15,31.07,31.26,30.53,31.09,1155100
2023-03-16,30.84,31.85,30.51,31.55,815900
2023-03-17,31.53,31.53,30.95,31.14,1825800
2023-03-20,31.29,31.35,30.74,31.11,973500
2023-03-21,31.51,31.96,31.17,31.9,855000
2023-03-22,31.86,31.94,31.04,31.06,724600
2023-03-23,31.15,31.29,30.54,30.99,1456800
2023-03-24,30.86,31.68,30.47,31.57,922600
2023-03-27,31.89,31.94,31.49,31.56,812100
2023-03-28,31.43,31.78,31.29,31.65,975700
2023-03-29,32.0,32.0,31.47,31.79,1808400
