Date,Open,High,Low,Close,Volume
2023-01-13,63.09,63.53,62.53,62.99,104600
2023-01-17,63.11,63.91,61.99,61.99,131900
2023-01-18,62.17,62.67,60.93,61.23,172300
2023-01-19,61.25,61.99,61.09,61.33,163100
2023-01-20,61.54,61.74,60.73,61.72,154500
2023-01-23,61.83,62.64,61.29,61.67,95100
2023-01-24,61.67,62.66,61.13,61.99,89900
2023-01-25,61.77,62.26,61.37,62.22,130300
2023-01-26,62.52,62.52,61.55,61.93,182900
2023-01-27,61.93,62.82,61.72,62.68,105100
2023-01-30,62.58,63.49,62.32,62.52,86800
2023-01-31,62.52,64.31,62.49,64.15,135000
2023-02-01,63.29,65.82,63.29,65.09,134400
2023-02-02,65.25,66.2,65.06,66.14,167200
2023-02-03,65.6,66.26,64.21,66.11,187200
2023-02-06,66.11,66.29,64.38,65.41,155500
2023-02-07,65.0,65.25,64.05,64.67,169200
2023-02-08,64.42,64.74,63.27,63.52,127900
2023-02-09,63.93,64.33,62.94,63.12,141100
2023-02-10,63.12,64.2,62.95,64.01,156200
2023-02-13,63.65,64.33,63.1,64.14,134100
2023-02-14,63.59,63.63,61.05,61.17,200700
2023-02-15,60.87,62.02,60.2,61.49,162500
2023-02-16,60.92,62.78,60.69,62.75,205700
2023-02-17,67.98,72.99,67.14,71.22,1710200
2023-02-21,70.61,72.34,68.56,69.66,1192800
2023-02-22,69.93,72.94,69.36,72.0,9929000
2023-02-23,71.72,72.19,70.05,70.61,1179900
2023-02-24,70.1,71.57,69.57,70.93,516600
2023-02-27,70.82,71.85,70.23,71.05,331100
2023-02-28,70.65,72.28,70.41,70.89,417700
2023-03-01,70.44,70.91,69.53,70.4,430800
2023-03-02,70.15,72.29,69.96,71.92,330600
2023-03-03,72.57,73.05,71.23,72.7,325400
2023-03-06,72.7,72.7,71.28,71.91,303800
2023-03-07,72.17,72.6,70.86,71.45,300200
2023-03-08,71.45,71.96,70.99,71.56,227700
2023-03-09,71.31,71.9,70.61,70.67,241100
2023-03-10,70.9,71.51,68.56,68.99,315000
2023-03-13,68.62,70.09,67.55,67.98,363100
2023-03-14,69.18,70.69,68.92,69.53,194900
2023-03-15,68.84,69.59,68.19,69.07,294100
2023-03-16,68.55,70.17,68.17,70.03,220900
2023-03-17,69.41,70.08,68.89,69.91,1182100
2023-03-20,70.25,71.81,70.25,70.86,273800
2023-03-21,71.3,71.35,69.35,70.4,269800
2023-03-22,70.17,70.26,68.55,68.62,248900
2023-03-23,68.65,69.61,68.09,68.56,155400
2023-03-24,68.46,70.26,68.17,70.26,214500
2023-03-27,71.0,71.83,70.33,71.48,166900
2023-03-28,71.52,71.71,70.63,71.2,122300
2023-03-29,71.62,71.9,71.14,71.57,148300
2023-03-30,72.09,72.42,71.76,72.02,98400
2023-03-31,72.67,72.79,71.77,72.27,235400
2023-04-03,72.08,72.08,70.53,70.69,194700
2023-04-04,70.94,70.94,69.28,69.64,164600
2023-04-05,69.7,70.54,69.1,70.45,141600
2023-04-06,70.84,71.15,69.81,70.41,207900
2023-04-10,69.81,72.07,69.81,71.81,230700
2023-04-11,71.98,73.43,71.77,73.18,193700
2023-04-12,73.63,74.57,73.36,74.03,183300
2023-04-13,73.93,74.49,72.94,74.4,180400
2023-04-14,74.2,74.41,73.16,73.68,142200
2023-04-17,73.92,74.25,72.46,73.11,141300
2023-04-18,73.12,73.52,72.38,72.67,128300
2023-04-19,72.82,73.6,72.75,73.52,94900
2023-04-20,73.33,73.89,73.17,73.79,121100
2023-04-21,74.11,74.43,73.34,73.99,133400
2023-04-24,73.75,74.24,73.47,73.53,114300
2023-04-25,73.29,73.85,72.56,72.84,137400
2023-04-26,72.35,72.35,70.76,70.87,162900
2023-04-27,71.1,72.1,70.04,71.79,138100
2023-04-28,71.61,72.86,71.61,71.95,133400
2023-05-01,71.62,73.06,71.62,72.52,219100
2023-05-02,74.0,77.54,73.56,77.14,447200
2023-05-03,75.6,77.59,75.42,76.79,357300
2023-05-04,76.83,77.71,75.37,77.2,239600
2023-05-05,77.4,78.94,77.26,78.5,156800
2023-05-08,78.5,78.91,77.67,78.46,107200
2023-05-09,78.31,78.82,78.12,78.31,119500
2023-05-10,78.85,79.08,77.38,78.74,100900
2023-05-11,78.39,78.64,77.42,77.74,112700
2023-05-12,77.65,77.98,77.0,77.6,88900
2023-05-15,77.77,77.91,76.81,77.45,120000
2023-05-16,77.5,77.8,76.9,77.12,105100
2023-05-17,77.28,77.3,75.9,76.01,261500
2023-05-18,75.8,76.22,75.12,75.75,279600
