Date,Open,High,Low,Close,Volume
2023-01-13,19.3033,19.6516,19.1701,19.5697,678222
2023-01-17,19.6004,19.7541,19.4672,19.5184,571546
2023-01-18,19.6004,19.7848,19.1189,19.1496,1414517
2023-01-19,18.9344,18.9959,18.4324,18.4426,946915
2023-01-20,18.5348,18.9754,18.248,18.9242,2123483
2023-01-23,18.8422,19.3852,18.75,19.0779,1759630
2023-01-24,19.2316,19.375,18.9857,19.2418,827062
2023-01-25,19.0471,19.2725,18.9037,19.1496,1375574
2023-01-26,19.3545,19.6824,19.1086,19.6721,1221074
2023-01-27,19.5492,19.7951,19.2623,19.6209,2991147
2023-01-30,19.3545,19.7439,19.2828,19.3852,929933
2023-01-31,19.4672,20.4201,19.4057,20.3893,1434720
2023-02-01,20.2459,20.9529,20.1844,20.8094,1283635
2023-02-02,21.1066,22.1824,20.9631,21.5266,2070682
2023-02-03,21.1885,21.6803,21.0143,21.5369,2134707
2023-02-06,21.2398,21.4652,21.1578,21.2295,932470
2023-02-07,21.0758,21.4754,20.8402,21.332,702037
2023-02-08,21.0758,21.2705,20.7684,20.7889,965557
2023-02-09,21.0553,21.2295,20.5943,20.625,940962
2023-02-10,20.4098,20.5225,19.9385,20.1127,1298666
2023-02-13,20.1025,20.1639,19.918,19.959,870299
2023-02-14,19.7746,20.0615,19.5697,19.9078,2322880
2023-02-15,19.6721,20.0615,19.6721,20.0512,1172957
2023-02-16,19.5902,19.7848,19.416,19.5799,1475810
2023-02-17,19.5287,19.7029,19.2828,19.6516,1548034
2023-02-21,19.3852,19.416,18.9447,19.2008,1781298
2023-02-22,19.2623,19.457,18.9652,19.0266,1644560
2023-02-23,18.6475,18.9857,17.7357,18.1762,4085243
2023-02-24,17.8176,17.9611,17.2746,17.5102,3043558
2023-02-27,17.7664,18.1762,17.7152,18.0738,1903590
2023-02-28,18.0328,18.3607,17.8791,17.8791,1660469
2023-03-01,17.7766,17.9713,17.7152,17.8381,1671010
2023-03-02,17.3463,17.623,17.2131,17.5717,1718736
2023-03-03,17.7357,17.9406,17.6742,17.8176,1473467
2023-03-06,17.7766,17.9098,17.4693,17.5307,1432963
2023-03-07,17.5205,17.7357,17.3258,17.3361,2995832
2023-03-08,17.4385,17.6434,17.2541,17.5307,959506
2023-03-09,17.541,17.5717,16.8443,16.8852,2009877
2023-03-10,16.8033,16.875,16.1988,16.291,2087762
2023-03-13,16.0041,16.6598,15.9221,16.3934,2065997
2023-03-14,16.875,17.1414,16.1475,16.3525,1837515
2023-03-15,15.8811,16.1885,15.6762,15.9529,2364750
2023-03-16,15.8299,15.8607,15.4098,15.8094,1895587
2023-03-17,15.5533,15.6865,15.3381,15.4303,3160874
2023-03-20,15.6352,15.8709,15.5123,15.543,1406709
2023-03-21,15.7787,16.1578,15.707,16.0861,1966542
2023-03-22,16.0246,16.0246,15.2971,15.3176,1388653
2023-03-23,15.4201,15.6352,15.082,15.123,2060726
2023-03-24,15.0307,15.5635,14.9078,15.5533,1375867
2023-03-27,15.8402,15.8811,15.2152,15.2459,2027054
2023-03-28,15.1025,15.5123,15.0,15.4508,1510360
2023-03-29,15.748,15.8607,15.4713,15.6865,850291
2023-03-30,15.8914,16.0553,15.748,16.0348,1528123
2023-03-31,16.25,16.6496,16.209,16.6291,3190446
2023-04-03,16.5984,16.6189,16.1373,16.4447,1600738
2023-04-04,16.5676,16.5881,16.0143,16.3115,2411403
2023-04-05,16.1475,16.3115,16.0656,16.127,2340838
2023-04-06,16.2807,16.3217,16.0041,16.0451,943597
2023-04-10,15.9426,16.3012,15.8504,16.209,1110786
2023-04-11,16.291,16.8545,16.2193,16.6598,1991333
2023-04-12,16.834,16.8545,16.3012,16.3525,1125816
2023-04-13,16.3934,16.6598,16.25,16.5369,1782566
2023-04-14,16.6189,16.7316,16.127,16.4139,2105232
2023-04-17,16.3832,16.9467,16.3115,16.793,1601226
2023-04-18,16.8135,16.9057,16.5984,16.7828,1211118
2023-04-19,16.6496,16.9262,16.5471,16.8238,1629334
2023-04-20,16.6291,16.8033,16.3217,16.4447,950136
2023-04-21,16.5471,16.6701,16.3012,16.5266,679003
2023-04-24,16.7213,16.9775,16.5779,16.9057,1170126
2023-04-25,16.7213,16.8135,16.5471,16.5984,1865234
2023-04-26,16.5881,16.7213,16.2295,16.2807,1291346
2023-04-27,16.4139,16.7418,16.1783,16.7008,961360
2023-04-28,16.6291,17.1107,16.6291,17.0697,1409442
2023-05-01,17.0492,17.4385,17.0184,17.2234,1890610
2023-05-02,17.0594,17.1209,16.6701,16.957,2616656
2023-05-03,17.1516,17.2131,16.6496,16.6803,1969666
2023-05-04,15.9836,16.1373,14.8361,15.4201,4800358
2023-05-05,15.6865,15.7275,15.1332,15.2971,4351984
2023-05-08,15.3586,15.4098,15.0512,15.123,1830195
2023-05-09,14.9283,15.1434,14.6619,15.1127,3140280
2023-05-10,15.3893,15.4611,14.9078,15.0717,2407792
2023-05-11,14.8668,14.8873,14.6209,14.6619,3141744
2023-05-12,14.7029,14.8873,14.416,14.5389,2827472
2023-05-15,14.6004,14.8156,14.4672,14.7746,958042
2023-05-16,14.6209,14.7951,14.3443,14.3443,982344
2023-05-17,14.4365,14.9898,14.3648,14.8668,1478445
2023-05-18,14.7336,15.1947,14.7029,15.0,1512410
2023-05-19,15.2049,15.3176,14.9283,15.082,2630418
2023-05-22,15.1127,15.1127,14.8053,14.9283,1671010
2023-05-23,14.9078,15.1537,14.8361,14.8566,2687318
2023-05-24,14.7234,14.7643,14.3033,14.3545,1839272
2023-05-25,14.2725,14.5492,14.2111,14.4365,2907894
2023-05-26,14.3852,14.7336,14.3238,14.6824,1907104
2023-05-30,14.7951,14.8975,14.5902,14.8053,967704
2023-05-31,14.6721,14.8258,14.4467,14.6721,2954059
2023-06-01,14.3238,14.4775,14.1598,14.416,1972203
2023-06-02,14.7439,15.1947,14.5184,15.1639,1321016
2023-06-05,14.8873,15.0512,14.7848,14.9078,944280
2023-06-06,14.9795,15.1844,14.9385,15.0615,2207712
2023-06-07,15.2561,15.5943,15.1947,15.5533,1995042
2023-06-08,15.4918,15.6557,15.2459,15.5738,1636947
2023-06-09,15.5738,15.5738,15.4406,15.5225,1594003
2023-06-12,15.5328,15.7275,15.4201,15.4303,2108746
2023-06-13,15.4508,15.9016,15.4508,15.625,3470656
2023-06-14,15.7275,15.9016,15.6557,15.8299,1900077
2023-06-15,15.7992,16.0348,15.5225,16.0246,1274754
2023-06-16,16.0963,16.168,15.9016,16.1578,2747733
2023-06-20,16.0143,16.0963,15.7172,15.7684,1998555
2023-06-21,15.6148,15.7172,15.3586,15.4611,1257674
2023-06-22,15.4508,15.4508,14.9283,15.0102,1183400
2023-06-23,14.7234,14.877,14.5594,14.5799,4575195
2023-06-26,14.5287,15.2049,14.5082,15.1434,1039928
2023-06-27,15.2254,15.6455,15.041,15.4918,772602
2023-06-28,15.4201,15.7275,15.3074,15.7172,691301
2023-06-29,15.707,16.1475,15.6967,16.0348,1320723
2023-06-30,16.1988,16.25,15.8811,16.1066,1706926
2023-07-03,16.0963,16.4549,16.0963,16.2398,1655882
2023-07-05,16.1066,16.209,15.9631,15.9836,1127866
2023-07-06,15.7172,15.8402,15.502,15.7787,1007037
2023-07-07,15.6762,16.127,15.6762,15.8709,1144653
2023-07-10,15.748,16.0963,15.748,16.0348,1143677
2023-07-11,16.127,16.3627,16.0553,16.3217,698133
2023-07-12,16.6906,16.7111,16.4652,16.5061,843362
2023-07-13,16.5471,16.752,16.5164,16.6189,1782566
2023-07-14,16.5266,16.6598,16.2295,16.6496,1205067
2023-07-17,16.5369,16.6496,16.3422,16.3934,1407099
2023-07-18,16.4652,16.7213,16.373,16.5984,759718
2023-07-19,16.7418,16.8443,16.5779,16.6803,1959710
2023-07-20,16.6496,16.6496,16.3832,16.4344,2081710
2023-07-21,16.5164,16.5471,15.5943,15.625,3343678
2023-07-24,15.625,15.7889,15.3893,15.6865,2422139
2023-07-25,15.625,15.6352,15.2766,15.3689,2364555
2023-07-26,15.3996,15.7992,15.3893,15.666,1604056
2023-07-27,15.7377,15.7684,15.0922,15.1537,880547
2023-07-28,15.3586,15.625,15.3484,15.6148,1051250
2023-07-31,15.6967,15.8504,15.5943,15.8402,1072136
2023-08-01,15.8607,15.8914,15.4918,15.8197,1217365
2023-08-02,15.5635,15.6148,15.0512,15.1127,2190339
2023-08-03,14.8053,14.9078,14.2725,14.8668,2431411
2023-08-04,12.0697,12.8381,11.8238,12.4385,8926984
2023-08-07,12.5512,12.6025,11.8648,12.4283,4249602
2023-08-08,12.1926,12.2029,11.8033,11.8852,3582213
2023-08-09,11.8648,12.418,11.6393,12.2951,4456318
2023-08-10,12.3873,12.4283,12.1209,12.1824,2766082
2023-08-11,12.0389,12.2746,11.8135,11.916,2711133
2023-08-14,11.7418,11.834,11.3832,11.5164,2708498
2023-08-15,11.3115,11.5369,11.291,11.3217,2732605
2023-08-16,11.2705,11.7316,11.1373,11.5061,3418733
2023-08-17,11.5061,11.6086,11.2602,11.2602,2651206
2023-08-18,11.168,11.4857,11.127,11.3422,3451819
