Date,Open,High,Low,Close,Volume
2023-01-13,118.85,119.5,116.11,118.65,272200
2023-01-17,114.71,117.96,114.34,115.94,509100
2023-01-18,116.74,118.78,115.05,115.18,271900
2023-01-19,114.97,115.37,112.31,115.14,407000
2023-01-20,116.04,117.82,114.69,117.69,283000
2023-01-23,118.08,119.09,117.1,117.73,242400
2023-01-24,118.7,118.7,115.74,116.79,199100
2023-01-25,118.61,120.22,116.93,120.15,291200
2023-01-26,120.82,122.67,119.61,122.57,219500
2023-01-27,123.11,125.06,122.31,124.69,302300
2023-01-30,123.93,127.12,123.93,124.61,243000
2023-01-31,125.43,128.03,125.07,127.82,335800
2023-02-01,127.65,131.67,126.7,130.72,288500
2023-02-02,131.64,138.97,131.64,138.46,772500
2023-02-03,136.17,140.04,135.76,138.36,453000
2023-02-06,137.78,138.36,135.8,137.12,371800
2023-02-07,135.63,136.85,133.6,134.81,633200
2023-02-08,140.44,140.44,130.46,136.44,685400
2023-02-09,137.66,140.91,136.56,139.2,476500
2023-02-10,138.8,140.43,137.24,140.08,371600
2023-02-13,140.19,143.32,139.46,142.46,317000
2023-02-14,142.23,146.34,141.43,146.1,508200
2023-02-15,143.62,146.81,141.97,146.69,433600
2023-02-16,144.93,149.4,144.93,147.36,375300
2023-02-17,151.0,155.36,149.38,154.67,550300
2023-02-21,151.0,152.49,145.11,145.16,423700
2023-02-22,144.71,150.45,144.71,147.6,386900
2023-02-23,147.6,148.3,144.34,145.81,361200
2023-02-24,143.72,145.16,142.45,143.83,237700
2023-02-27,145.06,146.5,143.98,144.91,186000
2023-02-28,145.12,147.4,144.15,144.15,230300
2023-03-01,143.23,145.95,142.58,144.72,235500
2023-03-02,144.22,144.35,141.74,143.63,348100
2023-03-03,144.61,145.03,143.21,144.57,349000
2023-03-06,144.4,145.81,141.65,141.84,389600
2023-03-07,141.75,144.8,141.75,144.18,493900
2023-03-08,144.53,147.6,144.02,145.15,300700
2023-03-09,145.06,147.86,145.06,145.52,574900
2023-03-10,144.45,144.48,139.16,141.85,556600
2023-03-13,138.38,140.17,136.46,137.05,598100
2023-03-14,140.11,140.55,133.95,134.79,451500
2023-03-15,130.57,132.94,128.37,132.76,528500
2023-03-16,130.56,135.28,129.98,135.06,416100
2023-03-17,133.46,133.46,129.43,130.09,689900
2023-03-20,131.79,136.02,131.38,133.87,326200
2023-03-21,137.09,138.7,135.89,136.05,318000
2023-03-22,137.32,137.51,133.03,133.15,260900
2023-03-23,133.73,135.39,130.13,131.81,282000
2023-03-24,130.29,133.37,128.53,132.82,278500
2023-03-27,134.69,135.34,133.21,134.35,172600
2023-03-28,133.9,136.36,133.9,134.75,141000
2023-03-29,135.36,137.3,134.28,136.82,221900
2023-03-30,138.58,140.07,137.89,139.39,183200
2023-03-31,140.39,141.91,140.2,141.81,202300
2023-04-03,141.81,143.31,141.51,143.24,292900
2023-04-04,143.9,144.0,139.38,140.53,265400
2023-04-05,139.43,139.43,135.95,137.71,289500
2023-04-06,137.31,138.3,135.31,135.49,200500
2023-04-10,134.37,138.34,133.75,136.69,275100
2023-04-11,138.36,142.77,138.36,141.59,328600
2023-04-12,142.89,142.93,138.45,140.0,391600
2023-04-13,141.16,141.16,137.51,139.85,286200
2023-04-14,140.29,142.77,139.48,142.66,354200
2023-04-17,142.51,142.55,140.4,142.26,251900
2023-04-18,143.39,145.29,142.91,144.34,236800
2023-04-19,142.23,144.06,139.53,143.12,319300
2023-04-20,141.83,144.29,140.17,141.06,318600
2023-04-21,141.21,142.1,139.82,140.59,367500
2023-04-24,140.0,143.03,139.96,141.5,328500
2023-04-25,140.51,141.3,135.94,136.9,367100
2023-04-26,138.13,139.1,133.82,135.88,536000
2023-04-27,135.29,139.0,134.77,138.16,383900
2023-04-28,138.0,140.24,137.44,138.58,410800
2023-05-01,138.69,145.23,138.07,142.78,432800
2023-05-02,141.75,143.04,137.67,141.46,461100
2023-05-03,141.83,143.08,136.42,136.48,353600
2023-05-04,135.5,136.02,133.72,135.19,336100
2023-05-05,136.28,139.31,136.28,139.01,304600
2023-05-08,139.79,140.96,138.57,139.71,293600
2023-05-09,139.08,142.12,137.77,140.48,375800
2023-05-10,142.23,143.15,139.82,140.79,324000
2023-05-11,139.93,141.41,137.94,138.95,275400
2023-05-12,141.84,143.42,139.18,140.13,354400
2023-05-15,140.13,141.02,138.7,140.17,315600
2023-05-16,138.35,138.94,136.53,137.22,248700
2023-05-17,138.15,141.82,137.49,140.64,282200
2023-05-18,140.42,142.76,139.84,142.45,213600
2023-05-19,142.45,142.45,138.48,139.55,230800
2023-05-22,140.11,141.43,139.59,141.1,219700
2023-05-23,140.26,144.44,139.82,142.65,288300
