Date,Open,High,Low,Close,Volume
2023-01-13,22.83,23.81,22.83,23.57,567300
2023-01-17,23.66,24.07,23.5,23.62,412700
2023-01-18,23.86,24.63,23.6,23.76,612300
2023-01-19,23.74,24.9,23.74,24.54,683700
2023-01-20,25.28,26.61,24.78,26.61,2333400
2023-01-23,26.75,27.82,26.46,27.69,1832100
2023-01-24,27.69,28.0,27.13,27.51,725800
2023-01-25,27.55,27.57,26.66,27.38,757300
2023-01-26,27.82,28.2,27.2,27.88,682200
2023-01-27,27.88,27.99,27.32,27.42,716300
2023-01-30,27.39,27.44,26.26,26.29,587100
2023-01-31,26.17,26.95,25.92,26.73,604900
2023-02-01,26.65,26.77,25.45,26.52,809600
2023-02-02,26.52,26.76,25.94,26.38,648600
2023-02-03,26.49,27.77,26.49,26.93,1261900
2023-02-06,26.9,27.07,25.11,26.09,1067000
2023-02-07,26.2,27.61,26.2,27.61,675200
2023-02-08,27.59,27.78,26.85,27.4,773800
2023-02-09,27.41,27.5,26.8,26.83,609300
2023-02-10,27.37,28.27,27.02,28.24,827000
2023-02-13,28.14,28.41,27.76,28.08,535500
2023-02-14,28.0,28.6,27.69,28.07,856800
2023-02-15,27.7,28.12,27.15,28.07,632900
2023-02-16,27.91,28.19,27.47,27.47,491600
2023-02-17,27.11,27.11,26.25,26.73,598400
2023-02-21,26.42,26.86,26.29,26.5,735600
2023-02-22,26.52,26.67,25.45,25.84,1223100
2023-02-23,26.2,26.99,25.72,26.71,1082300
2023-02-24,26.12,27.7,25.57,27.7,975300
2023-02-27,27.7,28.64,27.61,28.34,1047600
2023-02-28,28.66,28.99,27.58,27.78,1167300
2023-03-01,27.8,29.61,27.67,29.4,1090700
2023-03-02,29.3,29.56,28.91,29.15,590800
2023-03-03,28.75,29.89,28.42,29.81,791900
2023-03-06,29.73,29.74,29.14,29.16,584100
2023-03-07,29.17,29.5,28.68,29.16,698400
2023-03-08,29.2,29.57,28.03,28.57,537100
2023-03-09,28.57,29.2,27.71,27.75,543400
2023-03-10,28.03,28.72,27.43,27.57,872600
2023-03-13,26.38,27.18,25.87,26.43,1127100
2023-03-14,27.0,28.13,26.63,27.04,764900
2023-03-15,25.92,26.15,24.73,25.7,1249600
2023-03-16,25.19,26.85,25.0,26.63,789300
2023-03-17,26.48,26.88,26.14,26.68,3397200
2023-03-20,26.88,27.76,26.68,27.44,1257400
2023-03-21,28.28,28.49,27.49,28.07,897900
2023-03-22,28.05,28.94,27.76,28.12,795800
2023-03-23,28.38,28.84,27.16,27.43,545700
2023-03-24,26.7,27.92,26.29,27.84,906300
2023-03-27,28.46,28.77,27.78,28.54,1010100
2023-03-28,28.5,29.9,28.5,29.34,860900
2023-03-29,29.58,29.81,29.02,29.21,554200
2023-03-30,29.47,29.59,28.95,29.11,366900
2023-03-31,29.12,29.45,28.76,29.2,682900
2023-04-03,30.25,30.49,29.01,29.74,898600
2023-04-04,29.63,29.76,26.97,27.05,966200
2023-04-05,27.04,28.51,27.01,28.38,832000
2023-04-06,28.18,28.5,27.66,27.88,596000
2023-04-10,27.93,28.62,27.93,28.37,727600
2023-04-11,28.37,28.55,27.82,28.3,459000
2023-04-12,28.33,28.36,26.62,26.88,947500
2023-04-13,27.09,27.09,26.39,26.47,686200
2023-04-14,26.47,26.76,25.15,25.61,1272700
2023-04-17,25.65,25.73,23.9,24.45,1419700
2023-04-18,24.23,24.77,23.82,24.74,1286800
2023-04-19,24.35,24.42,23.56,24.34,1186900
2023-04-20,23.93,24.29,23.65,23.95,867400
2023-04-21,24.02,24.02,23.16,23.52,670500
2023-04-24,23.52,24.22,23.44,23.97,786700
2023-04-25,23.69,23.73,22.99,23.08,478900
2023-04-26,23.08,23.32,22.68,22.83,506000
2023-04-27,22.78,23.18,22.4,22.63,559000
2023-04-28,22.52,23.54,22.45,23.43,889800
2023-05-01,23.11,23.54,23.0,23.44,713600
2023-05-02,23.27,23.27,22.27,22.51,769600
2023-05-03,22.27,22.5,21.34,21.76,845400
2023-05-04,21.67,22.01,20.74,21.26,1138200
2023-05-05,21.43,21.88,20.37,20.66,1699900
2023-05-08,21.42,21.98,20.77,20.92,1265100
2023-05-09,20.53,21.38,20.3,21.01,1185700
2023-05-10,21.1,21.78,20.69,21.42,1172700
2023-05-11,21.01,21.64,20.97,21.29,761300
2023-05-12,21.49,21.68,21.02,21.3,567200
2023-05-15,21.48,21.88,21.21,21.86,1043200
2023-05-16,21.69,21.88,21.0,21.3,1072100
2023-05-17,21.61,21.97,21.33,21.65,2125500
2023-05-18,21.35,21.74,20.99,21.65,1318500
2023-05-19,21.87,21.88,21.16,21.41,777100
2023-05-22,21.5,21.74,21.32,21.49,596200
2023-05-23,21.72,22.17,21.5,21.55,1392100
2023-05-24,21.61,21.78,20.98,21.12,661500
2023-05-25,20.76,21.08,20.53,21.02,759700
2023-05-26,21.11,21.73,21.01,21.68,642200
2023-05-30,21.33,21.49,21.18,21.37,536800
2023-05-31,21.01,21.33,20.81,21.32,1114800
2023-06-01,21.46,21.61,20.93,21.48,1039000
2023-06-02,21.95,22.5,21.76,22.34,758900
2023-06-05,22.5,22.64,21.62,21.98,948700
2023-06-06,21.73,23.13,21.73,22.92,982100
2023-06-07,23.02,24.26,23.02,24.03,1074200
2023-06-08,23.97,24.2,23.56,23.8,813900
2023-06-09,23.66,24.04,23.44,23.85,682300
2023-06-12,23.52,24.18,23.4,23.68,885200
2023-06-13,23.94,24.42,23.77,23.84,811000
2023-06-14,24.05,24.27,23.2,23.48,539100
2023-06-15,23.37,24.34,23.37,24.3,806300
2023-06-16,24.58,24.58,24.04,24.18,3093500
2023-06-20,24.01,24.15,23.19,23.75,1497500
2023-06-21,23.72,25.18,23.61,24.78,1018300
2023-06-22,24.29,24.79,23.92,24.79,1179800
2023-06-23,24.5,25.03,24.4,24.45,2956300
2023-06-26,24.53,25.87,24.26,25.06,1165500
2023-06-27,24.95,25.54,24.9,25.45,604000
2023-06-28,25.37,26.06,25.26,25.94,831000
2023-06-29,25.79,26.48,25.79,26.19,1042300
2023-06-30,26.4,26.71,25.93,26.61,1035400
2023-07-03,26.82,27.05,26.67,26.76,699100
2023-07-05,27.0,27.32,26.7,27.11,864000
2023-07-06,26.9,26.92,26.05,26.89,668600
2023-07-07,26.96,27.91,26.96,27.75,621300
2023-07-10,27.82,27.91,27.17,27.2,499000
2023-07-11,27.14,27.4,26.5,27.33,1055500
