Date,Open,High,Low,Close,Volume
2023-01-13,13.36,14.27,13.34,13.81,7457400
2023-01-17,13.77,14.37,13.49,14.36,4245700
2023-01-18,14.52,15.16,13.89,13.9,6668800
2023-01-19,13.64,14.235,13.45,13.56,4370100
2023-01-20,13.66,14.315,13.62,14.23,4161600
2023-01-23,14.3,14.7,14.11,14.64,2831200
2023-01-24,14.41,14.88,14.19,14.36,4501900
2023-01-25,13.55,14.23,13.44,14.18,4679100
2023-01-26,14.71,14.89,14.15,14.56,4595300
2023-01-27,14.49,15.42,14.43,15.28,6708000
2023-01-30,14.9,15.159,14.48,14.57,3720800
2023-01-31,14.6,15.74,14.55,15.36,7811100
2023-02-01,15.53,17.12,15.425,17.1,12934600
2023-02-02,17.73,18.34,17.35,17.6,9507600
2023-02-03,16.84,17.665,16.61,16.91,6174500
2023-02-06,16.63,17.15,16.45,16.65,4138400
2023-02-07,16.67,16.89,16.03,16.82,6016100
2023-02-08,16.89,17.35,16.25,16.31,5106400
2023-02-09,16.5,16.6,15.635,15.75,4669800
2023-02-10,15.41,15.64,14.88,15.0,4589200
2023-02-13,15.13,15.57,15.02,15.4,3664300
2023-02-14,15.1,16.155,15.01,16.07,4577600
2023-02-15,16.07,17.14,15.9,16.84,5293900
2023-02-16,16.15,16.6,15.945,16.06,4321700
2023-02-17,15.775,15.94,15.21,15.54,5432100
2023-02-21,15.0,15.23,14.67,14.71,4432500
2023-02-22,14.78,15.29,14.71,15.19,3384300
2023-02-23,15.58,15.58,14.52,15.09,6782700
2023-02-24,14.63,14.85,14.45,14.67,3213300
2023-02-27,14.99,14.99,14.6,14.72,3030700
2023-02-28,14.72,15.11,14.72,14.84,3571700
2023-03-01,14.87,14.98,14.49,14.58,3008400
2023-03-02,14.39,15.175,14.19,15.14,4200000
2023-03-03,15.2,15.77,15.16,15.69,4404600
2023-03-06,15.83,16.08,15.27,15.27,3197400
2023-03-07,15.22,15.605,15.14,15.27,4785200
2023-03-08,15.28,15.535,15.11,15.44,2844100
2023-03-09,15.37,15.795,14.58,14.7,6407100
2023-03-10,14.54,14.76,13.53,13.88,8762000
2023-03-13,13.69,14.62,13.26,14.3,7547200
2023-03-14,14.77,14.85,14.035,14.36,6554800
2023-03-15,14.13,14.68,13.94,14.64,11591400
