Date,Open,High,Low,Close,Volume
2023-01-13,43.7333,44.3733,43.4333,44.16,172800
2023-01-17,43.84,44.4267,43.2667,43.6533,234150
2023-01-18,44.0533,44.22,42.06,42.42,443100
2023-01-19,42.02,42.7333,41.6067,42.4,238950
2023-01-20,42.6133,43.48,41.4933,43.3933,217950
2023-01-23,43.7267,44.7933,43.6933,44.66,175200
2023-01-24,44.3,45.4333,44.0867,45.1333,192750
2023-01-25,44.6267,45.46,44.1333,45.3333,142650
2023-01-26,45.4267,45.5,44.2933,45.4733,280950
2023-01-27,45.42,46.1667,45.42,45.74,229950
2023-01-30,45.38,46.1267,44.82,45.96,243300
2023-01-31,46.04,47.68,46.04,47.3133,356400
2023-02-01,47.28,48.74,47.1,48.3533,331500
2023-02-02,48.74,50.96,48.74,50.3333,636300
2023-02-03,49.6667,51.9733,49.6667,51.46,428250
2023-02-06,50.6667,51.3867,49.08,49.9267,259050
2023-02-07,49.5933,50.18,49.02,50.0067,220200
2023-02-08,49.5133,49.98,48.6267,48.8933,254700
2023-02-09,47.6667,50.4267,47.6133,49.0867,396450
2023-02-10,49.3267,50.3267,49.0467,49.6133,366450
2023-02-13,49.5,50.7067,49.1867,50.5533,198300
2023-02-14,50.0867,50.4,49.3333,50.0,159750
2023-02-15,49.4467,50.4133,49.2733,49.9267,177300
2023-02-16,49.54,50.6467,49.42,50.12,161850
2023-02-17,49.8933,49.8933,48.8467,49.38,241200
2023-02-21,48.6333,49.0,47.3733,47.6067,272400
2023-02-22,47.74,49.0533,47.74,48.3867,269250
2023-02-23,48.7267,48.9333,47.5267,48.5267,167700
2023-02-24,47.6667,48.5467,47.4,48.5467,247500
2023-02-27,48.8533,49.3533,48.42,48.5267,114300
2023-02-28,48.6667,49.0067,48.0467,48.5667,243150
2023-03-01,48.46,49.06,48.0867,48.5667,168600
2023-03-02,48.36,48.82,48.1467,48.7533,197850
2023-03-03,49.24,50.0733,48.7533,49.3467,225450
2023-03-06,49.5533,49.62,48.1467,48.7333,294150
2023-03-07,47.8667,48.2467,46.2067,47.9267,286500
2023-03-08,47.9333,48.4733,47.3133,48.2533,179850
2023-03-09,48.2333,48.2333,47.2333,47.5067,186450
2023-03-10,47.2,47.36,45.7267,46.2267,423150
2023-03-13,45.2667,45.6467,44.3333,44.88,220500
2023-03-14,46.1667,46.5133,44.7267,45.46,318000
2023-03-15,44.3333,45.5867,44.32,45.5067,256050
2023-03-16,44.8333,46.9467,44.8333,46.4667,226350
2023-03-17,45.6933,46.3933,44.9467,45.2067,776250
2023-03-20,45.7,46.56,44.9933,45.1533,283050
2023-03-21,46.0067,46.9667,45.9,46.1133,357000
2023-03-22,46.2933,46.58,45.2467,45.3,249750
2023-03-23,45.6733,45.6733,43.8133,44.5,317400
2023-03-24,44.1333,44.4933,43.26,44.1133,199050
2023-03-27,44.6867,45.2333,43.7933,44.1333,204300
2023-03-28,44.02,44.8667,44.02,44.78,219000
2023-03-29,45.2467,45.2533,44.0667,44.52,159150
2023-03-30,44.9867,45.4,44.2867,44.5,118200
2023-03-31,44.7733,46.0733,44.7733,45.8733,189600
2023-04-03,45.9333,46.36,45.2533,45.7267,179250
2023-04-04,45.3333,45.4,43.4067,44.0467,300750
2023-04-05,43.72,43.72,42.7333,43.2267,275250
2023-04-06,43.38,43.4533,42.7,42.8133,185100
2023-04-10,42.7667,44.68,42.7667,44.0467,252450
2023-04-11,44.4533,46.14,44.0733,45.9333,269700
2023-04-12,46.3267,46.4733,45.2733,45.6333,145950
2023-04-13,45.8667,45.9867,45.02,45.76,214650
2023-04-14,45.7533,46.5133,45.3533,45.92,205350
2023-04-17,46.0,46.32,45.48,46.1867,83850
2023-04-18,45.92,46.5133,45.92,46.24,128700
2023-04-19,46.5267,47.2067,45.9733,47.0667,207750
2023-04-20,46.6533,47.3667,46.3333,46.9733,181800
2023-04-21,46.7933,46.8,46.04,46.3267,144300
2023-04-24,46.2867,46.9267,46.0333,46.2067,117000
2023-04-25,45.9267,45.9267,44.6133,45.1933,243600
2023-04-26,44.8733,45.0133,42.8,43.04,327300
2023-04-27,43.74,46.3867,43.2667,45.6733,513750
2023-04-28,45.52,46.4667,45.52,45.7533,239400
2023-05-01,45.6,46.4733,45.44,46.1733,211650
2023-05-02,45.8267,45.8267,43.62,45.1733,196950
2023-05-03,45.3133,46.4533,44.18,44.44,350100
2023-05-04,44.0,44.0,42.78,43.0333,186000
2023-05-05,43.6867,44.5933,43.4867,44.38,172500
2023-05-08,44.4333,44.68,43.5267,43.8067,140100
2023-05-09,43.68,43.8067,43.1933,43.3267,152400
2023-05-10,44.0333,44.5933,42.9,43.5733,150750
2023-05-11,43.2333,44.5667,42.38,43.4333,128250
2023-05-12,43.68,43.8,42.6667,43.0533,170550
2023-05-15,43.26,43.8733,42.96,43.8267,163500
2023-05-16,43.4867,43.6067,42.72,43.3,177600
2023-05-17,43.6333,45.94,43.6333,45.8467,240000
2023-05-18,45.7333,46.42,45.2467,46.2533,163200
2023-05-19,46.78,46.8,45.2,45.8533,181950
2023-05-22,45.8867,46.18,45.5133,45.8133,159000
2023-05-23,45.6933,46.36,45.3133,46.0067,209400
2023-05-24,45.82,46.0067,45.42,45.6533,199650
2023-05-25,45.38,46.2867,45.0667,46.2267,162000
2023-05-26,46.2067,47.3467,46.2067,47.1667,173550
2023-05-30,47.5467,47.5467,44.1,44.2667,184500
2023-05-31,43.9867,43.9867,42.8533,43.6867,212100
