Date,Open,High,Low,Close,Volume
2023-01-13,30.2,30.59,30.1,30.59,75000
2023-01-17,30.64,30.8,30.45,30.5,42500
2023-01-18,30.69,30.97,30.0,30.18,126700
2023-01-19,30.07,30.31,29.94,30.02,79300
2023-01-20,30.44,31.58,30.27,31.25,235700
2023-01-23,31.34,31.77,30.57,31.05,80500
2023-01-24,30.85,31.76,30.76,31.72,98000
2023-01-25,31.3,32.49,31.0,32.43,76100
2023-01-26,32.63,32.7,31.69,32.45,93800
2023-01-27,32.04,32.6,31.6,31.84,59700
2023-01-30,31.47,31.92,31.4,31.59,68400
2023-01-31,31.76,32.45,31.72,31.78,152500
2023-02-01,32.02,32.89,31.77,32.65,165100
2023-02-02,33.07,33.62,32.5,32.85,109100
2023-02-03,32.19,32.87,32.19,32.31,119700
2023-02-06,32.07,33.29,32.0,33.03,114800
2023-02-07,33.12,33.83,32.98,33.72,165300
2023-02-08,33.62,34.19,33.62,34.0,138400
2023-02-09,34.62,35.0,33.76,34.02,238500
2023-02-10,33.7,33.71,32.56,32.98,71800
2023-02-13,33.08,33.53,32.25,33.26,81500
2023-02-14,33.21,33.6,32.93,33.29,113700
2023-02-15,32.93,33.85,32.9,33.65,100900
2023-02-16,33.08,34.44,33.08,34.02,234700
2023-02-17,37.21,37.66,34.2,37.38,606900
2023-02-21,37.32,37.59,36.7,37.4,235400
2023-02-22,36.87,37.05,36.11,36.49,341200
2023-02-23,36.98,37.4,36.02,36.93,156000
2023-02-24,36.56,37.19,36.3,37.14,181100
2023-02-27,37.87,37.87,36.86,37.1,128100
2023-02-28,37.03,37.66,36.94,37.44,495000
2023-03-01,37.44,38.0,37.17,37.22,154300
2023-03-02,36.69,37.47,36.38,37.47,132100
2023-03-03,37.44,38.39,37.26,38.38,222000
2023-03-06,38.41,38.66,37.72,38.08,221700
2023-03-07,38.16,38.4,37.99,38.34,188000
2023-03-08,38.45,38.89,38.29,38.87,186700
2023-03-09,38.68,39.01,37.73,37.76,159500
2023-03-10,37.85,37.88,36.75,37.08,144600
2023-03-13,36.64,37.28,36.25,36.65,100900
2023-03-14,37.16,38.39,37.16,38.37,384500
2023-03-15,37.81,38.18,36.48,37.94,222300
2023-03-16,37.94,39.45,36.96,39.44,457400
2023-03-17,39.38,39.72,39.03,39.21,504800
2023-03-20,39.25,40.16,38.92,40.12,217900
2023-03-21,40.59,41.15,39.73,40.6,279600
2023-03-22,40.57,40.74,39.78,39.79,181800
2023-03-23,40.27,42.08,40.26,41.23,224600
2023-03-24,40.87,41.52,40.6,41.48,207000
2023-03-27,41.72,42.2,41.17,41.63,177100
2023-03-28,41.48,42.09,40.33,40.91,76000
2023-03-29,41.32,41.92,40.8,41.7,117600
2023-03-30,42.05,42.16,41.56,41.73,78000
2023-03-31,41.68,42.5,41.65,42.4,380300
2023-04-03,42.11,42.94,41.82,42.9,197000
2023-04-04,43.25,43.25,42.22,42.42,184400
2023-04-05,42.2,42.49,41.73,42.27,207700
2023-04-06,42.13,42.13,41.15,41.23,179700
2023-04-10,41.04,42.57,40.56,42.57,436400
2023-04-11,42.55,42.93,41.08,41.11,162900
2023-04-12,41.55,41.91,40.91,41.17,125800
2023-04-13,41.28,41.49,40.58,41.23,97200
2023-04-14,41.21,41.86,41.06,41.28,82500
2023-04-17,41.16,41.48,40.25,40.8,68700
2023-04-18,41.01,41.52,40.42,40.81,111200
2023-04-19,40.6,40.6,39.63,39.72,190700
2023-04-20,39.31,40.57,39.06,40.01,139800
2023-04-21,39.94,40.41,39.74,40.09,82700
2023-04-24,39.97,40.35,39.28,39.38,78300
2023-04-25,39.06,39.22,37.53,37.57,127100
2023-04-26,37.68,38.26,37.17,37.85,120700
2023-04-27,37.79,37.79,36.38,36.45,202700
2023-04-28,36.39,36.8,35.92,36.05,135000
2023-05-01,36.05,36.67,36.05,36.28,68500
2023-05-02,36.38,36.78,35.89,36.42,105300
2023-05-03,36.27,36.99,36.24,36.6,173300
2023-05-04,36.35,37.18,36.17,36.96,153800
2023-05-05,37.27,38.85,37.23,38.71,157600
2023-05-08,38.47,38.99,37.84,38.78,100800
2023-05-09,38.33,38.8,37.79,37.98,168200
2023-05-10,38.6,39.83,33.67,33.72,432300
2023-05-11,33.58,35.6,32.25,35.59,463500
2023-05-12,35.25,36.42,34.75,35.8,229500
2023-05-15,35.77,36.1,35.37,35.4,242900
2023-05-16,35.01,37.06,34.92,37.06,172800
2023-05-17,37.21,39.0,36.77,38.9,261200
2023-05-18,38.95,40.02,38.89,39.03,152700
2023-05-19,39.36,39.73,38.77,39.69,129600
2023-05-22,39.44,40.16,39.17,39.64,139500
2023-05-23,39.41,39.9,38.8,39.28,140300
2023-05-24,38.76,39.19,37.86,38.45,164000
2023-05-25,39.14,40.83,39.03,40.62,220700
2023-05-26,40.9,42.69,40.9,42.53,197800
2023-05-30,43.0,43.33,41.95,42.19,143200
2023-05-31,41.72,42.54,41.4,42.25,673300
2023-06-01,42.28,43.0,41.74,42.88,162900
2023-06-02,42.96,43.25,41.58,42.85,149000
2023-06-05,42.29,42.33,41.46,42.13,223600
2023-06-06,41.89,43.37,41.77,42.83,236900
2023-06-07,43.0,44.37,42.7,43.06,183700
2023-06-08,43.21,43.95,42.9,43.87,162000
2023-06-09,44.29,44.29,43.64,43.98,107600
2023-06-12,44.33,44.8,43.78,44.71,124200
2023-06-13,45.0,45.46,44.51,44.84,184200
2023-06-14,44.5,44.9,44.19,44.85,101300
2023-06-15,44.53,44.81,43.94,44.42,102900
2023-06-16,44.91,45.11,43.66,43.81,343000
2023-06-20,43.83,44.78,43.21,44.76,106800
2023-06-21,44.62,45.02,44.28,44.7,103400
2023-06-22,44.65,45.33,44.47,45.04,129200
2023-06-23,44.47,45.66,43.28,43.63,394800
2023-06-26,43.67,44.49,42.83,42.88,139600
2023-06-27,43.08,44.91,42.06,43.94,106700
2023-06-28,43.38,43.85,43.15,43.58,109200
2023-06-29,43.76,45.45,43.55,45.24,173000
2023-06-30,45.63,45.8,44.94,45.1,275500
2023-07-03,45.66,45.81,44.66,45.64,78600
2023-07-05,45.6,45.6,44.07,44.59,178900
2023-07-06,44.05,44.91,43.51,44.78,131200
2023-07-07,44.92,46.46,44.92,45.36,310900
2023-07-10,45.52,47.77,45.52,47.6,239200
2023-07-11,47.73,48.02,43.81,44.59,241900
2023-07-12,45.22,45.89,45.07,45.4,125800
2023-07-13,45.52,46.29,45.52,46.06,145700
