Date,Open,High,Low,Close,Volume
2023-01-13,14.04,14.1,13.93,13.99,1288400
2023-01-17,14.08,14.32,13.95,14.3,1454100
2023-01-18,14.23,14.36,14.11,14.19,1539000
2023-01-19,14.02,14.33,13.96,14.3,2155000
2023-01-20,14.47,14.91,14.29,14.89,2434100
2023-01-23,14.93,15.18,14.88,15.11,1885600
2023-01-24,15.02,15.34,14.83,15.16,2112400
2023-01-25,15.01,15.45,14.91,15.4,2032900
2023-01-26,15.56,15.69,15.12,15.56,2548800
2023-01-27,15.54,15.94,15.5,15.8,1938400
2023-01-30,15.61,15.87,15.58,15.71,1435700
2023-01-31,15.79,16.4,15.74,16.4,2333500
2023-02-01,16.47,16.96,16.11,16.75,4518000
2023-02-02,17.0,17.38,16.74,17.08,2971200
2023-02-03,16.81,17.14,16.76,16.96,1379700
2023-02-06,16.66,16.75,16.26,16.39,1478700
2023-02-07,16.21,16.47,16.07,16.37,1401400
2023-02-08,16.16,16.43,15.99,16.03,1791400
2023-02-09,16.24,16.29,15.97,16.0,1518700
2023-02-10,15.86,15.95,15.49,15.76,1753300
2023-02-13,15.77,16.4,15.68,16.1,1819800
2023-02-14,15.95,16.37,15.77,16.32,2046100
2023-02-15,16.17,16.56,16.14,16.5,2160000
2023-02-16,16.09,16.18,15.41,15.49,3564700
2023-02-17,15.45,15.62,14.91,15.04,2423600
2023-02-21,14.84,14.91,14.45,14.64,3760900
2023-02-22,14.51,14.96,14.17,14.51,3414000
2023-02-23,14.64,14.8,14.07,14.67,3160300
2023-02-24,14.55,14.62,14.22,14.55,2018800
2023-02-27,14.84,14.84,14.55,14.68,1764800
2023-02-28,14.57,14.79,14.27,14.27,2090900
2023-03-01,14.29,14.47,14.17,14.39,1339200
2023-03-02,14.24,14.63,14.17,14.62,1690100
2023-03-03,15.1,15.14,14.72,14.89,2578400
2023-03-06,15.07,15.46,14.95,15.03,3397800
2023-03-07,15.06,15.39,14.79,14.79,2429800
2023-03-08,14.78,15.12,14.62,15.11,2252100
2023-03-09,15.14,15.17,14.12,14.12,2721900
2023-03-10,13.95,14.28,13.63,13.88,3188900
2023-03-13,13.76,14.13,13.64,13.83,4635600
2023-03-14,14.26,14.42,13.56,13.93,4447500
2023-03-15,13.64,14.07,13.57,13.94,3191400
2023-03-16,13.71,13.91,13.44,13.6,2549500
2023-03-17,13.56,13.61,13.02,13.2,29801700
2023-03-20,13.27,13.8,13.27,13.63,3965000
2023-03-21,13.97,14.04,13.61,13.67,3217200
2023-03-22,13.64,13.64,12.81,12.83,4548300
2023-03-23,12.86,13.23,12.72,12.77,2581600
