Date,Open,High,Low,Close,Volume
2023-01-13,17.08,17.785,17.08,17.725,413400
2023-01-17,17.595,17.91,17.395,17.81,390000
2023-01-18,18.985,19.32,18.445,18.635,765800
2023-01-19,18.54,19.22,18.495,19.06,591800
2023-01-20,19.275,19.415,18.79,19.04,594400
2023-01-23,19.225,19.66,19.135,19.495,515200
2023-01-24,19.44,19.525,19.035,19.225,445400
2023-01-25,18.855,18.97,18.57,18.825,613600
2023-01-26,19.035,19.395,18.725,19.27,535200
2023-01-27,19.185,19.61,19.1,19.205,734000
2023-01-30,18.875,19.09,18.615,18.72,939800
2023-01-31,18.84,19.465,18.84,19.44,889000
2023-02-01,19.495,20.275,19.485,20.205,857600
2023-02-02,20.825,21.505,20.68,21.475,812000
2023-02-03,20.855,21.07,20.255,20.49,948200
2023-02-06,20.205,20.505,19.915,19.985,676600
2023-02-07,19.915,20.17,19.45,20.075,672200
2023-02-08,20.095,20.255,19.585,19.64,309800
2023-02-09,20.02,20.205,19.235,19.255,605200
2023-02-10,19.015,19.385,18.9,19.07,378400
2023-02-13,19.3,19.545,19.03,19.475,511600
2023-02-14,19.4,19.82,18.99,19.81,542200
2023-02-15,19.64,21.455,19.64,21.375,2512800
2023-02-16,23.755,25.445,23.395,25.215,2953000
2023-02-17,25.125,25.42,24.09,24.115,1489200
2023-02-21,23.74,24.255,23.405,23.505,1123400
2023-02-22,23.595,23.925,23.255,23.475,762200
2023-02-23,23.75,23.75,22.97,23.57,542800
2023-02-24,23.045,23.25,22.59,23.025,591000
2023-02-27,23.295,23.37,22.935,23.155,448400
2023-02-28,23.13,23.755,23.075,23.19,859600
2023-03-01,23.23,23.575,22.95,23.015,619200
2023-03-02,22.825,23.23,22.645,23.09,1104400
2023-03-03,23.43,23.795,23.405,23.76,633400
2023-03-06,23.755,24.165,23.65,23.86,643600
2023-03-07,23.95,24.265,23.5,23.635,519600
2023-03-08,23.645,23.83,23.465,23.755,388200
2023-03-09,23.485,23.97,22.765,22.945,523400
2023-03-10,22.73,22.895,22.0,22.215,1114400
2023-03-13,21.91,22.715,21.62,22.18,559600
2023-03-14,22.74,23.04,22.43,22.995,675200
2023-03-15,22.475,23.325,22.475,23.165,732600
2023-03-16,23.035,23.515,22.655,23.515,683000
2023-03-17,23.31,23.53,22.915,23.43,871400
2023-03-20,23.515,23.515,22.29,23.145,884600
2023-03-21,23.405,23.725,23.265,23.645,293400
2023-03-22,23.505,23.66,22.66,22.69,313200
2023-03-23,22.915,23.47,22.445,22.495,380800
2023-03-24,22.435,22.76,22.16,22.45,304800
2023-03-27,22.61,22.86,22.41,22.62,317000
2023-03-28,22.505,22.815,22.395,22.685,281800
2023-03-29,22.91,23.07,22.71,22.99,262200
2023-03-30,23.135,23.28,22.78,22.96,362000
2023-03-31,22.96,24.25,22.96,24.24,578200
2023-04-03,23.955,24.305,23.675,24.05,591400
2023-04-04,24.175,24.205,23.7,23.82,552000
2023-04-05,23.6,23.65,23.18,23.445,1433400
2023-04-06,23.245,23.935,22.94,23.87,418400
2023-04-10,23.565,23.635,23.19,23.58,354400
2023-04-11,23.395,23.705,22.715,23.15,580200
2023-04-12,23.435,23.66,22.81,22.835,323400
2023-04-13,23.02,23.43,23.02,23.26,386200
2023-04-14,23.07,23.35,22.605,22.84,299200
2023-04-17,22.795,23.145,22.625,22.835,324000
2023-04-18,23.11,23.375,22.745,23.375,470400
2023-04-19,23.2,23.425,22.99,23.26,505800
2023-04-20,22.97,23.08,22.72,22.875,590000
2023-04-21,22.875,23.79,22.83,23.715,641000
2023-04-24,23.63,23.74,22.895,22.98,726600
2023-04-25,22.74,22.805,21.735,21.8,751800
2023-04-26,22.0,22.585,21.785,21.84,978000
2023-04-27,22.025,22.89,21.82,22.615,1245000
2023-04-28,22.56,23.01,22.385,22.81,733000
2023-05-01,22.78,23.225,22.64,23.155,566400
2023-05-02,23.145,23.155,22.06,22.075,1036000
2023-05-03,22.08,22.37,21.29,21.34,794200
2023-05-04,21.355,21.625,20.735,20.94,657800
2023-05-05,21.15,21.35,21.005,21.115,626200
2023-05-08,21.55,22.03,21.295,21.935,454000
2023-05-09,21.73,22.16,21.65,22.12,381400
2023-05-10,22.4,22.58,21.985,22.54,440000
2023-05-11,22.475,22.5,21.845,22.075,395200
2023-05-12,22.075,22.075,21.185,21.325,365600
2023-05-15,21.325,21.7,21.095,21.59,380800
2023-05-16,21.375,21.59,21.215,21.55,421000
2023-05-17,21.595,22.085,21.51,22.005,421000
2023-05-18,21.965,22.54,21.9,22.48,361600
2023-05-19,22.44,22.615,21.995,22.07,842400
2023-05-22,22.075,23.17,21.885,23.155,583800
2023-05-23,23.06,24.14,22.84,22.86,649800
2023-05-24,22.63,22.94,22.41,22.71,296200
2023-05-25,22.845,22.855,22.425,22.495,319800
2023-05-26,22.475,23.635,22.475,23.515,549200
2023-05-30,23.73,24.285,23.695,23.905,435000
2023-05-31,23.715,24.32,23.32,24.18,1451200
2023-06-01,23.955,24.205,23.625,23.925,510800
2023-06-02,24.085,24.57,23.72,23.79,359200
2023-06-05,23.615,24.37,23.46,24.305,558800
2023-06-06,23.965,24.11,23.48,23.515,489000
2023-06-07,23.62,23.895,23.02,23.21,517000
2023-06-08,23.205,23.535,23.02,23.115,350600
2023-06-09,23.2,23.585,23.185,23.35,545200
2023-06-12,23.495,23.97,23.415,23.94,341400
2023-06-13,24.425,25.69,24.175,25.55,1185800
2023-06-14,25.49,25.865,24.74,25.02,600200
2023-06-15,24.815,25.44,24.815,25.32,450000
2023-06-16,25.32,25.435,24.79,25.1,728000
2023-06-20,24.69,25.645,24.51,25.405,603000
2023-06-21,25.545,25.545,24.35,24.35,579200
2023-06-22,24.31,24.645,23.955,24.565,498200
2023-06-23,24.14,24.625,24.14,24.555,1176600
2023-06-26,24.41,24.875,23.965,24.005,342400
2023-06-27,24.085,24.555,23.82,24.385,464400
2023-06-28,24.275,24.64,23.85,24.41,293200
2023-06-29,24.45,24.505,23.875,24.105,457200
2023-06-30,24.3,24.89,24.215,24.65,592200
2023-07-03,24.56,24.815,24.14,24.49,281600
2023-07-05,26.305,28.325,25.755,27.95,2620000
2023-07-06,27.495,27.71,25.825,26.43,1611000
2023-07-07,26.515,26.945,26.12,26.3,657000
2023-07-10,26.305,26.825,26.005,26.705,522400
2023-07-11,26.85,27.58,26.815,27.405,371000
2023-07-12,27.815,27.815,27.48,27.64,354000
2023-07-13,27.895,28.345,27.595,28.09,470800
2023-07-14,28.09,28.32,27.55,27.725,412200
2023-07-17,27.685,28.49,27.685,28.1,732000
2023-07-18,28.095,28.405,27.835,28.18,641400
2023-07-19,28.44,29.615,28.385,28.55,708600
2023-07-20,28.215,28.445,27.245,27.395,639800
2023-07-21,27.835,28.135,27.21,27.22,437400
2023-07-24,27.22,27.265,26.79,26.995,304600
2023-07-25,27.255,27.69,27.05,27.28,341800
2023-07-26,27.28,28.015,27.07,27.565,782800
2023-07-27,27.045,27.415,24.535,24.64,1151200
2023-07-28,25.16,25.8,25.035,25.415,618000
2023-07-31,25.645,26.565,25.595,26.375,556400
2023-08-01,26.0,26.875,25.85,26.76,693800
2023-08-02,26.27,26.27,25.14,25.335,603800
2023-08-03,25.04,25.05,24.14,24.29,379800
2023-08-04,24.405,24.59,23.865,24.065,665600
2023-08-07,24.075,24.575,23.61,23.775,527200
2023-08-08,23.31,23.53,23.155,23.505,413200
2023-08-09,23.45,23.7,23.005,23.44,397000
2023-08-10,23.76,24.1,23.62,23.77,497600
2023-08-11,23.46,23.875,23.43,23.86,351600
2023-08-14,23.71,24.21,23.575,23.91,318800
2023-08-15,23.805,23.895,23.52,23.625,347000
2023-08-16,23.515,23.82,23.435,23.49,461200
2023-08-17,23.49,23.49,22.705,22.8,462000
2023-08-18,22.55,23.16,22.51,23.055,366800
2023-08-21,23.0,23.25,22.905,23.045,252600
2023-08-22,23.25,23.545,23.145,23.38,269600
2023-08-23,23.475,24.5,23.42,24.28,470000
2023-08-24,24.395,24.625,23.98,24.025,385800
2023-08-25,24.025,24.365,23.805,24.0,332800
2023-08-28,24.03,24.365,24.03,24.26,389600
2023-08-29,24.15,25.04,24.15,24.69,683200
2023-08-30,24.63,25.34,24.56,25.23,383800
2023-08-31,25.21,25.37,24.61,24.83,1059600
2023-09-01,24.91,25.67,24.75,25.46,941400
2023-09-05,25.24,25.24,24.545,24.705,428400
2023-09-06,24.605,24.805,24.22,24.68,404200
2023-09-07,24.185,24.465,24.03,24.38,241200
2023-09-08,24.405,24.44,23.575,23.595,423800
2023-09-11,23.715,23.79,22.93,22.98,508200
2023-09-12,22.78,23.01,22.15,22.225,796800
